"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_RO_x_CH_FEDERAL",11.9572,-12.53
"2","IN_CH_STATE_RN_x_CH_FEDERAL",9.9894,-10.47
"3","IN_CH_STATE_AC_x_CH_PRIVATE",4.035,-4.23
"4","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",3.9535,-4.14
"5","IN_CH_STATE_ES_x_CH_FEDERAL",3.4205,-3.59
"6","IN_CH_FEDERAL_x_FC_WATER_PUBLIC",2.1113,-2.21
"7","IN_CH_STATE_BA_x_CH_FEDERAL",2.0156,-2.11
"8","IN_CH_STATE_RR_x_CH_PRIVATE",1.8341,-1.92
"9","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",1.675,-1.76
"10","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",1.5907,-1.67
"11","IN_CH_URBAN_x_FC_TV_EQUIPMENT",1.3742,-1.44
"12","IN_CH_STATE_RN_x_FC_SCIENCE_LAB",1.3341,-1.4
"13","IN_CH_RURAL_x_FC_SCIENCE_LAB",1.1376,-1.19
"14","IN_CH_STATE_AP_x_CH_SCHOOL_LARGE_SIZE",1.1104,-1.16
"15","IN_CH_PRIVATE_x_FC_COMPUTER",1.0969,-1.15
"16","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",0.9251,-0.97
"17","IN_CH_STATE_RO_x_FC_SCIENCE_LAB",0.9074,-0.95
"18","IN_CH_STATE_RJ_x_CH_RURAL",0.8916,-0.93
"19","IN_CH_STATE_MA_x_CH_PRIVATE",0.8831,-0.93
"20","IN_CH_STATE_AM_x_CH_PRIVATE",0.8132,-0.85
"21","IN_CH_URBAN_x_FC_COMPUTER",0.7855,-0.82
"22","IN_CH_STATE_x_FC_TV_EQUIPMENT",0.6789,-0.71
"23","IN_CH_STATE_CE_x_CH_RURAL",0.6525,-0.68
"24","IN_CH_STATE_CE_x_CH_PRIVATE",0.5942,-0.62
"25","IN_CH_STATE_MG_x_FC_TV_EQUIPMENT",0.5822,-0.61
"26","IN_CH_STATE_CE_x_FC_SCIENCE_LAB",0.5441,-0.57
"27","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",0.5028,-0.53
"28","FC_WATER",0.4557,-0.48
"29","IN_CH_STATE_RS_x_CH_RURAL",0.4279,-0.45
"30","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",0.4121,-0.43
"31","IN_CH_STATE_ES_x_CH_PRIVATE",0.3939,-0.41
"32","IN_CH_STATE_RO_x_CH_PRIVATE",0.3921,-0.41
"33","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",0.3868,-0.41
"34","IN_CH_STATE_RJ_x_FC_NO_SPORTS_QUAD",0.376,-0.39
"35","IN_CH_STATE_TO_x_FC_HAS_SPORTS_QUAD",0.356,-0.37
"36","IN_CH_MUNICIPAL_x_FC_HAS_SPORTS_QUAD",0.3374,-0.35
"37","IN_CH_STATE_PE_x_FC_SCIENCE_LAB",0.3326,-0.35
"38","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",0.3082,-0.32
"39","IN_CH_STATE_PA_x_FC_SEWAGE_PUBLIC",0.295,-0.31
"40","IN_CH_STATE_AL_x_FC_SCIENCE_LAB",0.2822,-0.3
"41","IN_CH_STATE_AL_x_CH_FEDERAL",0.2635,-0.28
"42","IN_CH_STATE_RS_x_CH_MUNICIPAL",0.2579,-0.27
"43","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",0.2543,-0.27
"44","IN_CH_FUNDAMENTAL_EDU_I_x_FC_COMPUTER_LAB",0.2509,-0.26
"45","IN_CH_STATE_AL_x_CH_SCHOOL_LARGE_SIZE",0.248,-0.26
"46","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",0.245,-0.26
"47","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",0.2141,-0.22
"48","IN_CH_STATE_SC_x_FC_TV_EQUIPMENT",0.1933,-0.2
"49","IN_CH_STATE_PR_x_CH_MUNICIPAL",0.193,-0.2
"50","IN_CH_PRIVATE_x_FC_SCIENCE_LAB",0.1777,-0.19
"51","IN_CH_MUNICIPAL_x_FC_SCIENCE_LAB",0.169,-0.18
"52","IN_CH_STATE_PB_x_CH_RURAL",0.166,-0.17
"53","IN_CH_STATE_MA_x_FC_SCIENCE_LAB",0.1634,-0.17
"54","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",0.152,-0.16
"55","IN_CH_STATE_SC_x_CH_RURAL",0.1519,-0.16
"56","FC_COMPUTER_LAB",0.1459,-0.15
"57","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",0.1448,-0.15
"58","IN_CH_STATE_ES_x_CH_STATE",0.1428,-0.15
"59","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",0.1249,-0.13
"60","FC_COMPUTER",0.1093,-0.11
"61","IN_CH_STATE_MG_x_FC_NO_SPORTS_QUAD",0.1022,-0.11
"62","IN_CH_STATE_PR_x_FC_WATER_PUBLIC",0.0945,-0.1
"63","IN_CH_STATE_PR_x_FC_ELECTR_PUBLIC",0.094,-0.1
"64","FC_WATER_PUBLIC",0.0888,-0.09
"65","IN_CH_URBAN_x_FC_WATER_PUBLIC",0.0668,-0.07
"66","IN_CH_STATE_CE_x_FC_SEWAGE_PUBLIC",0.0616,-0.06
"67","IN_CH_STATE_PE_x_FC_SEWAGE_PUBLIC",0.0557,-0.06
"68","IN_CH_SCHOOL_LARGE_SIZE_x_FC_ELECTR_PUBLIC",0.052,-0.05
"69","IN_CH_STATE_ES_x_FC_COMPUTER_LAB",0.0501,-0.05
"70","IN_CH_STATE_AL_x_FC_WATER_PUBLIC",0.0379,-0.04
"71","IN_CH_STATE_x_FC_COMPUTER",0.0314,-0.03
