"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_RO_x_CH_FEDERAL",7.1107,-12.93
"2","IN_CH_STATE_SP_x_CH_FEDERAL",5.3621,-9.75
"3","IN_CH_STATE_RN_x_CH_FEDERAL",3.3109,-6.02
"4","IN_CH_STATE_AC_x_FC_SCIENCE_LAB",2.5444,-4.63
"5","IN_CH_STATE_ES_x_CH_FEDERAL",2.4589,-4.47
"6","IN_CH_STATE_AL_x_CH_FEDERAL",2.2304,-4.05
"7","IN_CH_STATE_AP_x_CH_SCHOOL_LARGE_SIZE",1.3016,-2.37
"8","IN_CH_STATE_RR_x_CH_PRIVATE",1.2079,-2.2
"9","IN_CH_STATE_SE_x_FC_SCIENCE_LAB",1.0894,-1.98
"10","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",1.0482,-1.91
"11","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.8727,-1.59
"12","IN_CH_STATE_RR_x_CH_FEDERAL",0.8194,-1.49
"13","IN_CH_STATE_RN_x_FC_SCIENCE_LAB",0.765,-1.39
"14","IN_CH_STATE_PA_x_CH_PRIVATE",0.7523,-1.37
"15","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",0.7438,-1.35
"16","IN_CH_STATE_PA_x_FC_SCIENCE_LAB",0.7144,-1.3
"17","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",0.6694,-1.22
"18","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",0.643,-1.17
"19","IN_CH_FEDERAL_x_FC_WATER_PUBLIC",0.5629,-1.02
"20","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",0.4721,-0.86
"21","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",0.4417,-0.8
"22","IN_CH_STATE_TO_x_FC_HAS_SPORTS_QUAD",0.4388,-0.8
"23","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",0.4292,-0.78
"24","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",0.4214,-0.77
"25","IN_CH_STATE_MG_x_FC_TV_EQUIPMENT",0.4087,-0.74
