"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_RO_x_CH_FEDERAL",21.4001,-13.71
"2","IN_CH_STATE_RN_x_CH_FEDERAL",14.5288,-9.31
"3","IN_CH_STATE_SP_x_CH_FEDERAL",10.2679,-6.58
"4","IN_CH_STATE_ES_x_CH_FEDERAL",8.3957,-5.38
"5","IN_CH_STATE_AL_x_CH_FEDERAL",8.0078,-5.13
"6","IN_CH_STATE_AC_x_CH_PRIVATE",7.634,-4.89
"7","IN_CH_STATE_BA_x_CH_FEDERAL",7.1419,-4.58
"8","IN_CH_STATE_RR_x_CH_PRIVATE",4.3135,-2.76
"9","IN_CH_STATE_AC_x_FC_SCIENCE_LAB",3.8543,-2.47
"10","IN_CH_STATE_AP_x_CH_SCHOOL_LARGE_SIZE",3.6244,-2.32
"11","IN_CH_FEDERAL_x_FC_WATER_PUBLIC",3.4986,-2.24
"12","IN_CH_STATE_RN_x_FC_SCIENCE_LAB",3.2778,-2.1
"13","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",3.1172,-2
"14","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",2.9145,-1.87
"15","IN_CH_STATE_SE_x_FC_SCIENCE_LAB",2.5921,-1.66
"16","IN_CH_RURAL_x_FC_SCIENCE_LAB",2.1268,-1.36
"17","IN_CH_STATE_AM_x_CH_PRIVATE",2.0733,-1.33
"18","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",1.7979,-1.15
"19","IN_CH_URBAN_x_FC_TV_EQUIPMENT",1.7942,-1.15
"20","IN_CH_STATE_PA_x_CH_PRIVATE",1.5912,-1.02
"21","IN_CH_STATE_MA_x_CH_PRIVATE",1.4361,-0.92
"22","IN_CH_STATE_RO_x_FC_SCIENCE_LAB",1.3919,-0.89
"23","IN_CH_URBAN_x_FC_COMPUTER",1.3824,-0.89
"24","IN_CH_STATE_MG_x_FC_TV_EQUIPMENT",1.3564,-0.87
"25","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",1.3181,-0.84
"26","IN_CH_STATE_PE_x_FC_SCIENCE_LAB",1.2794,-0.82
"27","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",1.0346,-0.66
"28","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",1.0311,-0.66
