"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PE_x_CH_FEDERAL",41.8214,16.86
"2","IN_CH_STATE_CE_x_CH_FEDERAL",20.4152,8.23
"3","IN_CH_STATE_RR_x_CH_FEDERAL",10.0925,4.07
"4","IN_CH_STATE_MA_x_CH_FEDERAL",9.0626,3.65
"5","IN_CH_STATE_SP_x_CH_PRIVATE",4.1937,1.69
"6","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",4.0442,1.63
"7","IN_CH_STATE_AM_x_CH_STATE",2.6473,1.07
"8","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",2.4636,0.99
"9","IN_CH_STATE_RN_x_CH_PRIVATE",2.2763,0.92
"10","IN_CH_STATE_PB_x_CH_PRIVATE",2.1291,0.86
"11","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",2.0321,0.82
"12","IN_CH_STATE_PI_x_CH_STATE",2.0104,0.81
"13","IN_CH_STATE_SP_x_CH_STATE",1.9501,0.79
"14","IN_CH_STATE_PE_x_FC_ANTENNA_EQUIPMENT",1.6945,0.68
"15","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",1.6231,0.65
"16","IN_CH_STATE_PI_x_CH_PRIVATE",1.5602,0.63
"17","IN_CH_STATE_ES_x_CH_RURAL",1.5522,0.63
"18","IN_CH_STATE_MG_x_CH_FEDERAL",1.4821,0.6
"19","IN_CH_STATE_AC_x_FC_ANTENNA_EQUIPMENT",1.4186,0.57
"20","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",1.275,0.51
"21","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",1.1799,0.48
"22","IN_CH_STATE_BA_x_CH_STATE",1.1054,0.45
"23","IN_CH_STATE_PA_x_CH_STATE",1.0727,0.43
"24","IN_CH_STATE_RO_x_CH_RURAL",1.0109,0.41
"25","IN_CH_STATE_MA_x_FC_ANTENNA_EQUIPMENT",0.887,0.36
"26","IN_CH_STATE_RR_x_CH_MUNICIPAL",0.8298,0.33
"27","IN_CH_STATE_AP_x_FC_NO_SPORTS_QUAD",0.6973,0.28
"28","IN_CH_STATE_TO_x_CH_RURAL",0.6565,0.26
"29","IN_CH_STATE_RN_x_FC_SEWAGE_PUBLIC",0.6449,0.26
"30","IN_CH_STATE_TO_x_CH_PRIVATE",0.6352,0.26
"31","IN_CH_STATE_MA_x_CH_URBAN",0.6015,0.24
"32","IN_CH_STATE_BA_x_FC_COMPUTER_LAB",0.5934,0.24
"33","IN_CH_STATE_BA_x_FC_ANTENNA_EQUIPMENT",0.5656,0.23
"34","IN_CH_STATE_AM_x_FC_COMPUTER",0.547,0.22
"35","IN_CH_STATE_MG_x_CH_RURAL",0.5273,0.21
"36","IN_CH_STATE_TO_x_CH_FEDERAL",0.5247,0.21
"37","IN_CH_STATE_AL_x_FC_HAS_SPORTS_QUAD",0.5194,0.21
"38","IN_CH_STATE_RN_x_CH_RURAL",0.5171,0.21
"39","IN_CH_STATE_RN_x_FC_ANTENNA_EQUIPMENT",0.4957,0.2
"40","IN_CH_STATE_SE_x_CH_RURAL",0.4939,0.2
"41","IN_CH_STATE_MG_x_FC_HAS_SPORTS_QUAD",0.4634,0.19
"42","IN_CH_RURAL_x_FC_TV_EQUIPMENT",0.4271,0.17
"43","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",0.4039,0.16
"44","IN_CH_STATE_PB_x_FC_SEWAGE_PUBLIC",0.4012,0.16
"45","IN_CH_STATE_SE_x_FC_TV_EQUIPMENT",0.3941,0.16
"46","STR_TEACHERS_SECONDARY_FUNDEDU",0.3835,0.15
"47","IN_CH_RURAL_x_FC_COMPUTER",0.3684,0.15
"48","IN_CH_STATE_RN_x_FC_HAS_SPORTS_QUAD",0.3461,0.14
"49","IN_CH_STATE_PB_x_CH_STATE",0.3415,0.14
"50","IN_CH_STATE_x_FC_SCIENCE_LAB",0.311,0.13
"51","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",0.3028,0.12
"52","IN_CH_STATE_BA_x_FC_TV_EQUIPMENT",0.2674,0.11
"53","IN_CH_STATE_RJ_x_CH_PRIVATE",0.2609,0.11
"54","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SCIENCE_LAB",0.2443,0.1
"55","IN_CH_STATE_x_FC_SEWAGE_PUBLIC",0.2184,0.09
"56","IN_CH_STATE_SP_x_CH_URBAN",0.2009,0.08
"57","IN_CH_STATE_MA_x_FC_COMPUTER_LAB",0.1872,0.08
"58","IN_CH_STATE_AM_x_FC_ANTENNA_EQUIPMENT",0.1292,0.05
"59","IN_CH_STATE_PA_x_FC_TV_EQUIPMENT",0.1219,0.05
"60","IN_CH_STATE_PI_x_FC_ANTENNA_EQUIPMENT",0.1141,0.05
"61","IN_CH_STATE_BA_x_CH_URBAN",0.1117,0.05
"62","IN_CH_STATE_SE_x_FC_COMPUTER_LAB",0.1017,0.04
"63","IN_CH_STATE_AM_x_FC_WATER_PUBLIC",0.0999,0.04
"64","IN_CH_MUNICIPAL_x_FC_ELECTR",0.0859,0.03
"65","IN_CH_STATE_AL_x_CH_RURAL",0.0835,0.03
"66","IN_CH_STATE_PI_x_FC_SEWAGE_PUBLIC",0.014,0.01
"67","CLASS_STUDENT_TEACHER_RATIO",0.0011,0
