"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PR_x_CH_FEDERAL",8.5128,13.6
"2","IN_CH_STATE_CE_x_CH_FEDERAL",3.9082,6.24
"3","IN_CH_STATE_MA_x_FC_SCIENCE_LAB",3.1092,4.97
"4","IN_CH_STATE_MG_x_CH_PRIVATE",1.7177,2.74
"5","IN_CH_STATE_SC_x_CH_PRIVATE",1.6113,2.57
"6","IN_CH_STATE_PR_x_CH_PRIVATE",1.3773,2.2
"7","IN_CH_STATE_SC_x_FC_SCIENCE_LAB",1.0478,1.67
"8","IN_CH_STATE_PA_x_FC_ANTENNA_EQUIPMENT",1.001,1.6
"9","IN_CH_STATE_SP_x_CH_RURAL",0.9648,1.54
"10","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",0.8806,1.41
"11","IN_CH_STATE_RN_x_CH_PRIVATE",0.8578,1.37
"12","IN_CH_STATE_x_FC_SCIENCE_LAB",0.8281,1.32
"13","IN_CH_STATE_PR_x_FC_COMPUTER_LAB",0.811,1.3
"14","IN_CH_STATE_MG_x_FC_SCIENCE_LAB",0.6927,1.11
"15","IN_CH_STATE_RS_x_FC_SEWAGE_PUBLIC",0.6291,1.01
"16","IN_CH_STATE_BA_x_FC_ANTENNA_EQUIPMENT",0.5946,0.95
"17","IN_CH_PRIVATE_x_FC_SCIENCE_LAB",0.5357,0.86
"18","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",0.4361,0.7
"19","IN_CH_STATE_RS_x_FC_ANTENNA_EQUIPMENT",0.3799,0.61
"20","IN_CH_STATE_RR_x_CH_STATE",0.3681,0.59
"21","IN_CH_STATE_CE_x_FC_NO_SPORTS_QUAD",0.3569,0.57
"22","IN_CH_STATE_PI_x_FC_ANTENNA_EQUIPMENT",0.3474,0.55
"23","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",0.3387,0.54
"24","IN_CH_STATE_PR_x_CH_URBAN",0.3274,0.52
"25","IN_CH_STATE_TO_x_CH_RURAL",0.3203,0.51
"26","IN_CH_STATE_AP_x_FC_NO_SPORTS_QUAD",0.2908,0.46
"27","IN_CH_STATE_BA_x_CH_STATE",0.2607,0.42
"28","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",0.2472,0.39
"29","IN_CH_SCHOOL_LARGE_SIZE_x_FC_HAS_SPORTS_QUAD",0.2461,0.39
"30","IN_CH_STATE_AL_x_FC_HAS_SPORTS_QUAD",0.2284,0.36
"31","IN_CH_STATE_PI_x_FC_COMPUTER_LAB",0.215,0.34
"32","IN_CH_STATE_PI_x_FC_SCIENCE_LAB",0.2051,0.33
"33","FC_ELECTR",0.1895,0.3
"34","IN_CH_STATE_SE_x_FC_COMPUTER_LAB",0.1757,0.28
"35","IN_CH_FUNDAMENTAL_EDU_T_x_FC_COMPUTER_LAB",0.1641,0.26
"36","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER_LAB",0.1572,0.25
"37","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",0.1567,0.25
"38","IN_CH_STATE_AL_x_FC_SCIENCE_LAB",0.1474,0.24
"39","IN_CH_STATE_SC_x_CH_FUNDAMENTAL_EDU_T",0.1428,0.23
"40","IN_CH_STATE_x_FC_HAS_SPORTS_QUAD",0.1359,0.22
"41","IN_CH_RURAL_x_FC_WATER_PUBLIC",0.1353,0.22
"42","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",0.1078,0.17
