"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_CE_x_CH_FEDERAL",26.2778,8.6
"2","IN_CH_STATE_PE_x_CH_FEDERAL",10.1389,3.32
"3","IN_CH_STATE_RN_x_CH_PRIVATE",2.818,0.92
"4","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",2.6723,0.87
"5","IN_CH_STATE_AC_x_FC_ANTENNA_EQUIPMENT",2.4786,0.81
"6","IN_CH_STATE_PE_x_FC_ANTENNA_EQUIPMENT",2.2966,0.75
"7","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",2.0207,0.66
"8","IN_CH_STATE_ES_x_CH_RURAL",1.9415,0.64
"9","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",1.8421,0.6
"10","IN_CH_STATE_PB_x_CH_PRIVATE",1.7714,0.58
"11","IN_CH_STATE_SP_x_CH_PRIVATE",1.6416,0.54
"12","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",1.4946,0.49
"13","IN_CH_STATE_x_FC_SCIENCE_LAB",1.453,0.48
"14","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",1.4317,0.47
"15","IN_CH_STATE_AM_x_FC_ANTENNA_EQUIPMENT",1.4297,0.47
"16","IN_CH_STATE_TO_x_CH_RURAL",1.3202,0.43
"17","IN_CH_STATE_AP_x_FC_NO_SPORTS_QUAD",1.2883,0.42
"18","IN_CH_STATE_RO_x_CH_RURAL",1.2742,0.42
"19","IN_CH_STATE_MA_x_CH_FEDERAL",1.2309,0.4
"20","IN_CH_STATE_BA_x_FC_ANTENNA_EQUIPMENT",1.1919,0.39
"21","IN_CH_STATE_PA_x_FC_ANTENNA_EQUIPMENT",1.1852,0.39
"22","IN_CH_STATE_PA_x_CH_STATE",1.0891,0.36
"23","IN_CH_STATE_AL_x_FC_HAS_SPORTS_QUAD",1.0763,0.35
"24","IN_CH_STATE_BA_x_CH_STATE",1.0235,0.34
"25","IN_CH_STATE_PI_x_FC_ANTENNA_EQUIPMENT",0.9668,0.32
"26","IN_CH_STATE_BA_x_FC_COMPUTER_LAB",0.9561,0.31
"27","IN_CH_STATE_RN_x_CH_RURAL",0.8996,0.29
"28","IN_CH_STATE_RR_x_CH_RURAL",0.8879,0.29
"29","IN_CH_STATE_MA_x_FC_COMPUTER_LAB",0.8148,0.27
"30","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",0.7956,0.26
"31","IN_CH_STATE_SE_x_FC_COMPUTER_LAB",0.7896,0.26
"32","IN_CH_STATE_RN_x_FC_ANTENNA_EQUIPMENT",0.7621,0.25
"33","IN_CH_STATE_MG_x_FC_HAS_SPORTS_QUAD",0.7342,0.24
"34","IN_CH_RURAL_x_FC_TV_EQUIPMENT",0.7307,0.24
"35","IN_CH_STATE_MA_x_FC_ANTENNA_EQUIPMENT",0.7303,0.24
"36","IN_CH_STATE_SP_x_CH_STATE",0.6957,0.23
"37","IN_CH_STATE_SE_x_CH_RURAL",0.5544,0.18
"38","IN_CH_STATE_MG_x_CH_RURAL",0.5119,0.17
"39","IN_CH_STATE_RN_x_FC_SEWAGE_PUBLIC",0.5003,0.16
"40","IN_CH_FUNDAMENTAL_EDU_I_x_FC_ELECTR",0.4824,0.16
"41","IN_CH_STATE_PB_x_FC_SEWAGE_PUBLIC",0.4271,0.14
"42","IN_CH_STATE_SE_x_FC_TV_EQUIPMENT",0.4028,0.13
"43","IN_CH_STATE_PI_x_CH_URBAN",0.3876,0.13
"44","IN_CH_RURAL_x_FC_COMPUTER",0.3692,0.12
"45","IN_CH_STATE_PA_x_FC_TV_EQUIPMENT",0.3619,0.12
"46","IN_CH_STATE_MA_x_FC_COMPUTER",0.3313,0.11
"47","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",0.3303,0.11
"48","IN_CH_STATE_MA_x_CH_URBAN",0.3254,0.11
"49","STR_TEACHERS_SECONDARY_FUNDEDU",0.2808,0.09
"50","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",0.2433,0.08
"51","IN_CH_STATE_BA_x_CH_URBAN",0.207,0.07
"52","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",0.2054,0.07
"53","IN_CH_STATE_x_FC_SEWAGE_PUBLIC",0.1368,0.04
"54","IN_CH_STATE_AM_x_FC_COMPUTER",0.0898,0.03
"55","IN_CH_STATE_PB_x_CH_URBAN",0.0657,0.02
"56","IN_CH_STATE_PI_x_FC_WATER_PUBLIC",0.029,0.01
"57","IN_CH_STATE_MG_x_CH_PRIVATE",0.0267,0.01
"58","IN_CH_STATE_AL_x_CH_RURAL",0.0229,0.01
"59","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER",-1e-04,0
"60","CH_MATRI_FUNDAMENTAL_EDU_T",-3e-04,0
"61","IN_CH_STATE_RS_x_CH_SCHOOL_LARGE_SIZE",-6e-04,0
"62","IN_CH_STATE_RJ_x_FC_WATER_PUBLIC",-0.0144,0
"63","IN_CH_STATE_ES_x_FC_COMPUTER_LAB",-0.0206,-0.01
"64","FC_COMPUTER_LAB",-0.034,-0.01
"65","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",-0.0409,-0.01
"66","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",-0.0452,-0.01
"67","IN_CH_STATE_PI_x_CH_RURAL",-0.0454,-0.01
"68","IN_CH_STATE_MA_x_FC_SEWAGE_PUBLIC",-0.0868,-0.03
"69","IN_CH_STATE_AC_x_FC_SCIENCE_LAB",-0.1233,-0.04
"70","IN_CH_STATE_PB_x_CH_RURAL",-0.1418,-0.05
"71","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",-0.1436,-0.05
"72","IN_CH_STATE_BA_x_CH_RURAL",-0.1755,-0.06
"73","IN_CH_STATE_MG_x_FC_COMPUTER",-0.1887,-0.06
"74","IN_CH_MUNICIPAL_x_FC_HAS_SPORTS_QUAD",-0.1903,-0.06
"75","IN_CH_STATE_SC_x_FC_COMPUTER",-0.2105,-0.07
"76","IN_CH_STATE_RS_x_CH_FUNDAMENTAL_EDU_I",-0.2253,-0.07
"77","IN_CH_STATE_RJ_x_FC_ANTENNA_EQUIPMENT",-0.2344,-0.08
"78","IN_CH_MUNICIPAL_x_FC_SEWAGE_PUBLIC",-0.2361,-0.08
"79","IN_CH_STATE_CE_x_CH_RURAL",-0.2435,-0.08
"80","IN_CH_SCHOOL_LARGE_SIZE_x_FC_TV_EQUIPMENT",-0.2571,-0.08
"81","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",-0.3102,-0.1
"82","IN_CH_STATE_PR_x_FC_WATER_PUBLIC",-0.3174,-0.1
"83","IN_CH_URBAN_x_FC_WATER_PUBLIC",-0.4214,-0.14
"84","IN_CH_STATE_SP_x_FC_SCIENCE_LAB",-0.4363,-0.14
"85","IN_CH_STATE_RJ_x_FC_SEWAGE_PUBLIC",-0.5129,-0.17
"86","IN_CH_STATE_RO_x_FC_SCIENCE_LAB",-0.5154,-0.17
"87","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",-0.5322,-0.17
"88","IN_CH_STATE_MA_x_CH_RURAL",-0.5773,-0.19
"89","IN_CH_STATE_RJ_x_CH_MUNICIPAL",-0.6097,-0.2
"90","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",-0.6228,-0.2
"91","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",-0.6824,-0.22
"92","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",-0.7592,-0.25
"93","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",-0.7855,-0.26
"94","IN_CH_STATE_PB_x_FC_SCIENCE_LAB",-0.786,-0.26
"95","IN_CH_STATE_ES_x_CH_PRIVATE",-0.8,-0.26
"96","IN_CH_STATE_SC_x_FC_TV_EQUIPMENT",-0.8167,-0.27
"97","IN_CH_STATE_PR_x_FC_TV_EQUIPMENT",-0.8408,-0.28
"98","IN_CH_PRIVATE_x_FC_SCIENCE_LAB",-0.8922,-0.29
"99","IN_CH_STATE_RS_x_CH_MUNICIPAL",-0.9192,-0.3
"100","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",-0.9616,-0.31
"101","IN_CH_MUNICIPAL_x_FC_SCIENCE_LAB",-0.9699,-0.32
"102","IN_CH_STATE_RJ_x_FC_NO_SPORTS_QUAD",-0.997,-0.33
"103","IN_CH_STATE_PE_x_CH_PRIVATE",-1.016,-0.33
"104","IN_CH_STATE_x_FC_COMPUTER",-1.0196,-0.33
"105","IN_CH_FUNDAMENTAL_EDU_I_x_FC_COMPUTER_LAB",-1.0248,-0.34
"106","IN_CH_STATE_RS_x_CH_RURAL",-1.0942,-0.36
"107","IN_CH_STATE_TO_x_FC_HAS_SPORTS_QUAD",-1.1841,-0.39
"108","IN_CH_STATE_x_FC_TV_EQUIPMENT",-1.2614,-0.41
"109","IN_CH_STATE_AL_x_CH_PRIVATE",-1.3546,-0.44
"110","FC_WATER",-1.461,-0.48
"111","IN_CH_STATE_MA_x_CH_PRIVATE",-1.467,-0.48
"112","IN_CH_STATE_CE_x_FC_SCIENCE_LAB",-1.5056,-0.49
"113","IN_CH_STATE_PE_x_FC_SCIENCE_LAB",-1.5071,-0.49
"114","IN_CH_STATE_RJ_x_CH_RURAL",-1.5487,-0.51
"115","IN_CH_STATE_CE_x_CH_PRIVATE",-1.7058,-0.56
"116","IN_CH_STATE_RO_x_CH_PRIVATE",-1.7231,-0.56
"117","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",-1.7369,-0.57
"118","IN_CH_STATE_ES_x_FC_SCIENCE_LAB",-1.7739,-0.58
"119","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",-1.9402,-0.64
"120","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",-2.1179,-0.69
"121","IN_CH_STATE_MG_x_FC_TV_EQUIPMENT",-2.1632,-0.71
"122","IN_CH_URBAN_x_FC_COMPUTER",-2.3466,-0.77
"123","IN_CH_PRIVATE_x_FC_COMPUTER",-2.489,-0.81
"124","IN_CH_STATE_PA_x_CH_PRIVATE",-2.6948,-0.88
"125","IN_CH_STATE_AM_x_CH_PRIVATE",-2.8523,-0.93
"126","IN_CH_URBAN_x_FC_TV_EQUIPMENT",-3.032,-0.99
"127","IN_CH_RURAL_x_FC_SCIENCE_LAB",-3.119,-1.02
"128","IN_CH_STATE_BA_x_CH_FEDERAL",-3.9091,-1.28
"129","IN_CH_STATE_RN_x_FC_SCIENCE_LAB",-4.5976,-1.5
"130","IN_CH_STATE_SE_x_FC_SCIENCE_LAB",-4.6584,-1.52
"131","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",-4.689,-1.53
"132","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",-5.1605,-1.69
"133","IN_CH_STATE_AP_x_CH_SCHOOL_LARGE_SIZE",-5.3512,-1.75
"134","IN_CH_STATE_RR_x_CH_PRIVATE",-6.38,-2.09
"135","IN_CH_FEDERAL_x_FC_WATER_PUBLIC",-6.4248,-2.1
"136","IN_CH_STATE_SP_x_CH_FEDERAL",-9.4337,-3.09
"137","IN_CH_STATE_AC_x_CH_PRIVATE",-9.7537,-3.19
"138","IN_CH_STATE_ES_x_CH_FEDERAL",-11.8916,-3.89
"139","IN_CH_STATE_AL_x_CH_FEDERAL",-14.3396,-4.69
"140","IN_CH_STATE_RN_x_CH_FEDERAL",-25.2327,-8.26
"141","IN_CH_STATE_RO_x_CH_FEDERAL",-48.629,-15.92
