"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_RO_x_CH_FEDERAL",29.1566,-12.04
"2","IN_CH_STATE_RN_x_CH_FEDERAL",19.6978,-8.14
"3","IN_CH_STATE_AL_x_CH_FEDERAL",9.7993,-4.05
"4","IN_CH_STATE_AC_x_CH_PRIVATE",8.7224,-3.6
"5","IN_CH_STATE_ES_x_CH_FEDERAL",8.0579,-3.33
"6","IN_CH_STATE_BA_x_CH_FEDERAL",5.0993,-2.11
"7","IN_CH_FEDERAL_x_FC_WATER_PUBLIC",4.1006,-1.69
"8","IN_CH_STATE_RR_x_CH_PRIVATE",4.0802,-1.69
"9","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",3.7799,-1.56
"10","IN_CH_STATE_AP_x_CH_SCHOOL_LARGE_SIZE",3.4777,-1.44
"11","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",3.3686,-1.39
"12","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",3.2591,-1.35
"13","IN_CH_STATE_RN_x_FC_SCIENCE_LAB",3.0995,-1.28
"14","IN_CH_URBAN_x_FC_TV_EQUIPMENT",2.4235,-1
"15","IN_CH_RURAL_x_FC_SCIENCE_LAB",2.3957,-0.99
"16","IN_CH_PRIVATE_x_FC_COMPUTER",2.0262,-0.84
"17","IN_CH_STATE_MA_x_CH_PRIVATE",1.8472,-0.76
"18","IN_CH_URBAN_x_FC_COMPUTER",1.7837,-0.74
"19","IN_CH_STATE_SE_x_FC_SCIENCE_LAB",1.7758,-0.73
"20","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",1.6905,-0.7
"21","IN_CH_STATE_AM_x_CH_PRIVATE",1.68,-0.69
"22","IN_CH_STATE_RO_x_FC_SCIENCE_LAB",1.587,-0.66
"23","IN_CH_STATE_MG_x_FC_TV_EQUIPMENT",1.5345,-0.63
"24","IN_CH_STATE_RJ_x_CH_RURAL",1.5156,-0.63
"25","IN_CH_STATE_CE_x_CH_PRIVATE",1.3753,-0.57
"26","FC_WATER",1.2179,-0.5
"27","IN_CH_STATE_CE_x_FC_SCIENCE_LAB",1.1271,-0.47
"28","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",1.0962,-0.45
"29","IN_CH_STATE_PE_x_FC_SCIENCE_LAB",1.0866,-0.45
"30","IN_CH_STATE_x_FC_TV_EQUIPMENT",1.0705,-0.44
"31","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",0.8975,-0.37
"32","IN_CH_STATE_RS_x_CH_RURAL",0.8816,-0.36
"33","IN_CH_STATE_PA_x_CH_PRIVATE",0.8798,-0.36
"34","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",0.8712,-0.36
"35","IN_CH_STATE_CE_x_CH_RURAL",0.8223,-0.34
"36","IN_CH_STATE_RJ_x_FC_NO_SPORTS_QUAD",0.8187,-0.34
"37","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",0.7417,-0.31
"38","IN_CH_STATE_ES_x_CH_PRIVATE",0.6399,-0.26
"39","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",0.5977,-0.25
"40","IN_CH_STATE_TO_x_FC_HAS_SPORTS_QUAD",0.593,-0.24
"41","IN_CH_STATE_ES_x_FC_SCIENCE_LAB",0.5617,-0.23
"42","IN_CH_FUNDAMENTAL_EDU_I_x_FC_COMPUTER_LAB",0.5552,-0.23
"43","IN_CH_STATE_RO_x_CH_PRIVATE",0.4924,-0.2
"44","IN_CH_MUNICIPAL_x_FC_HAS_SPORTS_QUAD",0.4838,-0.2
"45","IN_CH_STATE_RS_x_CH_MUNICIPAL",0.4827,-0.2
"46","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",0.4709,-0.19
"47","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",0.4657,-0.19
"48","IN_CH_STATE_SC_x_FC_TV_EQUIPMENT",0.4466,-0.18
"49","IN_CH_MUNICIPAL_x_FC_SCIENCE_LAB",0.4326,-0.18
"50","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",0.431,-0.18
"51","IN_CH_URBAN_x_FC_WATER_PUBLIC",0.3788,-0.16
"52","IN_CH_STATE_x_FC_COMPUTER",0.339,-0.14
"53","IN_CH_STATE_PB_x_FC_SCIENCE_LAB",0.3368,-0.14
"54","IN_CH_STATE_PR_x_FC_TV_EQUIPMENT",0.3272,-0.14
"55","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",0.3242,-0.13
"56","IN_CH_STATE_PE_x_CH_PRIVATE",0.319,-0.13
"57","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",0.3078,-0.13
"58","IN_CH_STATE_RJ_x_CH_MUNICIPAL",0.2814,-0.12
"59","IN_CH_STATE_AL_x_CH_SCHOOL_LARGE_SIZE",0.2791,-0.12
"60","IN_CH_STATE_PA_x_FC_SEWAGE_PUBLIC",0.277,-0.11
"61","IN_CH_PRIVATE_x_FC_SCIENCE_LAB",0.2563,-0.11
"62","IN_CH_STATE_PB_x_CH_RURAL",0.221,-0.09
"63","IN_CH_STATE_ES_x_FC_COMPUTER_LAB",0.2113,-0.09
"64","IN_CH_STATE_PA_x_FC_WATER_PUBLIC",0.2026,-0.08
"65","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",0.1868,-0.08
"66","FC_COMPUTER_LAB",0.1685,-0.07
"67","IN_CH_STATE_AL_x_CH_PRIVATE",0.1682,-0.07
"68","IN_CH_STATE_MA_x_CH_RURAL",0.1663,-0.07
"69","IN_CH_STATE_PR_x_FC_WATER_PUBLIC",0.1363,-0.06
"70","IN_CH_MUNICIPAL_x_FC_SEWAGE_PUBLIC",0.1136,-0.05
"71","IN_CH_STATE_RO_x_CH_SCHOOL_LARGE_SIZE",0.1104,-0.05
"72","IN_CH_STATE_ES_x_CH_STATE",0.0924,-0.04
