"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_FEDERAL_x_FC_SCIENCE_LAB",1.9571,-4.37
"2","IN_CH_STATE_RO_x_CH_FEDERAL",1.8052,-4.03
"3","IN_CH_STATE_ES_x_CH_FEDERAL",1.6693,-3.73
"4","IN_CH_STATE_SE_x_CH_FEDERAL",1.2901,-2.88
"5","IN_CH_STATE_RR_x_CH_PRIVATE",1.1685,-2.61
"6","IN_CH_STATE_AC_x_CH_PRIVATE",0.8152,-1.82
"7","IN_CH_STATE_AP_x_CH_SCHOOL_LARGE_SIZE",0.551,-1.23
"8","IN_CH_FEDERAL_x_FC_WATER_PUBLIC",0.5462,-1.22
"9","IN_CH_STATE_AM_x_CH_PRIVATE",0.507,-1.13
"10","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",0.4372,-0.98
"11","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.4062,-0.91
"12","IN_CH_STATE_RJ_x_FC_SCIENCE_LAB",0.306,-0.68
"13","IN_CH_STATE_AP_x_CH_PRIVATE",0.3044,-0.68
"14","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",0.3038,-0.68
"15","IN_CH_STATE_SE_x_FC_SCIENCE_LAB",0.2555,-0.57
"16","IN_CH_STATE_PA_x_CH_PRIVATE",0.2538,-0.57
"17","IN_CH_STATE_RN_x_FC_SCIENCE_LAB",0.2398,-0.54
"18","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",0.2343,-0.52
"19","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",0.2299,-0.51
"20","IN_CH_STATE_TO_x_FC_HAS_SPORTS_QUAD",0.2208,-0.49
"21","IN_CH_STATE_SP_x_FC_COMPUTER_LAB",0.2124,-0.47
"22","IN_CH_STATE_SP_x_FC_SCIENCE_LAB",0.2122,-0.47
"23","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",0.206,-0.46
"24","IN_CH_STATE_MA_x_CH_PRIVATE",0.1775,-0.4
"25","IN_CH_STATE_RS_x_CH_STATE",0.1719,-0.38
"26","IN_CH_STATE_CE_x_CH_PRIVATE",0.1692,-0.38
"27","IN_CH_STATE_RO_x_FC_SCIENCE_LAB",0.1656,-0.37
"28","IN_CH_URBAN_x_FC_COMPUTER",0.1655,-0.37
"29","IN_CH_URBAN_x_FC_TV_EQUIPMENT",0.1608,-0.36
"30","IN_CH_STATE_RJ_x_FC_HAS_SPORTS_QUAD",0.1571,-0.35
"31","IN_CH_STATE_MG_x_FC_TV_EQUIPMENT",0.1558,-0.35
"32","IN_CH_STATE_RO_x_FC_HAS_SPORTS_QUAD",0.1384,-0.31
"33","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",0.13,-0.29
"34","IN_CH_STATE_RS_x_FC_TV_EQUIPMENT",0.1157,-0.26
"35","STR_TEACHERS_INCOMPLETE_FUNDEDU",0.112,-0.25
"36","IN_CH_STATE_SC_x_FC_COMPUTER",0.1013,-0.23
"37","IN_CH_STATE_ES_x_FC_SCIENCE_LAB",0.1011,-0.23
"38","IN_CH_STATE_x_FC_TV_EQUIPMENT",0.0993,-0.22
"39","IN_CH_MUNICIPAL_x_FC_HAS_SPORTS_QUAD",0.0905,-0.2
"40","IN_CH_STATE_PR_x_CH_RURAL",0.0877,-0.2
"41","IN_CH_STATE_RJ_x_FC_COMPUTER_LAB",0.0861,-0.19
"42","IN_CH_STATE_MG_x_FC_COMPUTER",0.0822,-0.18
"43","IN_CH_PRIVATE_x_FC_TV_EQUIPMENT",0.0803,-0.18
"44","IN_CH_PRIVATE_x_FC_ANTENNA_EQUIPMENT",0.0752,-0.17
"45","IN_CH_STATE_RN_x_CH_SCHOOL_LARGE_SIZE",0.0732,-0.16
"46","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",0.0731,-0.16
"47","IN_CH_STATE_RJ_x_CH_SCHOOL_LARGE_SIZE",0.0709,-0.16
"48","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",0.0699,-0.16
"49","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",0.0659,-0.15
"50","IN_CH_RURAL_x_FC_COMPUTER_LAB",0.065,-0.15
"51","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",0.063,-0.14
"52","IN_CH_STATE_PR_x_FC_TV_EQUIPMENT",0.0586,-0.13
"53","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",0.0554,-0.12
"54","IN_CH_STATE_CE_x_FC_SEWAGE_PUBLIC",0.0553,-0.12
"55","IN_CH_STATE_SC_x_CH_STATE",0.0531,-0.12
"56","IN_CH_STATE_SP_x_CH_SCHOOL_LARGE_SIZE",0.0489,-0.11
"57","IN_CH_STATE_RS_x_CH_RURAL",0.0471,-0.11
"58","IN_CH_MUNICIPAL_x_FC_WATER_PUBLIC",0.0446,-0.1
"59","IN_CH_STATE_ES_x_FC_SEWAGE_PUBLIC",0.0444,-0.1
"60","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",0.0442,-0.1
"61","IN_CH_STATE_PE_x_CH_PRIVATE",0.0426,-0.1
"62","IN_CH_STATE_PA_x_FC_SEWAGE_PUBLIC",0.0421,-0.09
"63","IN_CH_STATE_SC_x_FC_TV_EQUIPMENT",0.0389,-0.09
"64","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",0.038,-0.08
"65","IN_CH_PRIVATE_x_FC_COMPUTER",0.0368,-0.08
"66","IN_CH_STATE_MA_x_CH_RURAL",0.036,-0.08
"67","IN_CH_STATE_PI_x_CH_RURAL",0.033,-0.07
"68","IN_CH_STATE_RO_x_CH_SCHOOL_LARGE_SIZE",0.0319,-0.07
"69","IN_CH_STATE_RO_x_CH_URBAN",0.0285,-0.06
"70","IN_CH_STATE_AP_x_FC_COMPUTER_LAB",0.0283,-0.06
"71","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",0.0257,-0.06
"72","IN_CH_STATE_SP_x_FC_SEWAGE_PUBLIC",0.0233,-0.05
"73","FC_WATER",0.0215,-0.05
"74","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",0.0207,-0.05
"75","IN_CH_STATE_BA_x_CH_RURAL",0.0204,-0.05
"76","IN_CH_STATE_SP_x_CH_RURAL",0.0197,-0.04
"77","IN_CH_STATE_ES_x_CH_URBAN",0.018,-0.04
"78","IN_CH_STATE_PB_x_CH_SCHOOL_LARGE_SIZE",0.0167,-0.04
"79","IN_CH_STATE_CE_x_CH_SCHOOL_LARGE_SIZE",0.0137,-0.03
"80","IN_CH_STATE_AL_x_CH_RURAL",0.0134,-0.03
"81","IN_CH_STATE_PE_x_CH_STATE",0.0124,-0.03
"82","IN_CH_STATE_PB_x_CH_MUNICIPAL",0.0094,-0.02
"83","IN_CH_STATE_PB_x_CH_RURAL",0.0093,-0.02
"84","IN_CH_RURAL_x_FC_WATER",0.0088,-0.02
"85","IN_CH_STATE_PE_x_FC_NO_SPORTS_QUAD",0.0056,-0.01
"86","IN_CH_STATE_AC_x_FC_SCIENCE_LAB",0.005,-0.01
"87","IN_CH_STATE_BA_x_CH_PRIVATE",0.0036,-0.01
"88","IN_CH_STATE_MG_x_FC_WATER_PUBLIC",0.0023,-0.01
"89","CH_RURAL",0.0021,0
"90","CH_MATRI_FUNDAMENTAL_EDU_T",1e-04,0
"91","FC_NUMBER_COMPUTERS",1e-04,0
"92","IN_CH_SCHOOL_LARGE_SIZE_x_FC_TV_EQUIPMENT",1e-04,0
"93","CH_STATE_PE",0,0
"94","IN_CH_STATE_PE_x_FC_WATER",0,0
"95","IN_CH_STATE_RS_x_FC_COMPUTER_LAB",-1e-04,0
"96","IN_CH_STATE_x_FC_WATER_PUBLIC",-2e-04,0
"97","FC_ROOMS_AVAILABLE",-8e-04,0
"98","IN_CH_STATE_BA_x_CH_URBAN",-0.0016,0
"99","ST_FUND_EDU_TEACHERS",-0.0022,0
"100","IN_CH_STATE_AM_x_FC_WATER_PUBLIC",-0.0025,0.01
"101","IN_CH_STATE_RJ_x_CH_RURAL",-0.0031,0.01
"102","IN_CH_STATE_AM_x_FC_COMPUTER",-0.0059,0.01
"103","IN_CH_SCHOOL_LARGE_SIZE_x_FC_HAS_SPORTS_QUAD",-0.0065,0.01
"104","IN_CH_STATE_PA_x_FC_TV_EQUIPMENT",-0.0122,0.03
"105","FC_ELECTR",-0.0128,0.03
"106","IN_CH_STATE_SC_x_CH_SCHOOL_LARGE_SIZE",-0.0131,0.03
"107","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",-0.0133,0.03
"108","IN_CH_FUNDAMENTAL_EDU_I_x_FC_ELECTR",-0.0144,0.03
