"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_RO_x_CH_FEDERAL",29.3632,-11.1
"2","IN_CH_STATE_RN_x_CH_FEDERAL",21.8485,-8.26
"3","IN_CH_STATE_AC_x_CH_PRIVATE",9.4155,-3.56
"4","IN_CH_STATE_AL_x_CH_FEDERAL",8.8606,-3.35
"5","IN_CH_STATE_BA_x_CH_FEDERAL",8.6988,-3.29
"6","IN_CH_STATE_ES_x_CH_FEDERAL",8.6042,-3.25
"7","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",6.0805,-2.3
"8","IN_CH_STATE_RR_x_CH_PRIVATE",4.4147,-1.67
"9","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",4.1613,-1.57
"10","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",3.7162,-1.4
"11","IN_CH_FEDERAL_x_FC_WATER_PUBLIC",3.7074,-1.4
"12","IN_CH_STATE_AP_x_CH_SCHOOL_LARGE_SIZE",3.6771,-1.39
"13","IN_CH_STATE_RN_x_FC_SCIENCE_LAB",3.4924,-1.32
"14","IN_CH_RURAL_x_FC_SCIENCE_LAB",2.6871,-1.02
"15","IN_CH_URBAN_x_FC_TV_EQUIPMENT",2.6124,-0.99
"16","IN_CH_STATE_SE_x_FC_SCIENCE_LAB",2.3324,-0.88
"17","IN_CH_STATE_AM_x_CH_PRIVATE",2.1458,-0.81
"18","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",2.0031,-0.76
"19","IN_CH_STATE_MA_x_CH_PRIVATE",1.9507,-0.74
"20","IN_CH_PRIVATE_x_FC_COMPUTER",1.7955,-0.68
"21","IN_CH_URBAN_x_FC_COMPUTER",1.7848,-0.67
"22","IN_CH_STATE_MG_x_FC_TV_EQUIPMENT",1.6175,-0.61
"23","IN_CH_STATE_CE_x_FC_SCIENCE_LAB",1.5223,-0.58
"24","IN_CH_STATE_CE_x_CH_PRIVATE",1.5043,-0.57
"25","IN_CH_STATE_RJ_x_CH_RURAL",1.4152,-0.54
"26","IN_CH_STATE_RO_x_FC_SCIENCE_LAB",1.3594,-0.51
"27","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",1.306,-0.49
"28","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",1.2621,-0.48
"29","IN_CH_STATE_PA_x_CH_PRIVATE",1.2445,-0.47
"30","FC_WATER",1.1359,-0.43
"31","IN_CH_STATE_RO_x_CH_PRIVATE",1.1169,-0.42
"32","IN_CH_STATE_PE_x_FC_SCIENCE_LAB",1.095,-0.41
"33","IN_CH_STATE_RJ_x_FC_NO_SPORTS_QUAD",1.0681,-0.4
"34","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",0.9835,-0.37
"35","IN_CH_STATE_x_FC_TV_EQUIPMENT",0.9599,-0.36
"36","IN_CH_STATE_RS_x_CH_RURAL",0.8789,-0.33
"37","IN_CH_STATE_CE_x_CH_RURAL",0.8329,-0.31
"38","IN_CH_STATE_ES_x_FC_SCIENCE_LAB",0.827,-0.31
"39","IN_CH_STATE_AC_x_FC_SCIENCE_LAB",0.8126,-0.31
"40","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",0.7366,-0.28
"41","IN_CH_STATE_TO_x_FC_HAS_SPORTS_QUAD",0.665,-0.25
