"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PB_x_CH_FEDERAL",1237.3035,10.61
"2","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",186.4213,1.6
"3","FC_WATER",50.063,0.43
"4","IN_CH_STATE_MG_x_CH_STATE",37.3104,0.32
"5","IN_CH_STATE_RO_x_CH_STATE",35.1482,0.3
"6","IN_CH_STATE_RR_x_FC_ELECTR_PUBLIC",31.7831,0.27
"7","IN_CH_STATE_x_FC_SEWAGE",29.4866,0.25
"8","IN_CH_STATE_RN_x_FC_HAS_SPORTS_QUAD",27.4834,0.24
"9","IN_CH_STATE_MG_x_CH_RURAL",21.6954,0.19
"10","IN_CH_STATE_x_FC_WATER",19.3964,0.17
"11","IN_CH_STATE_x_FC_ELECTR",15.7918,0.14
"12","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",14.6406,0.13
"13","IN_CH_STATE_PR_x_CH_RURAL",12.5675,0.11
"14","IN_CH_STATE_TO_x_FC_TV_EQUIPMENT",7.8921,0.07
"15","IN_CH_RURAL_x_FC_INTERNET",7.7483,0.07
"16","FC_TV_EQUIPMENT",7.3592,0.06
"17","FC_WATER_PUBLIC",5.7443,0.05
"18","IN_CH_RURAL_x_FC_SCIENCE_LAB",5.4583,0.05
"19","FC_INTERNET",5.3436,0.05
"20","FC_ANTENNA_EQUIPMENT",4.9586,0.04
"21","ST_TEACHER_EDUCATION_YEARS",2.4363,0.02
"22","IN_CH_STATE_TO_x_FC_ANTENNA_EQUIPMENT",2.27,0.02
"23","IN_CH_FUNDAMENTAL_EDU_I_x_FC_ANTENNA_EQUIPMENT",1.6365,0.01
"24","FC_ROOMS_AVAILABLE",1.4952,0.01
"25","CLASS_SIZE",0.6366,0.01
"26","IN_CH_RURAL_x_FC_LIBRARY",0.0563,0
"27","FC_ROOMS_USED",0.0133,0
"28","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",-0.4909,0
"29","IN_CH_STATE_AL_x_FC_COMPUTER",-0.6209,-0.01
"30","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",-3.9844,-0.03
"31","IN_CH_STATE_PI_x_CH_RURAL",-4.6095,-0.04
"32","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",-7.7872,-0.07
"33","IN_CH_STATE_CE_x_FC_COMPUTER",-8.6787,-0.07
"34","IN_CH_STATE_CE_x_FC_INTERNET",-8.8119,-0.08
"35","IN_CH_STATE_PE_x_CH_STATE",-8.9159,-0.08
"36","IN_CH_STATE_PI_x_FC_SEWAGE_PUBLIC",-9.7417,-0.08
"37","IN_CH_STATE_AL_x_CH_PRIVATE",-11.2192,-0.1
"38","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",-13.8116,-0.12
"39","IN_CH_STATE_AC_x_CH_URBAN",-17.6509,-0.15
"40","IN_CH_STATE_BA_x_CH_URBAN",-18.3433,-0.16
"41","IN_CH_STATE_AC_x_CH_STATE",-19.703,-0.17
"42","IN_CH_STATE_BA_x_FC_ANTENNA_EQUIPMENT",-19.8122,-0.17
"43","IN_CH_STATE_BA_x_FC_INTERNET",-27.8343,-0.24
"44","IN_CH_STATE_ES_x_FC_LIBRARY",-29.7165,-0.25
"45","IN_CH_STATE_CE_x_CH_URBAN",-33.7914,-0.29
"46","IN_CH_STATE_MA_x_CH_URBAN",-35.3131,-0.3
"47","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",-37.0113,-0.32
"48","IN_CH_STATE_PA_x_CH_SCHOOL_LARGE_SIZE",-40.4795,-0.35
"49","IN_CH_STATE_MA_x_CH_STATE",-40.9063,-0.35
"50","IN_CH_STATE_AL_x_FC_INTERNET",-48.3119,-0.41
"51","IN_CH_STATE_AC_x_FC_TV_EQUIPMENT",-50.1002,-0.43
"52","IN_CH_STATE_ES_x_FC_SEWAGE_PUBLIC",-52.8837,-0.45
"53","IN_CH_STATE_BA_x_CH_STATE",-53.9913,-0.46
"54","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",-56.5345,-0.48
"55","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",-83.6986,-0.72
"56","IN_CH_STATE_ES_x_CH_SCHOOL_LARGE_SIZE",-96.0821,-0.82
"57","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",-100.525,-0.86
"58","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",-121.8876,-1.05
"59","IN_CH_STATE_AC_x_CH_PRIVATE",-340.9795,-2.93
