"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PB_x_CH_FEDERAL",1535.5436,10.79
"2","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",230.532,1.62
"3","FC_WATER",63.8852,0.45
"4","IN_CH_STATE_MG_x_CH_STATE",46.8669,0.33
"5","IN_CH_STATE_RO_x_CH_STATE",43.6661,0.31
"6","IN_CH_STATE_RR_x_FC_ELECTR_PUBLIC",39.6095,0.28
"7","IN_CH_STATE_x_FC_SEWAGE",39.1035,0.27
"8","IN_CH_STATE_RN_x_FC_HAS_SPORTS_QUAD",34.677,0.24
"9","IN_CH_STATE_MG_x_CH_RURAL",26.021,0.18
"10","IN_CH_STATE_x_FC_ELECTR",20.8323,0.15
"11","IN_CH_STATE_x_FC_WATER",20.0985,0.14
"12","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",18.0699,0.13
"13","IN_CH_STATE_PR_x_CH_RURAL",15.5004,0.11
"14","IN_CH_STATE_TO_x_FC_TV_EQUIPMENT",11.47,0.08
"15","IN_CH_RURAL_x_FC_INTERNET",8.9904,0.06
"16","FC_TV_EQUIPMENT",8.65,0.06
"17","FC_INTERNET",7.0908,0.05
"18","FC_WATER_PUBLIC",6.8471,0.05
"19","IN_CH_RURAL_x_FC_SCIENCE_LAB",6.3152,0.04
"20","FC_ANTENNA_EQUIPMENT",5.7895,0.04
"21","ST_TEACHER_EDUCATION_YEARS",3.0592,0.02
"22","IN_CH_FUNDAMENTAL_EDU_I_x_FC_ANTENNA_EQUIPMENT",2.4302,0.02
"23","FC_ROOMS_AVAILABLE",1.8642,0.01
"24","CLASS_SIZE",0.7992,0.01
"25","IN_CH_RURAL_x_FC_LIBRARY",0.755,0.01
"26","IN_CH_STATE_TO_x_FC_ANTENNA_EQUIPMENT",0.6737,0
"27","FC_ROOMS_USED",0.0058,0
"28","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",-0.0447,0
"29","IN_CH_STATE_AL_x_FC_COMPUTER",-1.029,-0.01
"30","IN_CH_STATE_PI_x_CH_RURAL",-6.2443,-0.04
"31","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",-9.228,-0.06
"32","IN_CH_STATE_CE_x_FC_COMPUTER",-10.5653,-0.07
"33","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",-10.9063,-0.08
"34","IN_CH_STATE_CE_x_FC_INTERNET",-10.9454,-0.08
"35","IN_CH_STATE_PI_x_FC_SEWAGE_PUBLIC",-11.4389,-0.08
"36","IN_CH_STATE_PE_x_CH_STATE",-11.7126,-0.08
"37","IN_CH_STATE_AL_x_CH_PRIVATE",-16.6581,-0.12
"38","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",-17.7796,-0.12
"39","IN_CH_STATE_AC_x_CH_URBAN",-19.209,-0.14
"40","IN_CH_STATE_BA_x_CH_URBAN",-22.472,-0.16
"41","IN_CH_STATE_AC_x_CH_STATE",-23.0346,-0.16
"42","IN_CH_STATE_BA_x_FC_ANTENNA_EQUIPMENT",-24.3709,-0.17
"43","IN_CH_STATE_BA_x_FC_INTERNET",-34.6937,-0.24
"44","IN_CH_STATE_ES_x_FC_LIBRARY",-36.9684,-0.26
"45","IN_CH_STATE_MA_x_CH_URBAN",-41.8042,-0.29
"46","IN_CH_STATE_CE_x_CH_URBAN",-41.9659,-0.29
"47","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",-46.5461,-0.33
"48","IN_CH_STATE_PA_x_CH_SCHOOL_LARGE_SIZE",-50.9107,-0.36
"49","IN_CH_STATE_MA_x_CH_STATE",-55.4497,-0.39
"50","IN_CH_STATE_AL_x_FC_INTERNET",-58.486,-0.41
"51","IN_CH_STATE_AC_x_FC_TV_EQUIPMENT",-59.7071,-0.42
"52","IN_CH_STATE_ES_x_FC_SEWAGE_PUBLIC",-65.6934,-0.46
"53","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",-69.3298,-0.49
"54","IN_CH_STATE_BA_x_CH_STATE",-73.6791,-0.52
"55","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",-104.1712,-0.73
"56","IN_CH_STATE_ES_x_CH_SCHOOL_LARGE_SIZE",-120.0785,-0.84
"57","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",-130.1499,-0.91
"58","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",-150.1768,-1.06
"59","IN_CH_STATE_AC_x_CH_PRIVATE",-434.2021,-3.05
