"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PB_x_CH_FEDERAL",1126.8949,10.77
"2","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",167.6329,1.6
"3","FC_WATER",45.6043,0.44
"4","IN_CH_STATE_MG_x_CH_STATE",34.098,0.33
"5","IN_CH_STATE_RO_x_CH_STATE",31.7683,0.3
"6","IN_CH_STATE_RR_x_FC_ELECTR_PUBLIC",28.7189,0.27
"7","IN_CH_STATE_x_FC_SEWAGE",26.7581,0.26
"8","IN_CH_STATE_RN_x_FC_HAS_SPORTS_QUAD",25.0359,0.24
"9","IN_CH_STATE_MG_x_CH_RURAL",19.0361,0.18
"10","IN_CH_STATE_x_FC_WATER",15.9954,0.15
"11","IN_CH_STATE_x_FC_ELECTR",15.4702,0.15
"12","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",13.1678,0.13
"13","IN_CH_STATE_PR_x_CH_RURAL",11.3402,0.11
"14","IN_CH_STATE_TO_x_FC_TV_EQUIPMENT",8.2922,0.08
"15","IN_CH_RURAL_x_FC_INTERNET",6.6407,0.06
"16","FC_TV_EQUIPMENT",6.265,0.06
"17","FC_WATER_PUBLIC",5.0649,0.05
"18","FC_INTERNET",4.9833,0.05
"19","IN_CH_RURAL_x_FC_SCIENCE_LAB",4.7391,0.05
"20","FC_ANTENNA_EQUIPMENT",4.3037,0.04
"21","ST_TEACHER_EDUCATION_YEARS",2.2342,0.02
"22","IN_CH_FUNDAMENTAL_EDU_I_x_FC_ANTENNA_EQUIPMENT",1.7142,0.02
"23","FC_ROOMS_AVAILABLE",1.3507,0.01
"24","CLASS_SIZE",0.5803,0.01
"25","IN_CH_STATE_TO_x_FC_ANTENNA_EQUIPMENT",0.5597,0.01
"26","IN_CH_RURAL_x_FC_LIBRARY",0.2419,0
"27","FC_ROOMS_USED",0.0061,0
"28","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",-0.1657,0
"29","IN_CH_STATE_AL_x_FC_COMPUTER",-0.3999,0
"30","IN_CH_STATE_PI_x_CH_RURAL",-4.3392,-0.04
"31","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",-5.1124,-0.05
"32","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",-7.2944,-0.07
"33","IN_CH_STATE_CE_x_FC_COMPUTER",-7.6255,-0.07
"34","IN_CH_STATE_CE_x_FC_INTERNET",-8.0673,-0.08
"35","IN_CH_STATE_PE_x_CH_STATE",-8.3625,-0.08
"36","IN_CH_STATE_PI_x_FC_SEWAGE_PUBLIC",-8.5451,-0.08
"37","IN_CH_STATE_AL_x_CH_PRIVATE",-11.3916,-0.11
"38","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",-12.873,-0.12
"39","IN_CH_STATE_AC_x_CH_URBAN",-14.2745,-0.14
"40","IN_CH_STATE_BA_x_CH_URBAN",-16.9405,-0.16
"41","IN_CH_STATE_BA_x_FC_ANTENNA_EQUIPMENT",-17.4835,-0.17
"42","IN_CH_STATE_AC_x_CH_STATE",-17.6656,-0.17
"43","IN_CH_STATE_BA_x_FC_INTERNET",-25.0061,-0.24
"44","IN_CH_STATE_ES_x_FC_LIBRARY",-26.0468,-0.25
"45","IN_CH_STATE_MA_x_CH_URBAN",-30.4443,-0.29
"46","IN_CH_STATE_CE_x_CH_URBAN",-30.85,-0.29
"47","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",-33.8871,-0.32
"48","IN_CH_STATE_PA_x_CH_SCHOOL_LARGE_SIZE",-37.0095,-0.35
"49","IN_CH_STATE_MA_x_CH_STATE",-37.6892,-0.36
"50","IN_CH_STATE_AL_x_FC_INTERNET",-43.6418,-0.42
"51","IN_CH_STATE_AC_x_FC_TV_EQUIPMENT",-44.9469,-0.43
"52","IN_CH_STATE_ES_x_FC_SEWAGE_PUBLIC",-48.4425,-0.46
"53","IN_CH_STATE_BA_x_CH_STATE",-49.0026,-0.47
"54","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",-51.1599,-0.49
"55","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",-75.3232,-0.72
"56","IN_CH_STATE_ES_x_CH_SCHOOL_LARGE_SIZE",-87.3577,-0.83
"57","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",-93.7028,-0.9
"58","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",-109.2133,-1.04
"59","IN_CH_STATE_AC_x_CH_PRIVATE",-307.5474,-2.94
