"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PB_x_CH_FEDERAL",1483.1521,10.84
"2","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",223.0365,1.63
"3","FC_WATER",61.9827,0.45
"4","IN_CH_STATE_MG_x_CH_STATE",45.1189,0.33
"5","IN_CH_STATE_RO_x_CH_STATE",42.0156,0.31
"6","IN_CH_STATE_RR_x_FC_ELECTR_PUBLIC",38.2144,0.28
"7","IN_CH_STATE_x_FC_SEWAGE",38.0171,0.28
"8","IN_CH_STATE_RN_x_FC_HAS_SPORTS_QUAD",33.6538,0.25
"9","IN_CH_STATE_MG_x_CH_RURAL",25.2024,0.18
"10","IN_CH_STATE_x_FC_WATER",19.9742,0.15
"11","IN_CH_STATE_x_FC_ELECTR",19.187,0.14
"12","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",17.4682,0.13
"13","IN_CH_STATE_PR_x_CH_RURAL",14.9126,0.11
"14","IN_CH_STATE_TO_x_FC_TV_EQUIPMENT",11.374,0.08
"15","IN_CH_RURAL_x_FC_INTERNET",8.7246,0.06
"16","FC_TV_EQUIPMENT",8.3003,0.06
"17","FC_WATER_PUBLIC",6.6913,0.05
"18","FC_INTERNET",6.6638,0.05
"19","IN_CH_RURAL_x_FC_SCIENCE_LAB",6.1691,0.05
"20","FC_ANTENNA_EQUIPMENT",5.6707,0.04
"21","ST_TEACHER_EDUCATION_YEARS",2.9492,0.02
"22","IN_CH_FUNDAMENTAL_EDU_I_x_FC_ANTENNA_EQUIPMENT",2.3332,0.02
"23","FC_ROOMS_AVAILABLE",1.802,0.01
"24","IN_CH_RURAL_x_FC_LIBRARY",0.7781,0.01
"25","CLASS_SIZE",0.7753,0.01
"26","IN_CH_STATE_TO_x_FC_ANTENNA_EQUIPMENT",0.2195,0
"27","FC_ROOMS_USED",0.0033,0
"28","IN_CH_STATE_AL_x_FC_COMPUTER",-0.8239,-0.01
"29","IN_CH_STATE_PI_x_CH_RURAL",-6.1917,-0.05
"30","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",-8.7886,-0.06
"31","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",-9.9011,-0.07
"32","IN_CH_STATE_CE_x_FC_INTERNET",-10.468,-0.08
"33","IN_CH_STATE_CE_x_FC_COMPUTER",-10.5695,-0.08
"34","IN_CH_STATE_PI_x_FC_SEWAGE_PUBLIC",-10.7884,-0.08
"35","IN_CH_STATE_PE_x_CH_STATE",-10.9877,-0.08
"36","IN_CH_STATE_AL_x_CH_PRIVATE",-16.134,-0.12
"37","IN_CH_STATE_AC_x_CH_URBAN",-16.8911,-0.12
"38","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",-17.1793,-0.13
"39","IN_CH_STATE_BA_x_CH_URBAN",-21.9739,-0.16
"40","IN_CH_STATE_AC_x_CH_STATE",-23.348,-0.17
"41","IN_CH_STATE_BA_x_FC_ANTENNA_EQUIPMENT",-23.616,-0.17
"42","IN_CH_STATE_BA_x_FC_INTERNET",-33.3265,-0.24
"43","IN_CH_STATE_ES_x_FC_LIBRARY",-35.6172,-0.26
"44","IN_CH_STATE_MA_x_CH_URBAN",-40.3957,-0.3
"45","IN_CH_STATE_CE_x_CH_URBAN",-40.5578,-0.3
"46","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",-45.0487,-0.33
"47","IN_CH_STATE_PA_x_CH_SCHOOL_LARGE_SIZE",-49.4379,-0.36
"48","IN_CH_STATE_MA_x_CH_STATE",-52.7647,-0.39
"49","IN_CH_STATE_AL_x_FC_INTERNET",-56.8086,-0.42
"50","IN_CH_STATE_AC_x_FC_TV_EQUIPMENT",-57.9835,-0.42
"51","IN_CH_STATE_ES_x_FC_SEWAGE_PUBLIC",-63.6862,-0.47
"52","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",-67.1564,-0.49
"53","IN_CH_STATE_BA_x_CH_STATE",-69.9617,-0.51
"54","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",-100.496,-0.73
"55","IN_CH_STATE_ES_x_CH_SCHOOL_LARGE_SIZE",-115.8847,-0.85
"56","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",-126.0911,-0.92
"57","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",-145.2386,-1.06
"58","IN_CH_STATE_AC_x_CH_PRIVATE",-422.6668,-3.09
