"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PB_x_CH_FEDERAL",37.8674,10.96
"2","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",5.4355,1.57
"3","FC_WATER",2.234,0.65
"4","IN_CH_STATE_RO_x_CH_STATE",1.1789,0.34
"5","IN_CH_STATE_RN_x_FC_HAS_SPORTS_QUAD",1.123,0.32
"6","IN_CH_STATE_RR_x_FC_ELECTR_PUBLIC",1.0541,0.3
"7","IN_CH_STATE_MG_x_CH_STATE",0.9749,0.28
"8","IN_CH_STATE_x_FC_SEWAGE",0.866,0.25
"9","IN_CH_STATE_MG_x_CH_RURAL",0.5388,0.16
"10","IN_CH_STATE_x_FC_ELECTR",0.4496,0.13
"11","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",0.4282,0.12
"12","IN_CH_STATE_TO_x_FC_TV_EQUIPMENT",0.3436,0.1
"13","IN_CH_STATE_x_FC_WATER",0.3162,0.09
"14","IN_CH_RURAL_x_FC_INTERNET",0.3141,0.09
"15","IN_CH_STATE_PR_x_CH_RURAL",0.3033,0.09
"16","FC_WATER_PUBLIC",0.1977,0.06
"17","FC_ANTENNA_EQUIPMENT",0.1688,0.05
"18","FC_TV_EQUIPMENT",0.1134,0.03
"19","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.1125,0.03
"20","IN_CH_RURAL_x_FC_LIBRARY",0.1047,0.03
"21","ST_TEACHER_EDUCATION_YEARS",0.0793,0.02
"22","FC_INTERNET",0.0603,0.02
"23","FC_ROOMS_AVAILABLE",0.0427,0.01
"24","IN_CH_FUNDAMENTAL_EDU_I_x_FC_ANTENNA_EQUIPMENT",0.0272,0.01
"25","CLASS_SIZE",0.0238,0.01
"26","IN_CH_STATE_SP_x_FC_LIBRARY",0.01,0
"27","IN_CH_STATE_x_FC_ELECTR_PUBLIC",0.0054,0
"28","IN_CH_STATE_PR_x_FC_ELECTR_PUBLIC",0.0011,0
"29","FC_ROOMS_USED",1e-04,0
"30","IN_CH_STATE_PR_x_FC_ELECTR",0,0
"31","IN_CH_STATE_RS_x_FC_COMPUTER",-0.0097,0
"32","IN_CH_STATE_CE_x_FC_LIBRARY",-0.017,0
"33","IN_CH_STATE_PB_x_CH_RURAL",-0.0189,-0.01
"34","IN_CH_STATE_PI_x_FC_SEWAGE_PUBLIC",-0.0918,-0.03
"35","IN_CH_STATE_AL_x_FC_COMPUTER",-0.1217,-0.04
"36","IN_CH_STATE_MA_x_CH_PRIVATE",-0.2037,-0.06
"37","IN_CH_STATE_CE_x_FC_INTERNET",-0.2164,-0.06
"38","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",-0.2285,-0.07
"39","IN_CH_STATE_PE_x_CH_STATE",-0.291,-0.08
"40","IN_CH_STATE_PI_x_CH_RURAL",-0.3007,-0.09
"41","IN_CH_STATE_CE_x_FC_COMPUTER",-0.3509,-0.1
"42","IN_CH_STATE_BA_x_CH_URBAN",-0.4395,-0.13
"43","IN_CH_STATE_AC_x_FC_TV_EQUIPMENT",-0.4599,-0.13
"44","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",-0.4993,-0.14
"45","IN_CH_STATE_BA_x_FC_ANTENNA_EQUIPMENT",-0.6527,-0.19
"46","IN_CH_STATE_BA_x_FC_INTERNET",-0.7651,-0.22
"47","IN_CH_STATE_MA_x_CH_URBAN",-0.7799,-0.23
"48","IN_CH_STATE_CE_x_CH_URBAN",-0.7956,-0.23
"49","IN_CH_STATE_AC_x_CH_STATE",-0.8158,-0.24
"50","IN_CH_STATE_AL_x_CH_PRIVATE",-0.91,-0.26
"51","IN_CH_STATE_ES_x_FC_LIBRARY",-0.9448,-0.27
"52","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",-0.9748,-0.28
"53","IN_CH_STATE_ES_x_CH_PRIVATE",-0.9765,-0.28
"54","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",-1.0371,-0.3
"55","IN_CH_STATE_AL_x_FC_INTERNET",-1.0687,-0.31
"56","IN_CH_STATE_PA_x_FC_SCIENCE_LAB",-1.1823,-0.34
"57","IN_CH_STATE_PA_x_CH_SCHOOL_LARGE_SIZE",-1.2648,-0.37
"58","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",-1.3743,-0.4
"59","IN_CH_STATE_ES_x_FC_SEWAGE_PUBLIC",-1.538,-0.44
"60","IN_CH_STATE_MA_x_CH_STATE",-2.4156,-0.7
"61","IN_CH_STATE_ES_x_CH_SCHOOL_LARGE_SIZE",-2.4798,-0.72
"62","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",-2.6176,-0.76
"63","IN_CH_STATE_BA_x_CH_STATE",-2.9981,-0.87
"64","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",-3.1953,-0.92
"65","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",-3.4454,-1
"66","IN_CH_STATE_AC_x_CH_PRIVATE",-14.3328,-4.15
