"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PB_x_CH_FEDERAL",28.2183,12.08
"2","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",3.8778,1.66
"3","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",3.104,1.33
"4","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",1.4052,0.6
"5","FC_WATER",1.3756,0.59
"6","IN_CH_STATE_PB_x_FC_SCIENCE_LAB",1.114,0.48
"7","IN_CH_STATE_RO_x_CH_STATE",0.9331,0.4
"8","IN_CH_STATE_RR_x_FC_ELECTR_PUBLIC",0.8234,0.35
"9","IN_CH_STATE_RN_x_FC_HAS_SPORTS_QUAD",0.6306,0.27
"10","IN_CH_STATE_PA_x_CH_STATE",0.5463,0.23
"11","IN_CH_RURAL_x_FC_INTERNET",0.5193,0.22
"12","IN_CH_STATE_MG_x_CH_RURAL",0.4988,0.21
"13","IN_CH_STATE_x_FC_SEWAGE",0.4933,0.21
"14","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",0.4248,0.18
"15","IN_CH_STATE_MG_x_CH_STATE",0.3911,0.17
"16","IN_CH_STATE_RN_x_CH_PRIVATE",0.2761,0.12
"17","IN_CH_URBAN_x_FC_HAS_SPORTS_QUAD",0.2604,0.11
"18","IN_CH_RURAL_x_FC_LIBRARY",0.2355,0.1
"19","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.2301,0.1
"20","IN_CH_STATE_TO_x_FC_TV_EQUIPMENT",0.1941,0.08
"21","FC_WATER_PUBLIC",0.1914,0.08
"22","IN_CH_STATE_AP_x_CH_STATE",0.1727,0.07
"23","FC_ELECTR",0.1555,0.07
"24","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",0.1222,0.05
"25","FC_ELECTR_PUBLIC",0.109,0.05
"26","FC_TV_EQUIPMENT",0.1042,0.04
"27","IN_CH_FUNDAMENTAL_EDU_I_x_FC_ANTENNA_EQUIPMENT",0.087,0.04
"28","IN_CH_STATE_PR_x_FC_ELECTR_PUBLIC",0.0749,0.03
"29","IN_CH_STATE_PR_x_CH_RURAL",0.0705,0.03
"30","IN_CH_STATE_x_FC_WATER",0.0608,0.03
"31","IN_CH_STATE_PB_x_CH_PRIVATE",0.0542,0.02
"32","IN_CH_STATE_TO_x_FC_ANTENNA_EQUIPMENT",0.039,0.02
"33","IN_CH_STATE_SP_x_FC_LIBRARY",0.0367,0.02
"34","FC_ROOMS_AVAILABLE",0.0191,0.01
"35","IN_CH_STATE_SC_x_CH_URBAN",0.0181,0.01
"36","IN_CH_STATE_SC_x_FC_SEWAGE_PUBLIC",0.0169,0.01
"37","ST_TEACHER_EDUCATION_YEARS",0.0141,0.01
"38","CLASS_SIZE",0.0091,0
"39","FC_ROOMS_USED",0.0045,0
"40","IN_CH_FUNDAMENTAL_EDU_I_x_FC_HAS_SPORTS_QUAD",9e-04,0
"41","IN_CH_STATE_PR_x_FC_WATER",8e-04,0
"42","CH_STATE_PR",3e-04,0
"43","IN_CH_STATE_PR_x_FC_ELECTR",0,0
"44","IN_CH_STATE_AL_x_CH_PRIVATE",-0.0084,0
"45","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",-0.0138,-0.01
"46","IN_CH_STATE_RS_x_CH_STATE",-0.0189,-0.01
"47","IN_CH_STATE_PA_x_FC_HAS_SPORTS_QUAD",-0.0209,-0.01
"48","IN_CH_STATE_CE_x_FC_INTERNET",-0.0421,-0.02
"49","IN_CH_STATE_MA_x_FC_WATER_PUBLIC",-0.0643,-0.03
"50","IN_CH_STATE_CE_x_CH_URBAN",-0.0798,-0.03
"51","IN_CH_STATE_RS_x_FC_COMPUTER",-0.081,-0.03
"52","FC_NO_SPORTS_QUAD",-0.0991,-0.04
"53","IN_CH_STATE_CE_x_FC_WATER_PUBLIC",-0.1089,-0.05
"54","IN_CH_STATE_AC_x_FC_WATER_PUBLIC",-0.1389,-0.06
"55","IN_CH_STATE_BA_x_FC_TV_EQUIPMENT",-0.1612,-0.07
"56","IN_CH_STATE_MA_x_FC_TV_EQUIPMENT",-0.1615,-0.07
"57","IN_CH_STATE_PI_x_CH_RURAL",-0.1671,-0.07
"58","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",-0.2021,-0.09
"59","STR_TEACHERS_INCOMPLETE_FUNDEDU",-0.2372,-0.1
"60","IN_CH_STATE_AC_x_CH_STATE",-0.2523,-0.11
"61","IN_CH_STATE_MA_x_CH_STATE",-0.2643,-0.11
"62","IN_CH_STATE_CE_x_FC_COMPUTER",-0.2954,-0.13
"63","IN_CH_STATE_PI_x_FC_SEWAGE_PUBLIC",-0.3001,-0.13
"64","IN_CH_STATE_AL_x_FC_COMPUTER",-0.3167,-0.14
"65","IN_CH_STATE_MA_x_FC_INTERNET",-0.3179,-0.14
"66","IN_CH_STATE_BA_x_FC_INTERNET",-0.4092,-0.18
"67","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",-0.4283,-0.18
"68","IN_CH_STATE_PE_x_CH_STATE",-0.4504,-0.19
"69","IN_CH_STATE_BA_x_FC_ANTENNA_EQUIPMENT",-0.4715,-0.2
"70","IN_CH_STATE_PA_x_FC_SCIENCE_LAB",-0.4845,-0.21
"71","IN_CH_STATE_MA_x_CH_SCHOOL_LARGE_SIZE",-0.4905,-0.21
"72","IN_CH_STATE_MA_x_CH_URBAN",-0.5137,-0.22
"73","IN_CH_STATE_AC_x_CH_SCHOOL_LARGE_SIZE",-0.521,-0.22
"74","IN_CH_STATE_AL_x_FC_INTERNET",-0.5515,-0.24
"75","IN_CH_STATE_AC_x_FC_TV_EQUIPMENT",-0.5524,-0.24
"76","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",-0.557,-0.24
"77","IN_CH_STATE_ES_x_FC_SEWAGE_PUBLIC",-0.6091,-0.26
"78","IN_CH_STATE_ES_x_CH_SCHOOL_LARGE_SIZE",-0.8592,-0.37
"79","IN_CH_STATE_BA_x_CH_STATE",-0.8786,-0.38
"80","IN_CH_FEDERAL_x_FC_SCIENCE_LAB",-0.8789,-0.38
"81","IN_CH_STATE_PA_x_CH_SCHOOL_LARGE_SIZE",-1.0058,-0.43
"82","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",-1.0074,-0.43
"83","IN_CH_STATE_ES_x_FC_LIBRARY",-1.1035,-0.47
"84","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",-1.1826,-0.51
"85","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",-1.5975,-0.68
"86","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",-2.1176,-0.91
"87","IN_CH_STATE_AC_x_CH_PRIVATE",-11.1046,-4.75
"88","IN_CH_STATE_AC_x_CH_FEDERAL",-14.2571,-6.1
