"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PB_x_CH_FEDERAL",70.9151,12.21
"2","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",9.2812,1.6
"3","FC_WATER",3.9034,0.67
"4","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",2.6376,0.45
"5","IN_CH_STATE_RO_x_CH_STATE",2.1603,0.37
"6","IN_CH_STATE_RR_x_FC_ELECTR_PUBLIC",1.903,0.33
"7","IN_CH_STATE_x_FC_SEWAGE",1.7675,0.3
"8","IN_CH_STATE_RN_x_FC_HAS_SPORTS_QUAD",1.7441,0.3
"9","IN_CH_STATE_PB_x_FC_SCIENCE_LAB",1.4525,0.25
"10","IN_CH_STATE_MG_x_CH_STATE",1.3616,0.23
"11","IN_CH_STATE_MG_x_CH_RURAL",1.0132,0.17
"12","IN_CH_RURAL_x_FC_INTERNET",0.8234,0.14
"13","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",0.5902,0.1
"14","IN_CH_STATE_TO_x_FC_TV_EQUIPMENT",0.5526,0.1
"15","FC_WATER_PUBLIC",0.4347,0.07
"16","IN_CH_STATE_RN_x_CH_PRIVATE",0.4082,0.07
"17","IN_CH_STATE_x_FC_ELECTR",0.3747,0.06
"18","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.3444,0.06
"19","IN_CH_STATE_PR_x_CH_RURAL",0.2787,0.05
"20","IN_CH_RURAL_x_FC_LIBRARY",0.2493,0.04
"21","IN_CH_FUNDAMENTAL_EDU_I_x_FC_ANTENNA_EQUIPMENT",0.2453,0.04
"22","FC_TV_EQUIPMENT",0.2451,0.04
"23","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",0.2155,0.04
"24","IN_CH_STATE_PR_x_FC_ELECTR_PUBLIC",0.1073,0.02
"25","ST_TEACHER_EDUCATION_YEARS",0.0984,0.02
"26","IN_CH_STATE_SP_x_FC_LIBRARY",0.068,0.01
"27","FC_ROOMS_AVAILABLE",0.0634,0.01
"28","IN_CH_STATE_AP_x_FC_ANTENNA_EQUIPMENT",0.0612,0.01
"29","IN_CH_STATE_x_FC_WATER",0.0503,0.01
"30","CLASS_SIZE",0.0346,0.01
"31","FC_ROOMS_USED",0.0057,0
"32","IN_CH_STATE_x_FC_ELECTR_PUBLIC",0.0036,0
"33","IN_CH_STATE_PR_x_FC_ELECTR",0,0
"34","IN_CH_STATE_AC_x_CH_SCHOOL_LARGE_SIZE",-0.0556,-0.01
"35","IN_CH_STATE_BA_x_FC_COMPUTER",-0.1063,-0.02
"36","IN_CH_STATE_RS_x_FC_COMPUTER",-0.1567,-0.03
"37","IN_CH_STATE_CE_x_FC_INTERNET",-0.1919,-0.03
"38","IN_CH_STATE_BA_x_CH_URBAN",-0.3676,-0.06
"39","IN_CH_STATE_PI_x_FC_SEWAGE_PUBLIC",-0.4209,-0.07
"40","IN_CH_STATE_PI_x_CH_RURAL",-0.5073,-0.09
"41","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",-0.5111,-0.09
"42","IN_CH_STATE_AL_x_FC_COMPUTER",-0.5449,-0.09
"43","IN_CH_STATE_ES_x_CH_PRIVATE",-0.674,-0.12
"44","IN_CH_STATE_CE_x_FC_COMPUTER",-0.7148,-0.12
"45","IN_CH_STATE_PE_x_CH_STATE",-0.7434,-0.13
"46","IN_CH_STATE_AL_x_CH_PRIVATE",-0.8049,-0.14
"47","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",-0.849,-0.15
"48","IN_CH_STATE_CE_x_CH_URBAN",-0.9166,-0.16
"49","IN_CH_STATE_BA_x_FC_INTERNET",-1.1694,-0.2
"50","IN_CH_STATE_BA_x_FC_ANTENNA_EQUIPMENT",-1.2143,-0.21
"51","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",-1.2166,-0.21
"52","IN_CH_STATE_AC_x_CH_STATE",-1.2476,-0.21
"53","IN_CH_STATE_AC_x_FC_TV_EQUIPMENT",-1.4015,-0.24
"54","IN_CH_STATE_PA_x_FC_SCIENCE_LAB",-1.4307,-0.25
"55","IN_CH_STATE_AL_x_FC_INTERNET",-1.5411,-0.27
"56","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",-1.7259,-0.3
"57","IN_CH_STATE_MA_x_CH_URBAN",-1.8378,-0.32
"58","IN_CH_STATE_ES_x_FC_LIBRARY",-2.1348,-0.37
"59","IN_CH_STATE_ES_x_FC_SEWAGE_PUBLIC",-2.1697,-0.37
"60","IN_CH_STATE_PA_x_CH_SCHOOL_LARGE_SIZE",-2.2882,-0.39
"61","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",-2.4927,-0.43
"62","IN_CH_STATE_MA_x_CH_STATE",-2.9143,-0.5
"63","IN_CH_STATE_ES_x_CH_SCHOOL_LARGE_SIZE",-3.4449,-0.59
"64","IN_CH_STATE_BA_x_CH_STATE",-4.2706,-0.74
"65","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",-4.3673,-0.75
"66","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",-5.0947,-0.88
"67","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",-5.632,-0.97
"68","IN_CH_STATE_AC_x_CH_PRIVATE",-27.06,-4.66
