"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PB_x_CH_FEDERAL",521.4886,10.38
"2","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",81.9679,1.63
"3","FC_WATER",22.52,0.45
"4","IN_CH_STATE_MG_x_CH_STATE",15.692,0.31
"5","IN_CH_STATE_RO_x_CH_STATE",14.9477,0.3
"6","IN_CH_STATE_RR_x_FC_ELECTR_PUBLIC",13.8611,0.28
"7","IN_CH_STATE_x_FC_SEWAGE",13.3143,0.26
"8","IN_CH_STATE_RN_x_FC_HAS_SPORTS_QUAD",12.1151,0.24
"9","IN_CH_STATE_MG_x_CH_RURAL",9.8622,0.2
"10","IN_CH_STATE_x_FC_WATER",8.0795,0.16
"11","IN_CH_STATE_x_FC_ELECTR",6.5984,0.13
"12","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",6.3671,0.13
"13","IN_CH_STATE_PR_x_CH_RURAL",5.402,0.11
"14","IN_CH_RURAL_x_FC_INTERNET",3.6974,0.07
"15","FC_TV_EQUIPMENT",3.632,0.07
"16","IN_CH_STATE_TO_x_FC_TV_EQUIPMENT",3.4532,0.07
"17","FC_WATER_PUBLIC",2.5771,0.05
"18","FC_INTERNET",2.3134,0.05
"19","IN_CH_RURAL_x_FC_SCIENCE_LAB",2.273,0.05
"20","FC_ANTENNA_EQUIPMENT",2.1825,0.04
"21","ST_TEACHER_EDUCATION_YEARS",1.0047,0.02
"22","IN_CH_STATE_TO_x_FC_ANTENNA_EQUIPMENT",0.6647,0.01
"23","FC_ROOMS_AVAILABLE",0.6534,0.01
"24","IN_CH_FUNDAMENTAL_EDU_I_x_FC_ANTENNA_EQUIPMENT",0.61,0.01
"25","CLASS_SIZE",0.2642,0.01
"26","IN_CH_RURAL_x_FC_LIBRARY",0.1043,0
"27","FC_ROOMS_USED",0.0081,0
"28","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",-0.2827,-0.01
"29","IN_CH_STATE_AL_x_FC_COMPUTER",-0.3193,-0.01
"30","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",-0.7856,-0.02
"31","IN_CH_STATE_PI_x_CH_RURAL",-2.2222,-0.04
"32","IN_CH_STATE_PE_x_CH_STATE",-3.289,-0.07
"33","IN_CH_STATE_CE_x_FC_INTERNET",-3.3619,-0.07
"34","IN_CH_STATE_PI_x_FC_SEWAGE_PUBLIC",-3.7715,-0.08
"35","IN_CH_STATE_AL_x_CH_PRIVATE",-3.7832,-0.08
"36","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",-3.8106,-0.08
"37","IN_CH_STATE_CE_x_FC_COMPUTER",-4.2578,-0.08
"38","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",-5.678,-0.11
"39","IN_CH_STATE_BA_x_CH_URBAN",-7.1915,-0.14
"40","IN_CH_STATE_AC_x_CH_STATE",-7.3912,-0.15
"41","IN_CH_STATE_BA_x_FC_ANTENNA_EQUIPMENT",-9.2929,-0.18
"42","IN_CH_STATE_AC_x_CH_URBAN",-9.5835,-0.19
"43","IN_CH_STATE_BA_x_FC_INTERNET",-12.4523,-0.25
"44","IN_CH_STATE_ES_x_FC_LIBRARY",-13.9416,-0.28
"45","IN_CH_STATE_CE_x_CH_URBAN",-14.0783,-0.28
"46","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",-15.7869,-0.31
"47","IN_CH_STATE_PA_x_CH_SCHOOL_LARGE_SIZE",-16.4993,-0.33
"48","IN_CH_STATE_MA_x_CH_URBAN",-16.888,-0.34
"49","IN_CH_STATE_MA_x_CH_STATE",-17.9476,-0.36
"50","IN_CH_STATE_AL_x_FC_INTERNET",-20.4677,-0.41
"51","IN_CH_STATE_AC_x_FC_TV_EQUIPMENT",-22.1516,-0.44
"52","IN_CH_STATE_ES_x_FC_SEWAGE_PUBLIC",-22.2447,-0.44
"53","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",-23.8839,-0.48
"54","IN_CH_STATE_BA_x_CH_STATE",-25.4736,-0.51
"55","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",-36.6565,-0.73
"56","IN_CH_STATE_ES_x_CH_SCHOOL_LARGE_SIZE",-40.4821,-0.81
"57","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",-43.6044,-0.87
"58","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",-53.6389,-1.07
"59","IN_CH_STATE_AC_x_CH_PRIVATE",-150.2126,-2.99
