"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",3.2716,-1
"2","IN_CH_STATE_ES_x_CH_SCHOOL_LARGE_SIZE",2.4725,-0.75
"3","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",2.3706,-0.72
"4","IN_CH_STATE_AC_x_CH_PRIVATE",2.2431,-0.68
"5","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",1.8304,-0.56
"6","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",1.6105,-0.49
"7","IN_CH_STATE_ES_x_FC_SEWAGE_PUBLIC",1.419,-0.43
"8","IN_CH_STATE_AL_x_FC_INTERNET",1.3656,-0.42
"9","IN_CH_STATE_AC_x_FC_TV_EQUIPMENT",1.3456,-0.41
"10","IN_CH_STATE_CE_x_CH_URBAN",1.0697,-0.33
"11","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",0.9573,-0.29
"12","IN_CH_STATE_AC_x_CH_URBAN",0.9038,-0.28
"13","IN_CH_STATE_BA_x_FC_INTERNET",0.7854,-0.24
"14","IN_CH_STATE_CE_x_CH_STATE",0.7427,-0.23
"15","IN_CH_STATE_MA_x_CH_URBAN",0.5986,-0.18
"16","IN_CH_STATE_BA_x_CH_URBAN",0.5972,-0.18
"17","IN_CH_STATE_ES_x_FC_COMPUTER_LAB",0.3794,-0.12
"18","IN_CH_STATE_PA_x_CH_SCHOOL_LARGE_SIZE",0.3772,-0.11
"19","IN_CH_STATE_AC_x_CH_STATE",0.3138,-0.1
"20","IN_CH_STATE_PI_x_FC_SEWAGE_PUBLIC",0.307,-0.09
"21","IN_CH_STATE_CE_x_FC_TV_EQUIPMENT",0.2077,-0.06
"22","IN_CH_STATE_MA_x_CH_SCHOOL_LARGE_SIZE",0.1941,-0.06
"23","IN_CH_STATE_BA_x_FC_ANTENNA_EQUIPMENT",0.171,-0.05
"24","IN_CH_STATE_CE_x_FC_INTERNET",0.1675,-0.05
"25","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",0.1259,-0.04
"26","IN_CH_STATE_MA_x_FC_TV_EQUIPMENT",0.108,-0.03
"27","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",0.106,-0.03
"28","IN_CH_STATE_CE_x_FC_COMPUTER",0.0919,-0.03
"29","FC_ROOMS_USED",-7e-04,0
"30","CLASS_SIZE",-0.0107,0
"31","FC_WATER",-0.0283,0.01
"32","FC_ROOMS_AVAILABLE",-0.0357,0.01
"33","IN_CH_RURAL_x_FC_SCIENCE_LAB",-0.0409,0.01
"34","IN_CH_STATE_TO_x_FC_TV_EQUIPMENT",-0.0561,0.02
"35","ST_TEACHER_EDUCATION_YEARS",-0.0578,0.02
"36","IN_CH_STATE_TO_x_FC_ANTENNA_EQUIPMENT",-0.0878,0.03
"37","FC_WATER_PUBLIC",-0.1544,0.05
"38","FC_INTERNET",-0.1936,0.06
"39","FC_ANTENNA_EQUIPMENT",-0.204,0.06
"40","FC_TV_EQUIPMENT",-0.2563,0.08
"41","IN_CH_STATE_RN_x_FC_HAS_SPORTS_QUAD",-0.2974,0.09
"42","IN_CH_STATE_PR_x_CH_RURAL",-0.3199,0.1
"43","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",-0.3798,0.12
"44","IN_CH_STATE_RO_x_CH_STATE",-0.4481,0.14
"45","IN_CH_STATE_RR_x_FC_ELECTR_PUBLIC",-0.4941,0.15
"46","IN_CH_STATE_MG_x_CH_RURAL",-0.6351,0.19
"47","IN_CH_STATE_x_FC_ELECTR",-0.799,0.24
"48","IN_CH_STATE_MG_x_CH_STATE",-1.091,0.33
"49","IN_CH_STATE_x_FC_WATER",-1.2143,0.37
"50","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",-4.8731,1.48
"51","IN_CH_STATE_PB_x_CH_FEDERAL",-24.5109,7.46
