"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PB_x_CH_FEDERAL",477.2073,10.17
"2","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",76.9597,1.64
"3","FC_WATER",21.9067,0.47
"4","IN_CH_STATE_MG_x_CH_STATE",14.5679,0.31
"5","IN_CH_STATE_RO_x_CH_STATE",14.0399,0.3
"6","IN_CH_STATE_RR_x_FC_ELECTR_PUBLIC",13.059,0.28
"7","IN_CH_STATE_x_FC_SEWAGE",13.0517,0.28
"8","IN_CH_STATE_RN_x_FC_HAS_SPORTS_QUAD",11.6171,0.25
"9","IN_CH_STATE_MG_x_CH_RURAL",9.2735,0.2
"10","IN_CH_STATE_x_FC_WATER",7.5881,0.16
"11","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",5.9469,0.13
"12","IN_CH_STATE_x_FC_ELECTR",5.5113,0.12
"13","IN_CH_STATE_PR_x_CH_RURAL",5.0371,0.11
"14","IN_CH_STATE_TO_x_FC_TV_EQUIPMENT",3.6392,0.08
"15","IN_CH_RURAL_x_FC_INTERNET",3.4985,0.07
"16","FC_TV_EQUIPMENT",3.4299,0.07
"17","FC_WATER_PUBLIC",2.4115,0.05
"18","FC_INTERNET",2.2085,0.05
"19","IN_CH_RURAL_x_FC_SCIENCE_LAB",2.1096,0.04
"20","FC_ANTENNA_EQUIPMENT",2.0493,0.04
"21","ST_TEACHER_EDUCATION_YEARS",0.9578,0.02
"22","FC_ROOMS_AVAILABLE",0.6185,0.01
"23","IN_CH_FUNDAMENTAL_EDU_I_x_FC_ANTENNA_EQUIPMENT",0.5591,0.01
"24","CLASS_SIZE",0.2482,0.01
"25","IN_CH_RURAL_x_FC_LIBRARY",0.2217,0
"26","IN_CH_STATE_TO_x_FC_ANTENNA_EQUIPMENT",0.1271,0
"27","FC_ROOMS_USED",0.0044,0
"28","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",-0.2263,0
"29","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",-0.3885,-0.01
"30","IN_CH_STATE_AL_x_FC_COMPUTER",-0.4256,-0.01
"31","IN_CH_STATE_PI_x_CH_RURAL",-2.2039,-0.05
"32","IN_CH_STATE_PE_x_CH_STATE",-2.8127,-0.06
"33","IN_CH_STATE_CE_x_FC_INTERNET",-3.1164,-0.07
"34","IN_CH_STATE_PI_x_FC_SEWAGE_PUBLIC",-3.1744,-0.07
"35","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",-3.8143,-0.08
"36","IN_CH_STATE_AL_x_CH_PRIVATE",-3.9229,-0.08
"37","IN_CH_STATE_CE_x_FC_COMPUTER",-4.023,-0.09
"38","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",-5.1452,-0.11
"39","IN_CH_STATE_BA_x_CH_URBAN",-6.4261,-0.14
"40","IN_CH_STATE_AC_x_CH_STATE",-7.0638,-0.15
"41","IN_CH_STATE_BA_x_FC_ANTENNA_EQUIPMENT",-8.9062,-0.19
"42","IN_CH_STATE_AC_x_CH_URBAN",-10.0347,-0.21
"43","IN_CH_STATE_BA_x_FC_INTERNET",-11.5933,-0.25
"44","IN_CH_STATE_CE_x_CH_URBAN",-12.8082,-0.27
"45","IN_CH_STATE_ES_x_FC_LIBRARY",-13.6606,-0.29
"46","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",-14.715,-0.31
"47","IN_CH_STATE_PA_x_CH_SCHOOL_LARGE_SIZE",-15.5225,-0.33
"48","IN_CH_STATE_MA_x_CH_URBAN",-15.9805,-0.34
"49","IN_CH_STATE_AL_x_FC_INTERNET",-18.6004,-0.4
"50","IN_CH_STATE_MA_x_CH_STATE",-19.0368,-0.41
"51","IN_CH_STATE_ES_x_FC_SEWAGE_PUBLIC",-20.5174,-0.44
"52","IN_CH_STATE_AC_x_FC_TV_EQUIPMENT",-20.8025,-0.44
"53","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",-21.8064,-0.46
"54","IN_CH_STATE_BA_x_CH_STATE",-27.2439,-0.58
"55","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",-34.8268,-0.74
"56","IN_CH_STATE_ES_x_CH_SCHOOL_LARGE_SIZE",-37.7396,-0.8
"57","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",-40.1851,-0.86
"58","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",-50.3369,-1.07
"59","IN_CH_STATE_AC_x_CH_PRIVATE",-139.9015,-2.98
