"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PB_x_CH_FEDERAL",98.7549,12.9
"2","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",12.8747,1.68
"3","FC_WATER",5.4828,0.72
"4","IN_CH_STATE_RO_x_CH_STATE",3.0614,0.4
"5","IN_CH_STATE_RN_x_FC_HAS_SPORTS_QUAD",2.6669,0.35
"6","IN_CH_STATE_RR_x_FC_ELECTR_PUBLIC",2.6572,0.35
"7","IN_CH_STATE_MG_x_CH_STATE",2.2591,0.3
"8","IN_CH_STATE_x_FC_SEWAGE",2.2401,0.29
"9","IN_CH_STATE_MG_x_CH_RURAL",1.3132,0.17
"10","IN_CH_STATE_x_FC_ELECTR",1.2033,0.16
"11","IN_CH_RURAL_x_FC_INTERNET",1.0789,0.14
"12","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",0.9386,0.12
"13","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",0.8982,0.12
"14","IN_CH_STATE_PB_x_FC_SCIENCE_LAB",0.8955,0.12
"15","IN_CH_STATE_TO_x_FC_TV_EQUIPMENT",0.8015,0.1
"16","IN_CH_STATE_PR_x_CH_RURAL",0.5547,0.07
"17","FC_WATER_PUBLIC",0.5223,0.07
"18","FC_TV_EQUIPMENT",0.3625,0.05
"19","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.3036,0.04
"20","IN_CH_FUNDAMENTAL_EDU_I_x_FC_ANTENNA_EQUIPMENT",0.2384,0.03
"21","IN_CH_RURAL_x_FC_LIBRARY",0.198,0.03
"22","ST_TEACHER_EDUCATION_YEARS",0.1689,0.02
"23","IN_CH_STATE_x_FC_WATER",0.1582,0.02
"24","FC_ANTENNA_EQUIPMENT",0.1349,0.02
"25","IN_CH_STATE_SP_x_FC_LIBRARY",0.1081,0.01
"26","IN_CH_STATE_PR_x_FC_ELECTR_PUBLIC",0.1072,0.01
"27","FC_ROOMS_AVAILABLE",0.099,0.01
"28","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",0.0723,0.01
"29","FC_INTERNET",0.0666,0.01
"30","CLASS_SIZE",0.0516,0.01
"31","IN_CH_STATE_TO_x_FC_ANTENNA_EQUIPMENT",0.0132,0
"32","FC_ROOMS_USED",0.0039,0
"33","IN_CH_STATE_x_FC_ELECTR_PUBLIC",0.0021,0
"34","IN_CH_STATE_PR_x_FC_ELECTR",0,0
"35","IN_CH_STATE_AC_x_FC_WATER_PUBLIC",-3e-04,0
"36","IN_CH_STATE_MA_x_CH_PRIVATE",-0.0719,-0.01
"37","IN_CH_STATE_BA_x_FC_COMPUTER",-0.0963,-0.01
"38","IN_CH_STATE_RS_x_FC_COMPUTER",-0.097,-0.01
"39","IN_CH_STATE_ES_x_CH_PRIVATE",-0.2718,-0.04
"40","IN_CH_STATE_PI_x_FC_SEWAGE_PUBLIC",-0.4142,-0.05
"41","IN_CH_STATE_CE_x_FC_INTERNET",-0.512,-0.07
"42","IN_CH_STATE_AL_x_FC_COMPUTER",-0.5588,-0.07
"43","IN_CH_STATE_CE_x_FC_COMPUTER",-0.6216,-0.08
"44","IN_CH_STATE_PI_x_CH_RURAL",-0.6755,-0.09
"45","IN_CH_STATE_BA_x_CH_URBAN",-0.8172,-0.11
"46","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",-0.9194,-0.12
"47","IN_CH_STATE_PE_x_CH_STATE",-1.1233,-0.15
"48","IN_CH_STATE_AC_x_CH_STATE",-1.2876,-0.17
"49","IN_CH_STATE_BA_x_FC_ANTENNA_EQUIPMENT",-1.5354,-0.2
"50","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",-1.5618,-0.2
"51","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",-1.6212,-0.21
"52","IN_CH_STATE_AL_x_CH_PRIVATE",-1.645,-0.21
"53","IN_CH_STATE_BA_x_FC_INTERNET",-1.691,-0.22
"54","IN_CH_STATE_CE_x_CH_URBAN",-1.7333,-0.23
"55","IN_CH_STATE_AC_x_FC_TV_EQUIPMENT",-1.9742,-0.26
"56","IN_CH_STATE_PA_x_FC_SCIENCE_LAB",-2.0792,-0.27
"57","IN_CH_STATE_MA_x_CH_URBAN",-2.314,-0.3
"58","IN_CH_STATE_AL_x_FC_INTERNET",-2.3246,-0.3
"59","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",-2.4304,-0.32
"60","IN_CH_STATE_ES_x_FC_LIBRARY",-2.6286,-0.34
"61","IN_CH_STATE_PA_x_CH_SCHOOL_LARGE_SIZE",-3.0481,-0.4
"62","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",-3.3258,-0.43
"63","IN_CH_STATE_ES_x_FC_SEWAGE_PUBLIC",-3.4987,-0.46
"64","IN_CH_STATE_MA_x_CH_STATE",-5.4802,-0.72
"65","IN_CH_STATE_ES_x_CH_SCHOOL_LARGE_SIZE",-5.8704,-0.77
"66","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",-6.3681,-0.83
"67","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",-7.0952,-0.93
"68","IN_CH_STATE_BA_x_CH_STATE",-7.2531,-0.95
"69","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",-8.0807,-1.06
"70","IN_CH_STATE_AC_x_CH_PRIVATE",-37.1041,-4.85
