"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",1.5058,2.12
"2","IN_CH_STATE_x_FC_WATER",0.6432,0.9
"3","IN_CH_STATE_MG_x_CH_RURAL",0.3303,0.46
"4","FC_TV_EQUIPMENT",0.2023,0.28
"5","FC_ELECTR",0.1819,0.26
"6","FC_LIBRARY",0.0721,0.1
"7","FC_ANTENNA_EQUIPMENT",0.0509,0.07
"8","IN_CH_STATE_PR_x_CH_RURAL",0.0286,0.04
"9","IN_CH_STATE_MG_x_CH_STATE",0.0262,0.04
"10","FC_WATER_PUBLIC",0.024,0.03
"11","IN_CH_STATE_MG_x_CH_FUNDAMENTAL_EDU_T",0.022,0.03
"12","IN_CH_STATE_MG_x_FC_SEWAGE",0.011,0.02
"13","FC_ROOMS_AVAILABLE",0.0057,0.01
"14","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",0.0055,0.01
"15","FC_ROOMS_USED",0.0034,0
"16","IN_CH_RURAL_x_FC_SCIENCE_LAB",3e-04,0
"17","IN_CH_STATE_BA_x_FC_INTERNET",-0.0364,-0.05
"18","IN_CH_STATE_CE_x_FC_WATER_PUBLIC",-0.0392,-0.06
"19","IN_CH_STATE_AC_x_CH_PRIVATE",-0.0542,-0.08
"20","IN_CH_STATE_BA_x_FC_ANTENNA_EQUIPMENT",-0.0553,-0.08
"21","IN_CH_STATE_ES_x_FC_LIBRARY",-0.0577,-0.08
"22","IN_CH_STATE_CE_x_FC_COMPUTER",-0.0596,-0.08
"23","IN_CH_STATE_BA_x_CH_FUNDAMENTAL_EDU_T",-0.0754,-0.11
"24","IN_CH_STATE_AL_x_FC_INTERNET",-0.0821,-0.12
"25","IN_CH_STATE_CE_x_CH_FUNDAMENTAL_EDU_I",-0.084,-0.12
"26","IN_CH_STATE_MA_x_FC_NO_SPORTS_QUAD",-0.0913,-0.13
"27","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",-0.1027,-0.14
"28","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",-0.1559,-0.22
"29","IN_CH_STATE_MA_x_FC_COMPUTER",-0.1666,-0.23
"30","IN_CH_STATE_ES_x_FC_COMPUTER_LAB",-0.2038,-0.29
"31","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",-0.2717,-0.38
"32","IN_CH_STATE_ES_x_CH_SCHOOL_LARGE_SIZE",-0.3098,-0.44
"33","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",-0.4274,-0.6
"34","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",-1.1187,-1.57
