"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PB_x_CH_FEDERAL",115.1363,13.78
"2","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",14.9171,1.79
"3","FC_WATER",5.5419,0.66
"4","IN_CH_STATE_RO_x_CH_STATE",3.3465,0.4
"5","IN_CH_STATE_x_FC_SEWAGE",2.935,0.35
"6","IN_CH_STATE_RR_x_FC_ELECTR_PUBLIC",2.8766,0.34
"7","IN_CH_STATE_RN_x_FC_HAS_SPORTS_QUAD",2.5759,0.31
"8","IN_CH_STATE_MG_x_CH_STATE",2.2888,0.27
"9","IN_CH_STATE_MG_x_CH_RURAL",1.7757,0.21
"10","IN_CH_RURAL_x_FC_INTERNET",1.3309,0.16
"11","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",1.0584,0.13
"12","IN_CH_STATE_TO_x_FC_TV_EQUIPMENT",0.7019,0.08
"13","IN_CH_STATE_x_FC_WATER",0.7011,0.08
"14","IN_CH_STATE_PR_x_CH_RURAL",0.676,0.08
"15","FC_WATER_PUBLIC",0.6363,0.08
"16","FC_TV_EQUIPMENT",0.5909,0.07
"17","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.5732,0.07
"18","IN_CH_STATE_x_FC_ELECTR",0.3321,0.04
"19","IN_CH_STATE_RN_x_CH_PRIVATE",0.3145,0.04
"20","IN_CH_STATE_PB_x_FC_SCIENCE_LAB",0.2125,0.03
"21","FC_ANTENNA_EQUIPMENT",0.2118,0.03
"22","IN_CH_FUNDAMENTAL_EDU_I_x_FC_ANTENNA_EQUIPMENT",0.2063,0.02
"23","IN_CH_STATE_TO_x_FC_ANTENNA_EQUIPMENT",0.174,0.02
"24","ST_TEACHER_EDUCATION_YEARS",0.1603,0.02
"25","FC_ROOMS_AVAILABLE",0.1056,0.01
"26","IN_CH_STATE_PR_x_FC_ELECTR_PUBLIC",0.1047,0.01
"27","IN_CH_STATE_SP_x_FC_LIBRARY",0.0759,0.01
"28","CLASS_SIZE",0.0522,0.01
"29","IN_CH_RURAL_x_FC_LIBRARY",0.0245,0
"30","FC_ROOMS_USED",0.0104,0
"31","IN_CH_STATE_PR_x_FC_ELECTR",0,0
"32","IN_CH_STATE_AC_x_CH_URBAN",-0.0091,0
"33","IN_CH_STATE_RS_x_FC_COMPUTER",-0.1051,-0.01
"34","IN_CH_STATE_BA_x_FC_COMPUTER",-0.113,-0.01
"35","IN_CH_STATE_AC_x_FC_WATER_PUBLIC",-0.2009,-0.02
"36","IN_CH_STATE_AL_x_FC_COMPUTER",-0.3154,-0.04
"37","IN_CH_STATE_CE_x_FC_INTERNET",-0.5154,-0.06
"38","IN_CH_STATE_PA_x_FC_SCIENCE_LAB",-0.528,-0.06
"39","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",-0.5291,-0.06
"40","IN_CH_STATE_PI_x_CH_RURAL",-0.6203,-0.07
"41","IN_CH_STATE_PI_x_FC_SEWAGE_PUBLIC",-0.707,-0.08
"42","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",-0.7436,-0.09
"43","IN_CH_STATE_BA_x_CH_URBAN",-0.8231,-0.1
"44","IN_CH_STATE_CE_x_FC_COMPUTER",-0.8551,-0.1
"45","IN_CH_STATE_AL_x_CH_PRIVATE",-0.9091,-0.11
"46","IN_CH_STATE_PE_x_CH_STATE",-1.1509,-0.14
"47","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",-1.5323,-0.18
"48","IN_CH_STATE_CE_x_CH_URBAN",-1.7813,-0.21
"49","IN_CH_STATE_AC_x_CH_STATE",-1.792,-0.21
"50","IN_CH_STATE_BA_x_FC_INTERNET",-1.8944,-0.23
"51","IN_CH_STATE_BA_x_FC_ANTENNA_EQUIPMENT",-1.8951,-0.23
"52","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",-2.7868,-0.33
"53","IN_CH_STATE_ES_x_FC_LIBRARY",-3.0769,-0.37
"54","IN_CH_STATE_AC_x_FC_TV_EQUIPMENT",-3.1401,-0.38
"55","IN_CH_STATE_AL_x_FC_INTERNET",-3.1844,-0.38
"56","IN_CH_STATE_MA_x_CH_URBAN",-3.3811,-0.4
"57","IN_CH_STATE_PA_x_CH_SCHOOL_LARGE_SIZE",-3.5092,-0.42
"58","IN_CH_STATE_ES_x_FC_SEWAGE_PUBLIC",-3.5917,-0.43
"59","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",-4.0197,-0.48
"60","IN_CH_STATE_MA_x_CH_STATE",-4.2739,-0.51
"61","IN_CH_STATE_BA_x_CH_STATE",-6.0241,-0.72
"62","IN_CH_STATE_ES_x_CH_SCHOOL_LARGE_SIZE",-6.3524,-0.76
"63","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",-6.7358,-0.81
"64","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",-6.9717,-0.83
"65","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",-9.3157,-1.11
"66","IN_CH_STATE_AC_x_CH_PRIVATE",-41.0969,-4.92
