"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PE_x_CH_FEDERAL",130.4554,12.72
"2","IN_CH_FEDERAL_x_FC_SCIENCE_LAB",122.6911,11.96
"3","IN_CH_STATE_RO_x_CH_FEDERAL",20.8284,2.03
"4","IN_CH_STATE_AM_x_CH_STATE",13.9386,1.36
"5","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",10.5944,1.03
"6","IN_CH_STATE_PB_x_FC_SCIENCE_LAB",8.3017,0.81
"7","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",6.9194,0.67
"8","IN_CH_STATE_RJ_x_CH_FEDERAL",6.7736,0.66
"9","IN_CH_STATE_PI_x_FC_HAS_SPORTS_QUAD",4.6343,0.45
"10","IN_CH_STATE_PI_x_FC_INTERNET",4.3029,0.42
"11","IN_CH_STATE_AC_x_FC_ANTENNA_EQUIPMENT",4.0934,0.4
"12","IN_CH_STATE_PB_x_FC_COMPUTER",3.9349,0.38
"13","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",3.7373,0.36
"14","IN_CH_STATE_PB_x_CH_PRIVATE",3.5059,0.34
"15","IN_CH_STATE_PB_x_CH_STATE",3.2537,0.32
"16","IN_CH_STATE_MA_x_FC_INTERNET",3.1205,0.3
"17","IN_CH_STATE_RR_x_CH_MUNICIPAL",2.6718,0.26
"18","IN_CH_STATE_PI_x_FC_ANTENNA_EQUIPMENT",2.6508,0.26
"19","IN_CH_STATE_PE_x_FC_ANTENNA_EQUIPMENT",2.6336,0.26
"20","IN_CH_STATE_MA_x_CH_URBAN",2.593,0.25
"21","IN_CH_STATE_MG_x_FC_NO_SPORTS_QUAD",2.5445,0.25
"22","IN_CH_STATE_BA_x_FC_COMPUTER_LAB",2.4117,0.24
"23","IN_CH_RURAL_x_FC_TV_EQUIPMENT",2.127,0.21
"24","IN_CH_STATE_SE_x_FC_COMPUTER_LAB",2.1219,0.21
"25","IN_CH_STATE_x_FC_SCIENCE_LAB",2.0335,0.2
"26","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",1.8857,0.18
"27","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",1.7891,0.17
"28","IN_CH_STATE_PI_x_FC_LIBRARY",1.6848,0.16
"29","IN_CH_STATE_PA_x_FC_TV_EQUIPMENT",1.6801,0.16
"30","IN_CH_STATE_BA_x_FC_TV_EQUIPMENT",1.6303,0.16
"31","IN_CH_STATE_PB_x_FC_LIBRARY",1.5685,0.15
"32","IN_CH_STATE_CE_x_FC_NO_SPORTS_QUAD",1.5489,0.15
"33","IN_CH_STATE_TO_x_FC_NO_SPORTS_QUAD",1.4691,0.14
"34","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",1.4323,0.14
"35","IN_CH_STATE_PB_x_FC_INTERNET",1.3943,0.14
"36","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SCIENCE_LAB",1.3656,0.13
"37","IN_CH_STATE_SE_x_CH_RURAL",1.3525,0.13
"38","IN_CH_STATE_BA_x_CH_STATE",1.2826,0.13
"39","IN_CH_FUNDAMENTAL_EDU_I_x_FC_SEWAGE",1.2665,0.12
"40","IN_CH_STATE_PA_x_FC_ANTENNA_EQUIPMENT",1.1981,0.12
"41","IN_CH_STATE_MG_x_CH_MUNICIPAL",0.9756,0.1
"42","IN_CH_STATE_MA_x_CH_SCHOOL_LARGE_SIZE",0.9078,0.09
