"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_FEDERAL_x_FC_SCIENCE_LAB",125.4562,13.54
"2","IN_CH_STATE_PE_x_CH_FEDERAL",80.0636,8.64
"3","IN_CH_STATE_RO_x_CH_FEDERAL",47.4316,5.12
"4","IN_CH_STATE_RJ_x_CH_FEDERAL",32.4063,3.5
"5","IN_CH_STATE_MG_x_CH_FEDERAL",11.3412,1.22
"6","IN_CH_STATE_AM_x_CH_STATE",9.2875,1
"7","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",8.0584,0.87
"8","IN_CH_STATE_PB_x_FC_SCIENCE_LAB",6.8531,0.74
"9","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",5.6778,0.61
"10","IN_CH_STATE_MA_x_CH_URBAN",4.4329,0.48
"11","IN_CH_STATE_PB_x_CH_STATE",4.0875,0.44
"12","IN_CH_STATE_AC_x_FC_ANTENNA_EQUIPMENT",3.5378,0.38
"13","IN_CH_STATE_PB_x_FC_COMPUTER",3.2501,0.35
"14","IN_CH_STATE_PI_x_FC_INTERNET",3.1474,0.34
"15","IN_CH_STATE_MG_x_FC_NO_SPORTS_QUAD",3.053,0.33
"16","IN_CH_STATE_PB_x_CH_PRIVATE",3.0148,0.33
"17","IN_CH_STATE_PI_x_FC_HAS_SPORTS_QUAD",2.802,0.3
"18","IN_CH_STATE_RR_x_CH_MUNICIPAL",2.7469,0.3
"19","IN_CH_STATE_PI_x_FC_ANTENNA_EQUIPMENT",1.8275,0.2
"20","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",1.6681,0.18
"21","IN_CH_STATE_SE_x_CH_RURAL",1.6487,0.18
"22","IN_CH_STATE_BA_x_FC_TV_EQUIPMENT",1.5778,0.17
"23","IN_CH_STATE_CE_x_FC_NO_SPORTS_QUAD",1.5166,0.16
"24","IN_CH_STATE_PA_x_FC_TV_EQUIPMENT",1.4536,0.16
"25","IN_CH_STATE_AM_x_FC_HAS_SPORTS_QUAD",1.4429,0.16
"26","IN_CH_STATE_MA_x_CH_SCHOOL_LARGE_SIZE",1.4073,0.15
"27","IN_CH_STATE_PI_x_CH_STATE",1.3514,0.15
"28","IN_CH_RURAL_x_FC_TV_EQUIPMENT",1.2948,0.14
"29","IN_CH_STATE_BA_x_FC_ELECTR",1.2849,0.14
"30","IN_CH_STATE_PI_x_FC_LIBRARY",1.2411,0.13
"31","IN_CH_STATE_TO_x_FC_NO_SPORTS_QUAD",1.1999,0.13
"32","IN_CH_STATE_x_FC_SCIENCE_LAB",1.1925,0.13
"33","IN_CH_STATE_AL_x_CH_MUNICIPAL",1.1619,0.13
"34","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",1.1204,0.12
"35","IN_CH_STATE_BA_x_FC_COMPUTER_LAB",1.106,0.12
"36","IN_CH_STATE_PB_x_FC_TV_EQUIPMENT",1.0806,0.12
"37","IN_CH_FUNDAMENTAL_EDU_I_x_FC_SEWAGE",1.0147,0.11
"38","IN_CH_STATE_MA_x_FC_INTERNET",1.0107,0.11
"39","IN_CH_SCHOOL_LARGE_SIZE_x_FC_ANTENNA_EQUIPMENT",0.9196,0.1
"40","IN_CH_STATE_MA_x_FC_COMPUTER",0.8913,0.1
"41","IN_CH_STATE_PB_x_FC_INTERNET",0.8207,0.09
"42","IN_CH_STATE_PI_x_FC_TV_EQUIPMENT",0.7962,0.09
"43","IN_CH_STATE_SE_x_FC_COMPUTER_LAB",0.7175,0.08
"44","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SCIENCE_LAB",0.6269,0.07
"45","STR_TEACHERS_SECONDARY_FUNDEDU",0.626,0.07
"46","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",0.6226,0.07
"47","IN_CH_STATE_PE_x_FC_ANTENNA_EQUIPMENT",0.6116,0.07
"48","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE",0.5827,0.06
"49","IN_CH_STATE_MG_x_CH_MUNICIPAL",0.5229,0.06
"50","IN_CH_STATE_AM_x_FC_SEWAGE",0.5039,0.05
"51","IN_CH_STATE_PA_x_CH_MUNICIPAL",0.4505,0.05
"52","IN_CH_STATE_BA_x_FC_WATER_PUBLIC",0.3686,0.04
"53","IN_CH_STATE_SP_x_CH_SCHOOL_LARGE_SIZE",0.3307,0.04
"54","FC_WATER",0.2881,0.03
"55","IN_CH_STATE_BA_x_FC_ELECTR_PUBLIC",0.2421,0.03
"56","IN_CH_STATE_PA_x_FC_ANTENNA_EQUIPMENT",0.207,0.02
"57","IN_CH_STATE_PB_x_FC_LIBRARY",0.1482,0.02
"58","IN_CH_STATE_RO_x_FC_SEWAGE_PUBLIC",0.1198,0.01
"59","IN_CH_STATE_AM_x_FC_COMPUTER",0.1053,0.01
"60","IN_CH_STATE_PB_x_FC_WATER_PUBLIC",0.0858,0.01
"61","CLASS_SIZE",0.022,0
"62","ST_FUND_EDU_TEACHERS",0.0206,0
"63","IN_CH_STATE_MG_x_CH_RURAL",9e-04,0
"64","CH_CLASSES_FUNDAMENTAL_EDU_T",-0.1129,-0.01
"65","FC_WATER_PUBLIC",-0.115,-0.01
"66","FC_ELECTR_PUBLIC",-0.1275,-0.01
"67","IN_CH_STATE_RN_x_FC_HAS_SPORTS_QUAD",-0.1649,-0.02
"68","IN_CH_STATE_RS_x_FC_LIBRARY",-0.2492,-0.03
"69","IN_CH_STATE_RN_x_CH_STATE",-0.2684,-0.03
"70","IN_CH_STATE_RR_x_CH_PRIVATE",-0.2932,-0.03
"71","IN_CH_STATE_PI_x_FC_SCIENCE_LAB",-0.3074,-0.03
"72","IN_CH_STATE_SP_x_CH_MUNICIPAL",-0.3367,-0.04
"73","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",-0.3775,-0.04
"74","IN_CH_STATE_RN_x_FC_SCIENCE_LAB",-0.3858,-0.04
"75","IN_CH_STATE_RR_x_CH_SCHOOL_LARGE_SIZE",-0.4033,-0.04
"76","IN_CH_STATE_ES_x_CH_SCHOOL_LARGE_SIZE",-0.4791,-0.05
"77","IN_CH_RURAL_x_FC_COMPUTER_LAB",-0.4925,-0.05
"78","IN_CH_STATE_RO_x_FC_ELECTR_PUBLIC",-0.536,-0.06
"79","IN_CH_STATE_ES_x_CH_STATE",-0.5506,-0.06
"80","IN_CH_URBAN_x_FC_WATER_PUBLIC",-0.6117,-0.07
"81","IN_CH_STATE_SC_x_FC_TV_EQUIPMENT",-0.645,-0.07
"82","IN_CH_MUNICIPAL_x_FC_LIBRARY",-0.6484,-0.07
"83","IN_CH_STATE_SE_x_FC_SEWAGE_PUBLIC",-0.8077,-0.09
"84","IN_CH_STATE_RS_x_FC_TV_EQUIPMENT",-0.8853,-0.1
"85","IN_CH_PRIVATE_x_FC_LIBRARY",-0.904,-0.1
"86","IN_CH_STATE_MG_x_FC_LIBRARY",-0.9064,-0.1
"87","IN_CH_STATE_CE_x_CH_SCHOOL_LARGE_SIZE",-0.9359,-0.1
"88","IN_CH_STATE_RJ_x_FC_HAS_SPORTS_QUAD",-0.9943,-0.11
"89","IN_CH_STATE_CE_x_FC_INTERNET",-1.0137,-0.11
"90","IN_CH_STATE_RO_x_CH_MUNICIPAL",-1.0419,-0.11
"91","IN_CH_PRIVATE_x_FC_INTERNET",-1.0722,-0.12
"92","IN_CH_STATE_RJ_x_CH_MUNICIPAL",-1.1088,-0.12
"93","STR_TEACHERS_ONLY_FUNDEDU",-1.1326,-0.12
"94","IN_CH_STATE_RJ_x_FC_COMPUTER_LAB",-1.1592,-0.13
"95","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",-1.1629,-0.13
"96","IN_CH_FUNDAMENTAL_EDU_I_x_FC_INTERNET",-1.421,-0.15
"97","IN_CH_PRIVATE_x_FC_HAS_SPORTS_QUAD",-1.4993,-0.16
"98","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",-1.5234,-0.16
"99","IN_CH_STATE_CE_x_FC_LIBRARY",-1.527,-0.16
"100","IN_CH_STATE_PA_x_CH_PRIVATE",-1.5793,-0.17
"101","IN_CH_STATE_PB_x_CH_MUNICIPAL",-1.5962,-0.17
"102","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",-1.6148,-0.17
"103","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",-1.7151,-0.19
"104","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",-1.8508,-0.2
"105","IN_CH_STATE_RO_x_FC_NO_SPORTS_QUAD",-1.9454,-0.21
"106","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",-1.9591,-0.21
"107","IN_CH_STATE_PE_x_CH_RURAL",-1.9846,-0.21
"108","IN_CH_STATE_PI_x_FC_SEWAGE_PUBLIC",-1.9898,-0.21
"109","FC_INTERNET",-2.2786,-0.25
"110","IN_CH_STATE_RN_x_CH_PRIVATE",-2.3305,-0.25
"111","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",-2.7865,-0.3
"112","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",-2.8639,-0.31
"113","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",-2.9054,-0.31
"114","IN_CH_STATE_MG_x_FC_COMPUTER_LAB",-2.9397,-0.32
"115","IN_CH_STATE_SC_x_CH_RURAL",-3.0827,-0.33
"116","IN_CH_RURAL_x_FC_LIBRARY",-3.0896,-0.33
"117","IN_CH_STATE_PI_x_CH_RURAL",-3.1924,-0.34
"118","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",-3.5771,-0.39
"119","IN_CH_URBAN_x_FC_TV_EQUIPMENT",-3.6121,-0.39
"120","IN_CH_STATE_AL_x_CH_SCHOOL_LARGE_SIZE",-3.6352,-0.39
"121","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",-3.808,-0.41
"122","IN_CH_STATE_RS_x_CH_RURAL",-3.9211,-0.42
"123","IN_CH_STATE_PR_x_CH_RURAL",-3.9873,-0.43
"124","IN_CH_STATE_PB_x_CH_RURAL",-4.0564,-0.44
"125","IN_CH_STATE_ES_x_FC_TV_EQUIPMENT",-4.2746,-0.46
"126","IN_CH_STATE_RJ_x_CH_RURAL",-4.3836,-0.47
"127","IN_CH_MUNICIPAL_x_FC_HAS_SPORTS_QUAD",-4.4215,-0.48
"128","IN_CH_STATE_AP_x_FC_INTERNET",-4.4585,-0.48
"129","IN_CH_STATE_x_FC_TV_EQUIPMENT",-4.5765,-0.49
"130","IN_CH_STATE_AP_x_FC_HAS_SPORTS_QUAD",-5.1892,-0.56
"131","IN_CH_STATE_MA_x_CH_PRIVATE",-5.4603,-0.59
"132","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",-5.8521,-0.63
"133","IN_CH_RURAL_x_FC_SCIENCE_LAB",-6.4902,-0.7
"134","IN_CH_STATE_SP_x_CH_RURAL",-6.7669,-0.73
"135","IN_CH_URBAN_x_FC_COMPUTER",-6.7805,-0.73
"136","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",-7.8674,-0.85
"137","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",-7.9417,-0.86
