"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PE_x_CH_FEDERAL",110.6198,12.23
"2","IN_CH_FEDERAL_x_FC_SCIENCE_LAB",106.2377,11.74
"3","IN_CH_STATE_RO_x_CH_FEDERAL",14.6527,1.62
"4","IN_CH_STATE_AM_x_CH_STATE",11.1453,1.23
"5","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",8.6694,0.96
"6","IN_CH_STATE_RJ_x_CH_FEDERAL",6.6707,0.74
"7","IN_CH_STATE_PB_x_FC_SCIENCE_LAB",6.355,0.7
"8","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",5.3541,0.59
"9","IN_CH_STATE_PI_x_FC_HAS_SPORTS_QUAD",4.2762,0.47
"10","IN_CH_STATE_PB_x_CH_PRIVATE",3.9618,0.44
"11","IN_CH_STATE_PI_x_FC_INTERNET",3.6142,0.4
"12","IN_CH_STATE_PB_x_FC_COMPUTER",3.4659,0.38
"13","IN_CH_STATE_PB_x_CH_STATE",2.9281,0.32
"14","IN_CH_STATE_AC_x_FC_ANTENNA_EQUIPMENT",2.5409,0.28
"15","IN_CH_STATE_MG_x_FC_NO_SPORTS_QUAD",2.4447,0.27
"16","IN_CH_STATE_MA_x_CH_URBAN",2.4413,0.27
"17","IN_CH_STATE_MA_x_FC_INTERNET",2.4054,0.27
"18","IN_CH_STATE_RR_x_CH_MUNICIPAL",2.1903,0.24
"19","IN_CH_STATE_PI_x_FC_ANTENNA_EQUIPMENT",2.187,0.24
"20","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",2.1278,0.24
"21","IN_CH_STATE_PE_x_FC_ANTENNA_EQUIPMENT",1.877,0.21
"22","IN_CH_RURAL_x_FC_TV_EQUIPMENT",1.6245,0.18
"23","IN_CH_STATE_BA_x_FC_COMPUTER_LAB",1.5957,0.18
"24","IN_CH_STATE_BA_x_FC_TV_EQUIPMENT",1.5743,0.17
"25","IN_CH_STATE_x_FC_SCIENCE_LAB",1.3767,0.15
"26","IN_CH_STATE_PA_x_FC_TV_EQUIPMENT",1.3729,0.15
"27","IN_CH_STATE_SE_x_CH_RURAL",1.3694,0.15
"28","IN_CH_STATE_PI_x_FC_LIBRARY",1.3591,0.15
"29","IN_CH_STATE_TO_x_FC_NO_SPORTS_QUAD",1.2479,0.14
"30","IN_CH_STATE_SE_x_FC_COMPUTER_LAB",1.2444,0.14
"31","IN_CH_STATE_CE_x_FC_NO_SPORTS_QUAD",1.2014,0.13
"32","IN_CH_STATE_PA_x_FC_ANTENNA_EQUIPMENT",1.1483,0.13
"33","IN_CH_FUNDAMENTAL_EDU_I_x_FC_SEWAGE",1.1222,0.12
"34","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",1.1095,0.12
"35","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",1.0203,0.11
"36","IN_CH_STATE_PB_x_FC_LIBRARY",1.0095,0.11
"37","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SCIENCE_LAB",0.9816,0.11
"38","IN_CH_STATE_PB_x_FC_INTERNET",0.8336,0.09
"39","IN_CH_STATE_PI_x_CH_STATE",0.821,0.09
"40","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",0.7637,0.08
"41","IN_CH_STATE_BA_x_FC_ELECTR",0.709,0.08
"42","IN_CH_STATE_AL_x_CH_MUNICIPAL",0.7017,0.08
"43","IN_CH_STATE_BA_x_CH_STATE",0.6853,0.08
"44","IN_CH_STATE_MG_x_CH_MUNICIPAL",0.6052,0.07
"45","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",0.5435,0.06
"46","IN_CH_STATE_BA_x_FC_WATER_PUBLIC",0.5429,0.06
"47","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE",0.5316,0.06
"48","IN_CH_STATE_AM_x_FC_COMPUTER",0.4422,0.05
"49","IN_CH_STATE_MA_x_FC_COMPUTER",0.4167,0.05
"50","IN_CH_STATE_MG_x_CH_RURAL",0.3825,0.04
"51","STR_TEACHERS_SECONDARY_FUNDEDU",0.3765,0.04
"52","IN_CH_STATE_RO_x_FC_SEWAGE_PUBLIC",0.3577,0.04
"53","IN_CH_STATE_MA_x_CH_SCHOOL_LARGE_SIZE",0.3153,0.03
"54","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",0.2822,0.03
"55","IN_CH_SCHOOL_LARGE_SIZE_x_FC_ANTENNA_EQUIPMENT",0.2585,0.03
"56","IN_CH_STATE_PA_x_CH_MUNICIPAL",0.1545,0.02
"57","IN_CH_STATE_PB_x_FC_TV_EQUIPMENT",0.139,0.02
"58","IN_CH_STATE_MG_x_CH_FEDERAL",0.1109,0.01
"59","IN_CH_STATE_BA_x_FC_ELECTR_PUBLIC",0.076,0.01
"60","IN_CH_STATE_PI_x_FC_TV_EQUIPMENT",0.0266,0
"61","IN_CH_STATE_AM_x_FC_SEWAGE",0.0221,0
"62","CLASS_STUDENT_TEACHER_RATIO",0.0085,0
"63","ST_FUND_EDU_TEACHERS",0.0011,0
"64","IN_CH_URBAN_x_FC_INTERNET",-1e-04,0
"65","CH_CLASSES_FUNDAMENTAL_EDU_T",-0.0652,-0.01
"66","FC_COMPUTER_LAB",-0.1523,-0.02
"67","IN_CH_STATE_RJ_x_FC_COMPUTER_LAB",-0.2013,-0.02
"68","IN_CH_STATE_SE_x_FC_SEWAGE_PUBLIC",-0.2779,-0.03
"69","IN_CH_STATE_SP_x_CH_MUNICIPAL",-0.3044,-0.03
