"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_FEDERAL_x_FC_SCIENCE_LAB",112.627,13.81
"2","IN_CH_STATE_PE_x_CH_FEDERAL",83.0292,10.18
"3","IN_CH_STATE_RO_x_CH_FEDERAL",48.3532,5.93
"4","IN_CH_STATE_RJ_x_CH_FEDERAL",30.8186,3.78
"5","IN_CH_STATE_SP_x_CH_FEDERAL",15.5179,1.9
"6","IN_CH_STATE_MG_x_CH_FEDERAL",11.7364,1.44
"7","IN_CH_STATE_AM_x_CH_STATE",8.6074,1.06
"8","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",7.0407,0.86
"9","IN_CH_STATE_PB_x_FC_SCIENCE_LAB",5.252,0.64
"10","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",4.7427,0.58
"11","IN_CH_STATE_PB_x_CH_STATE",3.5472,0.43
"12","IN_CH_STATE_PB_x_CH_PRIVATE",3.3697,0.41
"13","IN_CH_STATE_MA_x_CH_URBAN",3.3024,0.4
"14","IN_CH_STATE_PB_x_FC_COMPUTER",3.0422,0.37
"15","IN_CH_STATE_MG_x_FC_NO_SPORTS_QUAD",2.7726,0.34
"16","IN_CH_STATE_PI_x_FC_HAS_SPORTS_QUAD",2.7721,0.34
"17","IN_CH_STATE_AC_x_FC_ANTENNA_EQUIPMENT",2.7474,0.34
"18","IN_CH_STATE_PI_x_FC_INTERNET",2.7016,0.33
"19","IN_CH_STATE_RR_x_CH_MUNICIPAL",2.2835,0.28
"20","IN_CH_STATE_PI_x_FC_ANTENNA_EQUIPMENT",1.6388,0.2
"21","IN_CH_STATE_MA_x_FC_INTERNET",1.4678,0.18
"22","IN_CH_STATE_SE_x_CH_RURAL",1.4536,0.18
"23","IN_CH_STATE_BA_x_FC_TV_EQUIPMENT",1.419,0.17
"24","IN_CH_STATE_PI_x_CH_STATE",1.371,0.17
"25","IN_CH_STATE_PA_x_FC_TV_EQUIPMENT",1.3154,0.16
"26","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",1.2959,0.16
