"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PB_x_CH_FEDERAL",43.2615,-37.51
"2","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",23.4616,-20.34
"3","IN_CH_STATE_CE_x_CH_FEDERAL",19.3703,-16.79
"4","IN_CH_STATE_BA_x_CH_FEDERAL",11.951,-10.36
"5","IN_CH_STATE_PI_x_CH_FEDERAL",11.4049,-9.89
"6","IN_CH_STATE_AL_x_CH_FEDERAL",7.9931,-6.93
"7","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",7.1609,-6.21
"8","IN_CH_STATE_MA_x_CH_FEDERAL",4.681,-4.06
"9","IN_CH_STATE_AC_x_CH_PRIVATE",3.2247,-2.8
"10","STR_TEACHERS_INCOMPLETE_FUNDEDU",2.057,-1.78
"11","IN_CH_STATE_RR_x_CH_FEDERAL",1.3735,-1.19
"12","IN_CH_STATE_RO_x_CH_SCHOOL_LARGE_SIZE",1.1258,-0.98
"13","IN_CH_PRIVATE_x_FC_INTERNET",1.0165,-0.88
"14","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",0.9461,-0.82
"15","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",0.8882,-0.77
"16","IN_CH_URBAN_x_FC_COMPUTER",0.8733,-0.76
"17","IN_CH_STATE_RJ_x_CH_RURAL",0.8494,-0.74
"18","IN_CH_STATE_x_FC_TV_EQUIPMENT",0.8371,-0.73
"19","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.8313,-0.72
"20","IN_CH_STATE_SP_x_CH_RURAL",0.8131,-0.7
"21","IN_CH_STATE_RN_x_CH_PRIVATE",0.7887,-0.68
"22","IN_CH_STATE_AP_x_FC_HAS_SPORTS_QUAD",0.7551,-0.65
"23","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",0.6969,-0.6
"24","IN_CH_STATE_MA_x_CH_PRIVATE",0.6361,-0.55
"25","IN_CH_STATE_RN_x_CH_FEDERAL",0.6257,-0.54
"26","FC_INTERNET",0.5655,-0.49
"27","IN_CH_MUNICIPAL_x_FC_HAS_SPORTS_QUAD",0.5382,-0.47
"28","IN_CH_STATE_PR_x_CH_RURAL",0.5193,-0.45
"29","IN_CH_STATE_RR_x_CH_SCHOOL_LARGE_SIZE",0.5177,-0.45
"30","IN_CH_STATE_PI_x_CH_RURAL",0.4948,-0.43
"31","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",0.4749,-0.41
"32","IN_CH_STATE_PB_x_CH_MUNICIPAL",0.4715,-0.41
"33","IN_CH_STATE_PB_x_CH_RURAL",0.4574,-0.4
"34","IN_CH_STATE_RR_x_CH_PRIVATE",0.4409,-0.38
"35","IN_CH_STATE_ES_x_FC_TV_EQUIPMENT",0.4406,-0.38
"36","IN_CH_STATE_RO_x_FC_NO_SPORTS_QUAD",0.4354,-0.38
"37","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",0.4343,-0.38
"38","IN_CH_STATE_SC_x_CH_RURAL",0.4291,-0.37
"39","IN_CH_STATE_PE_x_CH_RURAL",0.3929,-0.34
"40","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",0.3678,-0.32
"41","IN_CH_STATE_RS_x_CH_RURAL",0.3634,-0.32
"42","IN_CH_URBAN_x_FC_TV_EQUIPMENT",0.3516,-0.3
"43","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",0.3504,-0.3
"44","IN_CH_STATE_SE_x_FC_SEWAGE_PUBLIC",0.3398,-0.29
"45","IN_CH_STATE_PI_x_FC_SEWAGE_PUBLIC",0.3354,-0.29
"46","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",0.3079,-0.27
"47","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",0.2827,-0.25
"48","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",0.2802,-0.24
"49","IN_CH_STATE_AL_x_CH_SCHOOL_LARGE_SIZE",0.2756,-0.24
"50","FC_COMPUTER_LAB",0.2682,-0.23
"51","IN_CH_STATE_ES_x_CH_STATE",0.265,-0.23
"52","IN_CH_STATE_PR_x_CH_MUNICIPAL",0.2585,-0.22
