"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PB_x_FC_SCIENCE_LAB",0.4743,2.47
"2","FC_WATER",0.4142,2.16
"3","IN_CH_STATE_BA_x_CH_RURAL",0.3264,1.7
"4","IN_CH_STATE_MA_x_CH_MUNICIPAL",0.2797,1.46
"5","IN_CH_STATE_AL_x_CH_RURAL",0.245,1.28
"6","IN_CH_STATE_AM_x_CH_RURAL",0.2089,1.09
"7","IN_CH_STATE_PB_x_CH_PRIVATE",0.2001,1.04
"8","IN_CH_STATE_RR_x_CH_MUNICIPAL",0.1652,0.86
"9","IN_CH_STATE_PA_x_FC_SEWAGE_PUBLIC",0.1639,0.86
"10","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",0.1582,0.83
"11","IN_CH_STATE_PA_x_CH_MUNICIPAL",0.1258,0.66
"12","IN_CH_STATE_MA_x_CH_URBAN",0.1208,0.63
"13","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",0.1113,0.58
"14","IN_CH_MUNICIPAL_x_FC_SEWAGE",0.109,0.57
"15","IN_CH_STATE_AC_x_CH_MUNICIPAL",0.0912,0.48
"16","IN_CH_STATE_MA_x_CH_SCHOOL_LARGE_SIZE",0.0903,0.47
"17","IN_CH_STATE_SE_x_CH_RURAL",0.0797,0.42
"18","IN_CH_STATE_RJ_x_CH_SCHOOL_LARGE_SIZE",0.0741,0.39
"19","STR_TEACHERS_SECONDARY_FUNDEDU",0.0612,0.32
"20","IN_CH_STATE_PB_x_FC_COMPUTER",0.0605,0.32
"21","IN_CH_STATE_BA_x_FC_ELECTR",0.0539,0.28
"22","IN_CH_STATE_PI_x_FC_ANTENNA_EQUIPMENT",0.0516,0.27
"23","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",0.0503,0.26
"24","IN_CH_STATE_PI_x_FC_LIBRARY",0.0428,0.22
"25","IN_CH_STATE_AM_x_FC_SEWAGE",0.0393,0.21
"26","IN_CH_STATE_PI_x_FC_TV_EQUIPMENT",0.0327,0.17
"27","IN_CH_STATE_MA_x_FC_TV_EQUIPMENT",0.0309,0.16
"28","IN_CH_STATE_MA_x_FC_LIBRARY",0.0174,0.09
"29","IN_CH_STATE_PA_x_CH_RURAL",0.0139,0.07
"30","IN_CH_STATE_MG_x_FC_HAS_SPORTS_QUAD",0.0109,0.06
"31","IN_CH_MUNICIPAL_x_FC_WATER",0.0089,0.05
"32","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",0.0039,0.02
"33","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE",6e-04,0
"34","FC_SCIENCE_LAB",0,0
"35","IN_CH_STATE_PB_x_CH_MUNICIPAL",-8e-04,0
"36","FC_LIBRARY",-0.004,-0.02
"37","IN_CH_STATE_SP_x_CH_PRIVATE",-0.0043,-0.02
"38","IN_CH_STATE_SC_x_CH_FUNDAMENTAL_EDU_I",-0.0044,-0.02
"39","FC_ROOMS_AVAILABLE",-0.0057,-0.03
"40","IN_CH_STATE_SC_x_CH_URBAN",-0.0063,-0.03
"41","IN_CH_STATE_x_FC_WATER_PUBLIC",-0.0112,-0.06
"42","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",-0.0142,-0.07
"43","FC_COMPUTER",-0.0178,-0.09
"44","IN_CH_STATE_RS_x_CH_MUNICIPAL",-0.0178,-0.09
"45","IN_CH_STATE_SC_x_FC_SCIENCE_LAB",-0.023,-0.12
"46","IN_CH_STATE_SC_x_CH_SCHOOL_LARGE_SIZE",-0.0231,-0.12
"47","IN_CH_STATE_SC_x_FC_SEWAGE_PUBLIC",-0.0238,-0.12
"48","IN_CH_STATE_ES_x_CH_FUNDAMENTAL_EDU_T",-0.0354,-0.18
"49","IN_CH_STATE_SE_x_FC_INTERNET",-0.0381,-0.2
"50","IN_CH_STATE_TO_x_CH_STATE",-0.0381,-0.2
"51","IN_CH_FUNDAMENTAL_EDU_T_x_FC_COMPUTER",-0.0383,-0.2
"52","CH_SCHOOL_LARGE_SIZE",-0.0386,-0.2
"53","IN_CH_STATE_RN_x_FC_NO_SPORTS_QUAD",-0.0389,-0.2
"54","IN_CH_STATE_ES_x_CH_RURAL",-0.0438,-0.23
"55","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",-0.0461,-0.24
"56","FC_ELECTR_PUBLIC",-0.048,-0.25
"57","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",-0.0529,-0.28
"58","IN_CH_STATE_RO_x_FC_NO_SPORTS_QUAD",-0.0534,-0.28
"59","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",-0.0558,-0.29
"60","IN_CH_STATE_PR_x_FC_COMPUTER_LAB",-0.0559,-0.29
"61","IN_CH_STATE_PE_x_FC_ANTENNA_EQUIPMENT",-0.0636,-0.33
"62","IN_CH_STATE_SC_x_CH_FUNDAMENTAL_EDU_T",-0.0651,-0.34
"63","IN_CH_URBAN_x_FC_COMPUTER_LAB",-0.0785,-0.41
"64","FC_COMPUTER_LAB",-0.0801,-0.42
"65","IN_CH_STATE_PB_x_CH_SCHOOL_LARGE_SIZE",-0.0855,-0.45
"66","IN_CH_STATE_CE_x_FC_TV_EQUIPMENT",-0.0888,-0.46
"67","IN_CH_MUNICIPAL_x_FC_LIBRARY",-0.0938,-0.49
"68","FC_TV_EQUIPMENT",-0.1039,-0.54
"69","IN_CH_STATE_SP_x_CH_RURAL",-0.1057,-0.55
"70","IN_CH_STATE_PR_x_FC_SCIENCE_LAB",-0.1113,-0.58
"71","IN_CH_STATE_PB_x_CH_RURAL",-0.1242,-0.65
"72","IN_CH_STATE_AP_x_CH_STATE",-0.1266,-0.66
"73","IN_CH_STATE_AL_x_CH_FEDERAL",-0.1439,-0.75
"74","IN_CH_STATE_PE_x_CH_RURAL",-0.1444,-0.75
"75","IN_CH_STATE_RN_x_CH_STATE",-0.1497,-0.78
"76","IN_CH_STATE_RJ_x_CH_RURAL",-0.1584,-0.83
"77","IN_CH_PRIVATE_x_FC_SEWAGE_PUBLIC",-0.1628,-0.85
"78","IN_CH_STATE_PR_x_FC_HAS_SPORTS_QUAD",-0.1776,-0.93
"79","IN_CH_STATE_AL_x_CH_SCHOOL_LARGE_SIZE",-0.1812,-0.95
"80","IN_CH_STATE_ES_x_CH_STATE",-0.2099,-1.1
"81","IN_CH_STATE_PI_x_FC_SEWAGE_PUBLIC",-0.2172,-1.13
"82","IN_CH_STATE_RS_x_CH_PRIVATE",-0.2246,-1.17
"83","IN_CH_STATE_RO_x_CH_RURAL",-0.2333,-1.22
"84","IN_CH_STATE_SC_x_CH_PRIVATE",-0.2765,-1.44
"85","IN_CH_STATE_PI_x_CH_FEDERAL",-0.2964,-1.55
"86","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",-0.3595,-1.88
"87","IN_CH_STATE_RN_x_CH_PRIVATE",-0.4854,-2.53
"88","STR_TEACHERS_INCOMPLETE_FUNDEDU",-0.5236,-2.73
"89","IN_CH_STATE_BA_x_CH_FEDERAL",-1.0031,-5.23
"90","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",-2.3578,-12.3
"91","IN_CH_STATE_PE_x_CH_FEDERAL",-2.7875,-14.54
"92","IN_CH_STATE_PB_x_CH_FEDERAL",-6.7484,-35.21
"93","IN_CH_STATE_RR_x_CH_FEDERAL",-13.2533,-69.15
"94","IN_CH_STATE_AC_x_CH_FEDERAL",-16.8411,-87.88
"95","IN_CH_STATE_MA_x_CH_FEDERAL",-20.7205,-108.12
