"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PB_x_CH_FEDERAL",26.8814,-31.05
"2","IN_CH_STATE_CE_x_CH_FEDERAL",22.388,-25.86
"3","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",15.9415,-18.41
"4","IN_CH_STATE_BA_x_CH_FEDERAL",12.961,-14.97
"5","IN_CH_STATE_AL_x_CH_FEDERAL",10.6655,-12.32
"6","IN_CH_STATE_PI_x_CH_FEDERAL",9.9916,-11.54
"7","IN_CH_STATE_RN_x_CH_FEDERAL",5.9647,-6.89
"8","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",3.8661,-4.47
"9","IN_CH_STATE_TO_x_CH_FEDERAL",2.2322,-2.58
"10","IN_CH_STATE_RR_x_CH_PRIVATE",1.7946,-2.07
"11","IN_CH_STATE_AC_x_CH_PRIVATE",1.6094,-1.86
"12","IN_CH_STATE_RO_x_CH_SCHOOL_LARGE_SIZE",1.2227,-1.41
"13","STR_TEACHERS_INCOMPLETE_FUNDEDU",1.1802,-1.36
"14","IN_CH_STATE_AP_x_CH_FEDERAL",1.165,-1.35
"15","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",0.8929,-1.03
"16","IN_CH_STATE_x_FC_TV_EQUIPMENT",0.8701,-1.01
"17","IN_CH_STATE_AP_x_CH_SCHOOL_LARGE_SIZE",0.8591,-0.99
"18","IN_CH_PRIVATE_x_FC_INTERNET",0.8053,-0.93
"19","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",0.724,-0.84
"20","IN_CH_URBAN_x_FC_COMPUTER",0.7186,-0.83
"21","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.6916,-0.8
"22","IN_CH_MUNICIPAL_x_FC_HAS_SPORTS_QUAD",0.5849,-0.68
"23","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",0.5077,-0.59
"24","IN_CH_STATE_SP_x_CH_RURAL",0.4153,-0.48
"25","IN_CH_STATE_PR_x_CH_RURAL",0.392,-0.45
"26","FC_INTERNET",0.389,-0.45
"27","IN_CH_STATE_ES_x_CH_SCHOOL_LARGE_SIZE",0.3648,-0.42
"28","IN_CH_PRIVATE_x_FC_LIBRARY",0.3571,-0.41
"29","IN_CH_STATE_PB_x_CH_RURAL",0.3504,-0.4
"30","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",0.3185,-0.37
"31","IN_CH_MUNICIPAL_x_FC_SCIENCE_LAB",0.316,-0.37
"32","IN_CH_STATE_PI_x_CH_RURAL",0.3145,-0.36
"33","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",0.3133,-0.36
"34","IN_CH_STATE_MG_x_FC_COMPUTER_LAB",0.3048,-0.35
"35","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",0.2947,-0.34
"36","IN_CH_STATE_RJ_x_CH_RURAL",0.287,-0.33
"37","IN_CH_URBAN_x_FC_INTERNET",0.275,-0.32
"38","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",0.2719,-0.31
"39","IN_CH_STATE_ES_x_FC_TV_EQUIPMENT",0.2592,-0.3
"40","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",0.2529,-0.29
"41","IN_CH_STATE_CE_x_CH_SCHOOL_LARGE_SIZE",0.2413,-0.28
"42","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",0.2336,-0.27
"43","IN_CH_STATE_SC_x_CH_RURAL",0.1893,-0.22
"44","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",0.1826,-0.21
