"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PE_x_CH_FEDERAL",12.6422,9.17
"2","IN_CH_FEDERAL_x_FC_SCIENCE_LAB",10.2872,7.46
"3","IN_CH_STATE_RO_x_CH_FEDERAL",8.4669,6.14
"4","IN_CH_STATE_RJ_x_CH_FEDERAL",8.3119,6.03
"5","IN_CH_STATE_AM_x_CH_STATE",2.881,2.09
"6","IN_CH_STATE_PB_x_FC_SCIENCE_LAB",2.562,1.86
"7","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",1.9479,1.41
"8","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",1.8122,1.31
"9","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",1.5979,1.16
"10","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",1.2141,0.88
"11","IN_CH_PRIVATE_x_FC_ANTENNA_EQUIPMENT",1.1837,0.86
"12","IN_CH_STATE_MA_x_FC_INTERNET",1.0443,0.76
"13","IN_CH_STATE_PB_x_FC_COMPUTER",1.0425,0.76
"14","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",0.9158,0.66
"15","IN_CH_STATE_BA_x_FC_COMPUTER_LAB",0.9034,0.66
"16","IN_CH_STATE_PI_x_FC_INTERNET",0.8492,0.62
"17","IN_CH_STATE_PB_x_CH_PRIVATE",0.8422,0.61
"18","IN_CH_STATE_PB_x_FC_LIBRARY",0.7825,0.57
"19","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",0.757,0.55
"20","IN_CH_STATE_PI_x_FC_ANTENNA_EQUIPMENT",0.718,0.52
"21","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SCIENCE_LAB",0.7092,0.51
"22","IN_CH_STATE_PE_x_CH_PRIVATE",0.6429,0.47
"23","IN_CH_STATE_SE_x_FC_COMPUTER_LAB",0.5753,0.42
"24","IN_CH_STATE_PA_x_CH_URBAN",0.4948,0.36
"25","IN_CH_STATE_RO_x_FC_SEWAGE_PUBLIC",0.4484,0.33
"26","IN_CH_SCHOOL_LARGE_SIZE_x_FC_ANTENNA_EQUIPMENT",0.4353,0.32
"27","IN_CH_STATE_RJ_x_CH_PRIVATE",0.4305,0.31
"28","IN_CH_STATE_SE_x_CH_RURAL",0.4066,0.3
"29","IN_CH_STATE_PI_x_FC_LIBRARY",0.4042,0.29
"30","IN_CH_STATE_RR_x_CH_MUNICIPAL",0.3456,0.25
"31","IN_CH_STATE_AC_x_FC_ANTENNA_EQUIPMENT",0.3319,0.24
"32","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",0.2895,0.21
"33","IN_CH_STATE_TO_x_CH_MUNICIPAL",0.2844,0.21
"34","IN_CH_FUNDAMENTAL_EDU_I_x_FC_SEWAGE",0.283,0.21
"35","IN_CH_STATE_x_FC_SCIENCE_LAB",0.2704,0.2
"36","IN_CH_STATE_PA_x_FC_TV_EQUIPMENT",0.2397,0.17
"37","IN_CH_STATE_PI_x_FC_HAS_SPORTS_QUAD",0.2339,0.17
"38","IN_CH_STATE_PE_x_FC_ANTENNA_EQUIPMENT",0.2332,0.17
"39","IN_CH_STATE_BA_x_FC_TV_EQUIPMENT",0.2262,0.16
"40","IN_CH_STATE_MG_x_CH_MUNICIPAL",0.2034,0.15
"41","IN_CH_RURAL_x_FC_TV_EQUIPMENT",0.1918,0.14
"42","IN_CH_STATE_MA_x_CH_URBAN",0.1789,0.13
"43","IN_CH_STATE_PB_x_FC_INTERNET",0.1759,0.13
"44","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",0.1708,0.12
"45","IN_CH_STATE_PI_x_FC_TV_EQUIPMENT",0.1673,0.12
"46","IN_CH_STATE_PB_x_CH_STATE",0.1641,0.12
"47","IN_CH_STATE_MG_x_CH_RURAL",0.1603,0.12
"48","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",0.1499,0.11
"49","IN_CH_STATE_CE_x_FC_NO_SPORTS_QUAD",0.1325,0.1
"50","STR_TEACHERS_SECONDARY_FUNDEDU",0.132,0.1
"51","IN_CH_STATE_AL_x_CH_RURAL",0.1294,0.09
"52","IN_CH_STATE_BA_x_CH_RURAL",0.1293,0.09
"53","IN_CH_STATE_CE_x_FC_SEWAGE_PUBLIC",0.0998,0.07
"54","IN_CH_STATE_PE_x_FC_COMPUTER_LAB",0.0671,0.05
"55","IN_CH_STATE_TO_x_FC_ANTENNA_EQUIPMENT",0.0655,0.05
"56","IN_CH_STATE_AM_x_FC_COMPUTER",0.061,0.04
"57","IN_CH_STATE_RN_x_FC_LIBRARY",0.0588,0.04
