"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_MA_x_CH_FEDERAL",51.2409,179.07
"2","IN_CH_STATE_RR_x_CH_FEDERAL",30.5651,106.82
"3","IN_CH_STATE_AC_x_CH_FEDERAL",24.2124,84.62
"4","IN_CH_STATE_BA_x_CH_FEDERAL",3.4804,12.16
"5","IN_CH_STATE_PE_x_CH_FEDERAL",2.6403,9.23
"6","IN_CH_STATE_PB_x_CH_FEDERAL",1.4806,5.17
"7","IN_CH_STATE_RS_x_CH_PRIVATE",0.8266,2.89
"8","IN_CH_STATE_RN_x_CH_PRIVATE",0.7346,2.57
"9","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",0.7059,2.47
"10","STR_TEACHERS_INCOMPLETE_FUNDEDU",0.5576,1.95
"11","IN_CH_STATE_PR_x_FC_COMPUTER_LAB",0.5265,1.84
"12","IN_CH_STATE_RO_x_FC_SEWAGE_PUBLIC",0.502,1.75
"13","IN_CH_STATE_SC_x_CH_PRIVATE",0.469,1.64
"14","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",0.4396,1.54
"15","IN_CH_STATE_PB_x_CH_SCHOOL_LARGE_SIZE",0.4205,1.47
"16","IN_CH_STATE_AL_x_CH_SCHOOL_LARGE_SIZE",0.418,1.46
"17","IN_CH_STATE_PR_x_FC_HAS_SPORTS_QUAD",0.4002,1.4
"18","IN_CH_STATE_RJ_x_CH_RURAL",0.3947,1.38
"19","IN_CH_STATE_PE_x_FC_ANTENNA_EQUIPMENT",0.3654,1.28
"20","IN_CH_STATE_RO_x_CH_RURAL",0.3635,1.27
"21","IN_CH_STATE_SP_x_CH_PRIVATE",0.3515,1.23
"22","IN_CH_STATE_SC_x_FC_LIBRARY",0.3292,1.15
"23","IN_CH_STATE_PI_x_FC_SEWAGE_PUBLIC",0.3279,1.15
"24","IN_CH_STATE_ES_x_CH_RURAL",0.3195,1.12
"25","IN_CH_URBAN_x_FC_COMPUTER_LAB",0.2854,1
"26","IN_CH_STATE_RN_x_FC_NO_SPORTS_QUAD",0.2687,0.94
"27","IN_CH_STATE_PE_x_CH_RURAL",0.2645,0.92
"28","IN_CH_STATE_ES_x_CH_STATE",0.209,0.73
"29","IN_CH_URBAN_x_FC_SCIENCE_LAB",0.2051,0.72
"30","IN_CH_STATE_CE_x_FC_TV_EQUIPMENT",0.2034,0.71
"31","IN_CH_FUNDAMENTAL_EDU_T_x_FC_COMPUTER_LAB",0.1994,0.7
"32","IN_CH_STATE_SE_x_FC_INTERNET",0.1695,0.59
"33","IN_CH_STATE_SP_x_CH_RURAL",0.1633,0.57
"34","IN_CH_FUNDAMENTAL_EDU_T_x_FC_TV_EQUIPMENT",0.1169,0.41
"35","IN_CH_STATE_PB_x_CH_RURAL",0.1124,0.39
"36","IN_CH_STATE_MG_x_FC_NO_SPORTS_QUAD",0.1008,0.35
"37","FC_ELECTR_PUBLIC",0.0977,0.34
"38","IN_CH_STATE_AP_x_CH_STATE",0.0853,0.3
"39","IN_CH_STATE_PB_x_CH_MUNICIPAL",0.0789,0.28
"40","IN_CH_STATE_SC_x_FC_SCIENCE_LAB",0.0679,0.24
"41","IN_CH_FUNDAMENTAL_EDU_T_x_FC_LIBRARY",0.0638,0.22
"42","IN_CH_STATE_SC_x_CH_FUNDAMENTAL_EDU_T",0.0553,0.19
"43","IN_CH_SCHOOL_LARGE_SIZE_x_FC_HAS_SPORTS_QUAD",0.0459,0.16
"44","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER_LAB",0.0455,0.16
"45","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",0.0432,0.15
"46","IN_CH_URBAN_x_FC_LIBRARY",0.0429,0.15
"47","IN_CH_STATE_TO_x_CH_STATE",0.0408,0.14
"48","IN_CH_STATE_PR_x_CH_URBAN",0.0352,0.12
"49","IN_CH_PRIVATE_x_FC_SCIENCE_LAB",0.0295,0.1
"50","FC_ROOMS_AVAILABLE",0.0186,0.07
"51","IN_CH_STATE_ES_x_FC_NO_SPORTS_QUAD",0.018,0.06
"52","FC_LIBRARY",0.0078,0.03
"53","IN_CH_STATE_MG_x_CH_RURAL",0.0037,0.01
"54","CH_MATRI_FUNDAMENTAL_EDU_T",0,0
"55","IN_CH_STATE_BA_x_FC_ELECTR",-0.0023,-0.01
"56","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",-0.0032,-0.01
"57","IN_CH_STATE_MA_x_FC_SEWAGE",-0.0063,-0.02
"58","IN_CH_STATE_MG_x_FC_COMPUTER_LAB",-0.0081,-0.03
"59","IN_CH_STATE_PI_x_FC_LIBRARY",-0.0247,-0.09
"60","IN_CH_STATE_PA_x_CH_MUNICIPAL",-0.0292,-0.1
"61","IN_CH_RURAL_x_FC_SCIENCE_LAB",-0.0455,-0.16
"62","IN_CH_STATE_PI_x_FC_ANTENNA_EQUIPMENT",-0.0561,-0.2
"63","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",-0.06,-0.21
"64","IN_CH_STATE_RS_x_CH_STATE",-0.0851,-0.3
"65","IN_CH_MUNICIPAL_x_FC_SEWAGE",-0.1008,-0.35
"66","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE",-0.1114,-0.39
"67","STR_TEACHERS_SECONDARY_FUNDEDU",-0.1304,-0.46
"68","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",-0.132,-0.46
"69","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",-0.1914,-0.67
"70","IN_CH_STATE_AC_x_CH_MUNICIPAL",-0.193,-0.67
"71","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",-0.2146,-0.75
"72","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",-0.2528,-0.88
"73","IN_CH_STATE_PA_x_CH_RURAL",-0.2534,-0.89
"74","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",-0.2552,-0.89
"75","IN_CH_STATE_RJ_x_FC_HAS_SPORTS_QUAD",-0.2612,-0.91
"76","IN_CH_STATE_PB_x_CH_PRIVATE",-0.2872,-1
"77","IN_CH_STATE_MG_x_FC_HAS_SPORTS_QUAD",-0.295,-1.03
"78","IN_CH_STATE_RR_x_CH_MUNICIPAL",-0.4535,-1.58
"79","IN_CH_STATE_AP_x_CH_PRIVATE",-0.5314,-1.86
"80","IN_CH_STATE_RJ_x_CH_SCHOOL_LARGE_SIZE",-0.5376,-1.88
"81","IN_CH_STATE_AL_x_CH_RURAL",-0.5504,-1.92
"82","IN_CH_STATE_PA_x_FC_SEWAGE_PUBLIC",-0.6093,-2.13
"83","IN_CH_STATE_AM_x_CH_RURAL",-0.6453,-2.26
"84","IN_CH_STATE_MA_x_CH_MUNICIPAL",-0.7755,-2.71
"85","IN_CH_STATE_MA_x_CH_SCHOOL_LARGE_SIZE",-0.7797,-2.72
"86","IN_CH_STATE_AC_x_FC_SCIENCE_LAB",-0.8565,-2.99
"87","IN_CH_STATE_BA_x_CH_RURAL",-0.8937,-3.12
"88","IN_CH_STATE_PB_x_FC_SCIENCE_LAB",-1.0812,-3.78
"89","IN_CH_STATE_RN_x_CH_FEDERAL",-1.1923,-4.17
"90","FC_WATER",-1.25,-4.37
"91","IN_CH_FEDERAL_x_FC_LIBRARY",-2.2946,-8.02
"92","IN_CH_STATE_RJ_x_CH_FEDERAL",-2.6658,-9.32
"93","IN_CH_STATE_RO_x_CH_FEDERAL",-2.8434,-9.94
