"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PE_x_CH_FEDERAL",30.6234,19.32
"2","IN_CH_STATE_MA_x_CH_FEDERAL",19.9812,12.61
"3","IN_CH_STATE_RR_x_CH_FEDERAL",5.1663,3.26
"4","IN_CH_STATE_AM_x_CH_STATE",2.151,1.36
"5","IN_CH_STATE_MA_x_FC_SCIENCE_LAB",2.1225,1.34
"6","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",1.8846,1.19
"7","IN_CH_STATE_PE_x_FC_ANTENNA_EQUIPMENT",1.3978,0.88
"8","IN_CH_STATE_PI_x_FC_HAS_SPORTS_QUAD",1.3574,0.86
"9","IN_CH_FUNDAMENTAL_EDU_I_x_FC_NO_SPORTS_QUAD",1.1631,0.73
"10","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",1.1036,0.7
"11","IN_CH_STATE_SE_x_FC_COMPUTER_LAB",1.1028,0.7
"12","IN_CH_STATE_RO_x_FC_SEWAGE_PUBLIC",0.9469,0.6
"13","IN_CH_STATE_PB_x_FC_LIBRARY",0.8858,0.56
"14","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",0.8543,0.54
"15","IN_CH_STATE_BA_x_CH_STATE",0.8396,0.53
"16","IN_CH_STATE_MA_x_FC_INTERNET",0.7288,0.46
"17","IN_CH_STATE_MG_x_CH_RURAL",0.718,0.45
"18","IN_CH_STATE_BA_x_FC_COMPUTER_LAB",0.7058,0.45
"19","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SCIENCE_LAB",0.6969,0.44
"20","IN_CH_STATE_PB_x_CH_SCHOOL_LARGE_SIZE",0.6017,0.38
"21","IN_CH_STATE_PB_x_CH_PRIVATE",0.5452,0.34
"22","IN_CH_STATE_PA_x_FC_ANTENNA_EQUIPMENT",0.5362,0.34
"23","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",0.5238,0.33
"24","IN_CH_STATE_RN_x_CH_RURAL",0.5202,0.33
"25","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",0.4954,0.31
"26","IN_CH_STATE_x_FC_SCIENCE_LAB",0.473,0.3
"27","IN_CH_STATE_TO_x_FC_NO_SPORTS_QUAD",0.453,0.29
"28","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",0.439,0.28
"29","IN_CH_STATE_SE_x_CH_RURAL",0.4349,0.27
"30","IN_CH_STATE_CE_x_CH_RURAL",0.4341,0.27
"31","IN_CH_STATE_PI_x_CH_URBAN",0.4267,0.27
"32","IN_CH_STATE_AC_x_CH_STATE",0.4244,0.27
"33","IN_CH_STATE_PI_x_FC_INTERNET",0.4,0.25
"34","IN_CH_STATE_ES_x_CH_RURAL",0.3845,0.24
"35","IN_CH_STATE_PA_x_FC_TV_EQUIPMENT",0.3426,0.22
"36","IN_CH_STATE_RN_x_FC_WATER_PUBLIC",0.3413,0.22
"37","IN_CH_STATE_PI_x_FC_COMPUTER_LAB",0.3175,0.2
"38","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",0.2896,0.18
"39","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",0.2844,0.18
"40","IN_CH_RURAL_x_FC_TV_EQUIPMENT",0.2794,0.18
"41","IN_CH_STATE_CE_x_FC_NO_SPORTS_QUAD",0.24,0.15
"42","IN_CH_STATE_MG_x_FC_NO_SPORTS_QUAD",0.2369,0.15
"43","IN_CH_STATE_PE_x_FC_COMPUTER_LAB",0.2061,0.13
"44","IN_CH_STATE_PA_x_CH_URBAN",0.1988,0.13
"45","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",0.1945,0.12
"46","IN_CH_STATE_PB_x_FC_COMPUTER_LAB",0.1858,0.12
"47","IN_CH_STATE_PI_x_FC_ANTENNA_EQUIPMENT",0.16,0.1
"48","IN_CH_STATE_TO_x_CH_MUNICIPAL",0.1591,0.1
"49","IN_CH_STATE_RR_x_CH_MUNICIPAL",0.1529,0.1
"50","IN_CH_STATE_PB_x_FC_SCIENCE_LAB",0.1448,0.09
"51","IN_CH_STATE_RN_x_FC_COMPUTER",0.0628,0.04
"52","IN_CH_FUNDAMENTAL_EDU_T_x_FC_ELECTR",0.0256,0.02
"53","IN_CH_RURAL_x_FC_WATER_PUBLIC",0.0038,0
"54","IN_CH_RURAL_x_FC_COMPUTER",0.0015,0
"55","IN_CH_STATE_MG_x_CH_MUNICIPAL",0.0014,0
"56","IN_CH_STATE_RN_x_FC_LIBRARY",5e-04,0
"57","ST_TOTAL_STAFF",-0.0014,0
"58","FC_ROOMS_USED",-0.0074,0
"59","CH_CLASSES_FUNDAMENTAL_EDU_T",-0.0124,-0.01
"60","IN_CH_STATE_CE_x_FC_INTERNET",-0.0157,-0.01
"61","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",-0.0335,-0.02
"62","IN_CH_URBAN_x_FC_COMPUTER",-0.0495,-0.03
"63","IN_CH_STATE_PR_x_CH_MUNICIPAL",-0.0547,-0.03
"64","IN_CH_STATE_RS_x_FC_TV_EQUIPMENT",-0.0597,-0.04
"65","IN_CH_STATE_MA_x_CH_RURAL",-0.067,-0.04
"66","IN_CH_STATE_PB_x_CH_RURAL",-0.0857,-0.05
"67","IN_CH_STATE_ES_x_FC_WATER_PUBLIC",-0.0907,-0.06
"68","IN_CH_STATE_MG_x_FC_COMPUTER_LAB",-0.093,-0.06
"69","IN_CH_STATE_RS_x_FC_ANTENNA_EQUIPMENT",-0.0962,-0.06
"70","IN_CH_STATE_CE_x_CH_SCHOOL_LARGE_SIZE",-0.1177,-0.07
"71","IN_CH_STATE_SP_x_CH_PRIVATE",-0.1221,-0.08
"72","FC_COMPUTER_LAB",-0.1234,-0.08
"73","IN_CH_STATE_MA_x_FC_SEWAGE_PUBLIC",-0.1483,-0.09
"74","IN_CH_STATE_RJ_x_CH_RURAL",-0.1824,-0.12
"75","IN_CH_MUNICIPAL_x_FC_SEWAGE_PUBLIC",-0.1905,-0.12
"76","IN_CH_STATE_SC_x_FC_TV_EQUIPMENT",-0.1915,-0.12
"77","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",-0.202,-0.13
"78","IN_CH_STATE_PI_x_CH_RURAL",-0.2186,-0.14
"79","IN_CH_STATE_RS_x_FC_LIBRARY",-0.2366,-0.15
"80","IN_CH_STATE_ES_x_FC_TV_EQUIPMENT",-0.2425,-0.15
"81","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",-0.2871,-0.18
"82","FC_WATER",-0.2872,-0.18
"83","IN_CH_STATE_PR_x_FC_TV_EQUIPMENT",-0.3267,-0.21
"84","IN_CH_STATE_SP_x_CH_RURAL",-0.3302,-0.21
"85","IN_CH_STATE_RJ_x_CH_MUNICIPAL",-0.3389,-0.21
"86","IN_CH_STATE_SC_x_FC_COMPUTER",-0.3395,-0.21
"87","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",-0.3784,-0.24
"88","FC_LIBRARY",-0.3805,-0.24
"89","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",-0.4381,-0.28
"90","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",-0.4406,-0.28
"91","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",-0.4608,-0.29
"92","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",-0.4612,-0.29
"93","IN_CH_SCHOOL_LARGE_SIZE_x_FC_TV_EQUIPMENT",-0.6129,-0.39
"94","IN_CH_MUNICIPAL_x_FC_HAS_SPORTS_QUAD",-0.6134,-0.39
"95","IN_CH_STATE_AP_x_CH_FEDERAL",-0.6207,-0.39
"96","IN_CH_STATE_PR_x_FC_COMPUTER_LAB",-0.6453,-0.41
"97","IN_CH_PRIVATE_x_FC_LIBRARY",-0.6627,-0.42
"98","FC_INTERNET",-0.7022,-0.44
"99","IN_CH_URBAN_x_FC_COMPUTER_LAB",-0.7085,-0.45
"100","IN_CH_MUNICIPAL_x_FC_SCIENCE_LAB",-0.7732,-0.49
"101","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",-1.0035,-0.63
"102","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",-1.0162,-0.64
"103","IN_CH_STATE_ES_x_CH_SCHOOL_LARGE_SIZE",-1.0877,-0.69
"104","IN_CH_URBAN_x_FC_INTERNET",-1.1721,-0.74
"105","IN_CH_STATE_TO_x_CH_FEDERAL",-1.256,-0.79
"106","IN_CH_STATE_AP_x_CH_SCHOOL_LARGE_SIZE",-1.2616,-0.8
"107","IN_CH_STATE_RR_x_CH_PRIVATE",-1.4341,-0.9
"108","IN_CH_RURAL_x_FC_SCIENCE_LAB",-1.451,-0.92
"109","STR_TEACHERS_INCOMPLETE_FUNDEDU",-1.6555,-1.04
"110","IN_CH_STATE_x_FC_COMPUTER",-1.8221,-1.15
"111","IN_CH_PRIVATE_x_FC_INTERNET",-2.0989,-1.32
"112","IN_CH_STATE_RO_x_CH_SCHOOL_LARGE_SIZE",-2.2546,-1.42
"113","IN_CH_FEDERAL_x_FC_COMPUTER_LAB",-8.9423,-5.64
"114","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",-10.8425,-6.84
"115","IN_CH_STATE_PI_x_CH_FEDERAL",-14.8473,-9.37
"116","IN_CH_STATE_AL_x_CH_FEDERAL",-15.2724,-9.63
"117","IN_CH_STATE_RN_x_CH_FEDERAL",-16.1337,-10.18
"118","IN_CH_STATE_BA_x_CH_FEDERAL",-16.7863,-10.59
"119","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",-25.511,-16.09
"120","IN_CH_STATE_PB_x_CH_FEDERAL",-43.1581,-27.23
"121","IN_CH_STATE_CE_x_CH_FEDERAL",-48.1456,-30.37
