"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PB_x_CH_FEDERAL",50.5635,-67.35
"2","IN_CH_STATE_CE_x_CH_FEDERAL",25.4394,-33.89
"3","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",20.1429,-26.83
"4","IN_CH_STATE_BA_x_CH_FEDERAL",17.9136,-23.86
"5","IN_CH_STATE_PI_x_CH_FEDERAL",16.5624,-22.06
"6","IN_CH_STATE_AL_x_CH_FEDERAL",11.8984,-15.85
"7","IN_CH_STATE_PR_x_CH_FEDERAL",9.6813,-12.9
"8","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",8.7548,-11.66
"9","IN_CH_STATE_RN_x_CH_FEDERAL",5.4398,-7.25
"10","IN_CH_STATE_MA_x_CH_FEDERAL",3.8512,-5.13
"11","STR_TEACHERS_INCOMPLETE_FUNDEDU",2.0572,-2.74
"12","IN_CH_STATE_AC_x_CH_PRIVATE",2.0512,-2.73
"13","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",1.2661,-1.69
"14","IN_CH_STATE_RR_x_CH_PRIVATE",1.1721,-1.56
"15","IN_CH_STATE_RJ_x_CH_RURAL",1.0804,-1.44
"16","IN_CH_STATE_RO_x_CH_SCHOOL_LARGE_SIZE",1.0748,-1.43
"17","IN_CH_STATE_SP_x_CH_RURAL",0.9843,-1.31
"18","IN_CH_STATE_RN_x_CH_PRIVATE",0.9762,-1.3
"19","IN_CH_STATE_PR_x_FC_COMPUTER_LAB",0.9443,-1.26
"20","IN_CH_PRIVATE_x_FC_INTERNET",0.8308,-1.11
"21","IN_CH_URBAN_x_FC_COMPUTER_LAB",0.8117,-1.08
"22","IN_CH_STATE_AM_x_CH_PRIVATE",0.7689,-1.02
"23","IN_CH_STATE_RO_x_FC_NO_SPORTS_QUAD",0.7262,-0.97
"24","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",0.6954,-0.93
"25","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.6939,-0.92
"26","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",0.6871,-0.92
"27","IN_CH_STATE_RR_x_CH_SCHOOL_LARGE_SIZE",0.6719,-0.9
"28","IN_CH_STATE_SP_x_CH_PRIVATE",0.6664,-0.89
"29","FC_INTERNET",0.6521,-0.87
"30","IN_CH_STATE_AP_x_FC_HAS_SPORTS_QUAD",0.6419,-0.86
"31","IN_CH_STATE_SC_x_CH_PRIVATE",0.6009,-0.8
"32","IN_CH_STATE_ES_x_FC_TV_EQUIPMENT",0.5549,-0.74
"33","IN_CH_PRIVATE_x_FC_LIBRARY",0.5384,-0.72
"34","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",0.5302,-0.71
"35","IN_CH_STATE_x_FC_COMPUTER",0.5297,-0.71
"36","IN_CH_STATE_ES_x_CH_STATE",0.5158,-0.69
"37","IN_CH_URBAN_x_FC_COMPUTER",0.5129,-0.68
"38","IN_CH_STATE_PI_x_CH_RURAL",0.5128,-0.68
"39","IN_CH_STATE_SE_x_FC_SEWAGE_PUBLIC",0.5128,-0.68
"40","IN_CH_STATE_RS_x_CH_MUNICIPAL",0.5093,-0.68
"41","IN_CH_STATE_PB_x_CH_MUNICIPAL",0.4961,-0.66
"42","CH_SCHOOL_LARGE_SIZE",0.478,-0.64
"43","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",0.4701,-0.63
"44","IN_CH_STATE_AP_x_FC_COMPUTER_LAB",0.453,-0.6
"45","IN_CH_STATE_PB_x_CH_RURAL",0.44,-0.59
"46","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",0.4287,-0.57
"47","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",0.4185,-0.56
"48","IN_CH_STATE_PR_x_FC_HAS_SPORTS_QUAD",0.4124,-0.55
"49","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",0.3989,-0.53
"50","IN_CH_STATE_SC_x_FC_TV_EQUIPMENT",0.3903,-0.52
"51","IN_CH_STATE_MA_x_CH_PRIVATE",0.3805,-0.51
"52","IN_CH_STATE_PE_x_CH_RURAL",0.3715,-0.49
"53","IN_CH_URBAN_x_FC_TV_EQUIPMENT",0.37,-0.49
"54","IN_CH_STATE_AL_x_CH_SCHOOL_LARGE_SIZE",0.319,-0.42
"55","IN_CH_STATE_ES_x_CH_SCHOOL_LARGE_SIZE",0.3181,-0.42
"56","IN_CH_STATE_PI_x_FC_SEWAGE_PUBLIC",0.293,-0.39
"57","IN_CH_MUNICIPAL_x_FC_SCIENCE_LAB",0.2857,-0.38
"58","IN_CH_PRIVATE_x_FC_SCIENCE_LAB",0.2857,-0.38
"59","IN_CH_STATE_SC_x_CH_RURAL",0.2796,-0.37
"60","IN_CH_STATE_x_FC_TV_EQUIPMENT",0.2567,-0.34
"61","IN_CH_MUNICIPAL_x_FC_HAS_SPORTS_QUAD",0.1832,-0.24
"62","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",0.1357,-0.18
"63","IN_CH_SCHOOL_LARGE_SIZE_x_FC_WATER",0.1287,-0.17
"64","IN_CH_STATE_RS_x_CH_SCHOOL_LARGE_SIZE",0.1273,-0.17
"65","FC_LIBRARY",0.1249,-0.17
"66","IN_CH_STATE_CE_x_FC_LIBRARY",0.124,-0.17
"67","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",0.1232,-0.16
"68","IN_CH_STATE_RS_x_CH_RURAL",0.1218,-0.16
"69","IN_CH_STATE_SC_x_FC_COMPUTER_LAB",0.1207,-0.16
"70","IN_CH_STATE_RJ_x_CH_MUNICIPAL",0.1204,-0.16
"71","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",0.1164,-0.16
"72","IN_CH_MUNICIPAL_x_FC_SEWAGE_PUBLIC",0.1136,-0.15
"73","IN_CH_STATE_RS_x_FC_ANTENNA_EQUIPMENT",0.109,-0.15
"74","IN_CH_STATE_SC_x_FC_SEWAGE_PUBLIC",0.0928,-0.12
"75","IN_CH_STATE_PR_x_CH_MUNICIPAL",0.0863,-0.11
"76","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",0.0792,-0.11
"77","IN_CH_STATE_AP_x_CH_STATE",0.072,-0.1
"78","STR_TEACHERS_ONLY_FUNDEDU",0.064,-0.09
"79","IN_CH_URBAN_x_FC_INTERNET",0.0456,-0.06
"80","IN_CH_STATE_SC_x_FC_LIBRARY",0.0439,-0.06
"81","IN_CH_URBAN_x_FC_WATER_PUBLIC",0.0414,-0.06
"82","IN_CH_STATE_CE_x_FC_INTERNET",0.0406,-0.05
"83","IN_CH_STATE_PI_x_FC_SCIENCE_LAB",0.0381,-0.05
"84","CH_CLASSES_FUNDAMENTAL_EDU_T",0.0242,-0.03
