"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_FEDERAL_x_FC_COMPUTER_LAB",9.8259,-12.51
"2","IN_CH_STATE_CE_x_CH_FEDERAL",9.5889,-12.2
"3","IN_CH_STATE_AP_x_CH_FEDERAL",5.9606,-7.59
"4","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",3.6289,-4.62
"5","IN_CH_STATE_PB_x_CH_FEDERAL",3.3522,-4.27
"6","IN_CH_STATE_ES_x_CH_FEDERAL",3.0714,-3.91
"7","IN_CH_STATE_AC_x_FC_SCIENCE_LAB",2.4391,-3.1
"8","IN_CH_STATE_RJ_x_CH_FEDERAL",2.226,-2.83
"9","IN_CH_FEDERAL_x_FC_WATER_PUBLIC",2.079,-2.65
"10","IN_CH_STATE_SE_x_CH_FEDERAL",1.8333,-2.33
"11","IN_CH_STATE_AP_x_CH_PRIVATE",1.6706,-2.13
"12","IN_CH_STATE_AL_x_CH_FEDERAL",1.4884,-1.89
"13","IN_CH_STATE_RN_x_CH_FEDERAL",0.8272,-1.05
"14","IN_CH_STATE_RJ_x_FC_HAS_SPORTS_QUAD",0.7343,-0.93
"15","IN_CH_STATE_AP_x_CH_SCHOOL_LARGE_SIZE",0.7196,-0.92
"16","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.7105,-0.9
"17","IN_CH_STATE_TO_x_FC_HAS_SPORTS_QUAD",0.6594,-0.84
"18","IN_CH_STATE_RO_x_CH_SCHOOL_LARGE_SIZE",0.6589,-0.84
"19","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",0.6343,-0.81
"20","IN_CH_STATE_SE_x_FC_SCIENCE_LAB",0.6038,-0.77
"21","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",0.504,-0.64
"22","IN_CH_STATE_RR_x_CH_PRIVATE",0.4841,-0.62
"23","IN_CH_STATE_MG_x_FC_COMPUTER_LAB",0.4686,-0.6
"24","IN_CH_STATE_RS_x_CH_STATE",0.4588,-0.58
"25","IN_CH_URBAN_x_FC_INTERNET",0.4492,-0.57
"26","FC_WATER",0.4256,-0.54
"27","IN_CH_STATE_RO_x_FC_LIBRARY",0.3877,-0.49
"28","IN_CH_STATE_PA_x_CH_PRIVATE",0.3563,-0.45
"29","IN_CH_STATE_RJ_x_CH_SCHOOL_LARGE_SIZE",0.3557,-0.45
"30","IN_CH_STATE_PE_x_FC_SCIENCE_LAB",0.3502,-0.45
"31","IN_CH_STATE_RN_x_FC_SCIENCE_LAB",0.3469,-0.44
"32","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",0.2895,-0.37
"33","IN_CH_STATE_x_FC_TV_EQUIPMENT",0.2885,-0.37
"34","IN_CH_STATE_RO_x_FC_SCIENCE_LAB",0.2744,-0.35
"35","IN_CH_STATE_CE_x_CH_SCHOOL_LARGE_SIZE",0.2706,-0.34
"36","IN_CH_MUNICIPAL_x_FC_SCIENCE_LAB",0.2472,-0.31
"37","IN_CH_URBAN_x_FC_COMPUTER",0.2436,-0.31
"38","IN_CH_STATE_AL_x_CH_PRIVATE",0.2354,-0.3
"39","IN_CH_STATE_SC_x_FC_COMPUTER",0.2252,-0.29
"40","IN_CH_STATE_ES_x_FC_WATER_PUBLIC",0.2139,-0.27
"41","IN_CH_STATE_RN_x_FC_HAS_SPORTS_QUAD",0.1958,-0.25
"42","IN_CH_STATE_BA_x_CH_RURAL",0.1945,-0.25
"43","IN_CH_STATE_ES_x_FC_SEWAGE_PUBLIC",0.1775,-0.23
"44","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",0.1722,-0.22
"45","IN_CH_RURAL_x_FC_LIBRARY",0.1667,-0.21
"46","IN_CH_STATE_SP_x_CH_MUNICIPAL",0.1577,-0.2
"47","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",0.1518,-0.19
"48","IN_CH_STATE_CE_x_FC_INTERNET",0.1507,-0.19
"49","IN_CH_STATE_PA_x_FC_SEWAGE_PUBLIC",0.1498,-0.19
"50","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",0.1495,-0.19
"51","IN_CH_RURAL_x_FC_COMPUTER_LAB",0.1458,-0.19
"52","IN_CH_STATE_MA_x_CH_RURAL",0.1445,-0.18
"53","IN_CH_STATE_MG_x_CH_SCHOOL_LARGE_SIZE",0.1432,-0.18
"54","IN_CH_STATE_RS_x_FC_LIBRARY",0.1358,-0.17
"55","IN_CH_PRIVATE_x_FC_INTERNET",0.1302,-0.17
"56","IN_CH_STATE_PR_x_CH_FUNDAMENTAL_EDU_T",0.1218,-0.16
"57","IN_CH_STATE_MG_x_FC_LIBRARY",0.1212,-0.15
"58","IN_CH_STATE_SP_x_FC_WATER_PUBLIC",0.1192,-0.15
"59","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",0.1192,-0.15
"60","IN_CH_SCHOOL_LARGE_SIZE_x_FC_TV_EQUIPMENT",0.1134,-0.14
"61","IN_CH_STATE_SE_x_FC_SEWAGE_PUBLIC",0.1114,-0.14
"62","IN_CH_STATE_PE_x_CH_PRIVATE",0.1094,-0.14
"63","IN_CH_PRIVATE_x_FC_WATER_PUBLIC",0.1064,-0.14
"64","IN_CH_STATE_x_FC_COMPUTER",0.1026,-0.13
"65","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE",0.1016,-0.13
"66","IN_CH_STATE_AL_x_CH_RURAL",0.0986,-0.13
"67","IN_CH_PRIVATE_x_FC_ANTENNA_EQUIPMENT",0.0981,-0.12
"68","STR_TEACHERS_INCOMPLETE_FUNDEDU",0.0966,-0.12
"69","IN_CH_STATE_PR_x_CH_RURAL",0.0929,-0.12
"70","IN_CH_STATE_PI_x_CH_RURAL",0.0847,-0.11
"71","IN_CH_STATE_MA_x_CH_MUNICIPAL",0.0801,-0.1
"72","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",0.0796,-0.1
"73","IN_CH_STATE_PE_x_FC_HAS_SPORTS_QUAD",0.0718,-0.09
"74","IN_CH_STATE_AM_x_CH_RURAL",0.0646,-0.08
"75","IN_CH_URBAN_x_FC_WATER_PUBLIC",0.0552,-0.07
"76","IN_CH_STATE_RJ_x_FC_SCIENCE_LAB",0.0532,-0.07
"77","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",0.0454,-0.06
"78","IN_CH_STATE_PA_x_FC_SCIENCE_LAB",0.0378,-0.05
"79","IN_CH_FUNDAMENTAL_EDU_I_x_FC_INTERNET",0.0242,-0.03
"80","STR_TEACHERS_ONLY_FUNDEDU",0.0203,-0.03
"81","FC_INTERNET",0.0196,-0.02
"82","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",0.0128,-0.02
"83","IN_CH_STATE_PR_x_FC_TV_EQUIPMENT",0.0086,-0.01
"84","IN_CH_STATE_MA_x_CH_SCHOOL_LARGE_SIZE",0.0048,-0.01
"85","IN_CH_STATE_MA_x_FC_SEWAGE",0.002,0
"86","ST_TOTAL_STAFF",2e-04,0
"87","ST_FUND_EDU_TEACHERS",-0.0018,0
"88","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",-0.0049,0.01
"89","IN_CH_FUNDAMENTAL_EDU_I_x_FC_ELECTR_PUBLIC",-0.0053,0.01
"90","FC_ROOMS_AVAILABLE",-0.0071,0.01
"91","IN_CH_STATE_PB_x_FC_SEWAGE_PUBLIC",-0.0082,0.01
"92","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",-0.0106,0.01
"93","CH_FUNDAMENTAL_EDU_I",-0.0156,0.02
"94","IN_CH_STATE_PA_x_FC_ANTENNA_EQUIPMENT",-0.0185,0.02
"95","IN_CH_STATE_PE_x_CH_RURAL",-0.0212,0.03
"96","IN_CH_STATE_RN_x_CH_RURAL",-0.0215,0.03
"97","IN_CH_STATE_SC_x_CH_FUNDAMENTAL_EDU_T",-0.022,0.03
"98","IN_CH_STATE_PA_x_FC_INTERNET",-0.0228,0.03
"99","IN_CH_RURAL_x_FC_TV_EQUIPMENT",-0.0248,0.03
"100","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",-0.0268,0.03
"101","IN_CH_STATE_RN_x_CH_FUNDAMENTAL_EDU_T",-0.032,0.04
"102","IN_CH_STATE_SE_x_FC_COMPUTER_LAB",-0.0337,0.04
"103","IN_CH_STATE_RO_x_FC_NO_SPORTS_QUAD",-0.0348,0.04
"104","IN_CH_STATE_SP_x_CH_SCHOOL_LARGE_SIZE",-0.0356,0.05
"105","IN_CH_STATE_SP_x_CH_RURAL",-0.04,0.05
"106","IN_CH_STATE_BA_x_CH_URBAN",-0.0439,0.06
"107","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SCIENCE_LAB",-0.0445,0.06
"108","IN_CH_STATE_SP_x_CH_PRIVATE",-0.0513,0.07
"109","IN_CH_RURAL_x_FC_WATER_PUBLIC",-0.0531,0.07
"110","IN_CH_STATE_CE_x_CH_RURAL",-0.0583,0.07
"111","IN_CH_STATE_RN_x_FC_COMPUTER",-0.0646,0.08
"112","IN_CH_SCHOOL_LARGE_SIZE_x_FC_COMPUTER_LAB",-0.0795,0.1
"113","IN_CH_STATE_SE_x_CH_STATE",-0.081,0.1
"114","IN_CH_STATE_PI_x_FC_SEWAGE_PUBLIC",-0.0857,0.11
"115","IN_CH_STATE_TO_x_FC_TV_EQUIPMENT",-0.0862,0.11
"116","IN_CH_RURAL_x_FC_COMPUTER",-0.0867,0.11
"117","IN_CH_STATE_MG_x_CH_RURAL",-0.0881,0.11
