"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PB_x_CH_FEDERAL",41.5274,-25.53
"2","IN_CH_STATE_CE_x_CH_FEDERAL",33.9616,-20.88
"3","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",30.1161,-18.51
"4","IN_CH_STATE_BA_x_CH_FEDERAL",13.8908,-8.54
"5","IN_CH_STATE_AL_x_CH_FEDERAL",13.2349,-8.14
"6","IN_CH_FEDERAL_x_FC_SEWAGE_PUBLIC",11.9032,-7.32
"7","IN_CH_STATE_PI_x_CH_FEDERAL",9.4668,-5.82
"8","IN_CH_STATE_RN_x_CH_FEDERAL",6.2813,-3.86
"9","IN_CH_STATE_AP_x_CH_FEDERAL",3.4264,-2.11
"10","IN_CH_STATE_TO_x_CH_FEDERAL",2.9389,-1.81
"11","IN_CH_STATE_RR_x_CH_PRIVATE",2.353,-1.45
"12","IN_CH_STATE_AC_x_CH_PRIVATE",2.2244,-1.37
"13","IN_CH_STATE_RO_x_CH_SCHOOL_LARGE_SIZE",2.2105,-1.36
"14","STR_TEACHERS_INCOMPLETE_FUNDEDU",2.1062,-1.29
"15","IN_CH_PRIVATE_x_FC_INTERNET",1.7679,-1.09
"16","IN_CH_RURAL_x_FC_SCIENCE_LAB",1.4189,-0.87
"17","IN_CH_FEDERAL_x_FC_COMPUTER_LAB",1.2943,-0.8
"18","IN_CH_SCHOOL_LARGE_SIZE_x_FC_NO_SPORTS_QUAD",1.2755,-0.78
"19","IN_CH_STATE_AP_x_CH_SCHOOL_LARGE_SIZE",1.1633,-0.72
"20","IN_CH_STATE_x_FC_COMPUTER",0.8667,-0.53
"21","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",0.8446,-0.52
"22","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",0.8264,-0.51
"23","IN_CH_URBAN_x_FC_INTERNET",0.7998,-0.49
"24","IN_CH_MUNICIPAL_x_FC_SCIENCE_LAB",0.7168,-0.44
"25","IN_CH_STATE_x_FC_TV_EQUIPMENT",0.6289,-0.39
"26","IN_CH_STATE_PB_x_CH_RURAL",0.6192,-0.38
"27","IN_CH_URBAN_x_FC_COMPUTER",0.6042,-0.37
"28","FC_INTERNET",0.5686,-0.35
"29","IN_CH_STATE_PR_x_FC_COMPUTER_LAB",0.5448,-0.33
"30","IN_CH_STATE_PI_x_CH_RURAL",0.5441,-0.33
"31","IN_CH_STATE_SP_x_CH_RURAL",0.5422,-0.33
"32","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",0.523,-0.32
"33","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",0.4956,-0.3
"34","IN_CH_STATE_RJ_x_CH_RURAL",0.4928,-0.3
"35","IN_CH_STATE_ES_x_CH_SCHOOL_LARGE_SIZE",0.4925,-0.3
"36","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",0.4616,-0.28
"37","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",0.4518,-0.28
"38","IN_CH_URBAN_x_FC_COMPUTER_LAB",0.4448,-0.27
"39","IN_CH_MUNICIPAL_x_FC_HAS_SPORTS_QUAD",0.44,-0.27
"40","IN_CH_STATE_AP_x_FC_INTERNET",0.4331,-0.27
"41","IN_CH_STATE_SC_x_FC_TV_EQUIPMENT",0.4196,-0.26
"42","IN_CH_STATE_ES_x_FC_TV_EQUIPMENT",0.4131,-0.25
"43","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",0.3992,-0.25
"44","IN_CH_STATE_PR_x_CH_MUNICIPAL",0.3724,-0.23
"45","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",0.3405,-0.21
"46","IN_CH_PRIVATE_x_FC_LIBRARY",0.3036,-0.19
"47","IN_CH_STATE_MG_x_FC_COMPUTER_LAB",0.275,-0.17
"48","IN_CH_SCHOOL_LARGE_SIZE_x_FC_TV_EQUIPMENT",0.2602,-0.16
"49","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",0.2582,-0.16
"50","IN_CH_STATE_RJ_x_CH_MUNICIPAL",0.2474,-0.15
"51","IN_CH_STATE_RS_x_CH_RURAL",0.2334,-0.14
"52","IN_CH_STATE_SC_x_CH_RURAL",0.2316,-0.14
"53","FC_COMPUTER_LAB",0.2263,-0.14
"54","IN_CH_STATE_PE_x_CH_RURAL",0.2056,-0.13
"55","IN_CH_STATE_RS_x_FC_TV_EQUIPMENT",0.2004,-0.12
"56","FC_LIBRARY",0.1875,-0.12
"57","IN_CH_STATE_CE_x_CH_SCHOOL_LARGE_SIZE",0.1739,-0.11
"58","IN_CH_MUNICIPAL_x_FC_SEWAGE_PUBLIC",0.155,-0.1
"59","IN_CH_STATE_PR_x_CH_RURAL",0.1537,-0.09
"60","IN_CH_URBAN_x_FC_WATER_PUBLIC",0.1355,-0.08
"61","IN_CH_STATE_RS_x_FC_LIBRARY",0.1354,-0.08
"62","IN_CH_STATE_RO_x_FC_ELECTR_PUBLIC",0.1062,-0.07
"63","STR_TEACHERS_ONLY_FUNDEDU",0.0997,-0.06
"64","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",0.0983,-0.06
"65","IN_CH_STATE_PB_x_CH_MUNICIPAL",0.0967,-0.06
"66","IN_CH_STATE_CE_x_FC_INTERNET",0.0936,-0.06
"67","IN_CH_STATE_PR_x_FC_TV_EQUIPMENT",0.0819,-0.05
"68","IN_CH_SCHOOL_LARGE_SIZE_x_FC_ELECTR_PUBLIC",0.0481,-0.03
"69","IN_CH_PRIVATE_x_FC_HAS_SPORTS_QUAD",0.047,-0.03
"70","IN_CH_URBAN_x_FC_TV_EQUIPMENT",0.0313,-0.02
"71","IN_CH_STATE_AL_x_CH_SCHOOL_LARGE_SIZE",0.022,-0.01
"72","IN_CH_STATE_SP_x_CH_MUNICIPAL",0.0182,-0.01
"73","CH_CLASSES_FUNDAMENTAL_EDU_T",0.018,-0.01
"74","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",0.01,-0.01
"75","IN_CH_STATE_SC_x_FC_SEWAGE_PUBLIC",0.0083,-0.01
"76","IN_CH_STATE_SC_x_FC_COMPUTER",0.0047,0
"77","FC_ROOMS_USED",0.0017,0
"78","ST_TOTAL_STAFF",0.0011,0
"79","CLASS_STUDENT_TEACHER_RATIO",-0.0014,0
"80","IN_CH_STATE_PB_x_CH_STATE",-0.0038,0
"81","IN_CH_STATE_PB_x_FC_SEWAGE_PUBLIC",-0.004,0
"82","IN_CH_STATE_RN_x_FC_SEWAGE_PUBLIC",-0.0104,0.01
"83","IN_CH_SCHOOL_LARGE_SIZE_x_FC_ANTENNA_EQUIPMENT",-0.0177,0.01
"84","IN_CH_STATE_TO_x_CH_MUNICIPAL",-0.0192,0.01
"85","IN_CH_RURAL_x_FC_COMPUTER",-0.02,0.01
"86","IN_CH_FUNDAMENTAL_EDU_I_x_FC_SEWAGE",-0.0212,0.01
"87","IN_CH_STATE_SC_x_FC_SCIENCE_LAB",-0.028,0.02
"88","IN_CH_STATE_PB_x_CH_SCHOOL_LARGE_SIZE",-0.0299,0.02
"89","IN_CH_STATE_AL_x_CH_MUNICIPAL",-0.0302,0.02
"90","STR_TEACHERS_SECONDARY_FUNDEDU",-0.0549,0.03
"91","IN_CH_STATE_RN_x_CH_RURAL",-0.0575,0.04
"92","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",-0.0631,0.04
"93","IN_CH_STATE_AL_x_FC_COMPUTER",-0.064,0.04
"94","IN_CH_STATE_AM_x_FC_COMPUTER",-0.0712,0.04
"95","IN_CH_STATE_PI_x_FC_COMPUTER_LAB",-0.0741,0.05
"96","IN_CH_STATE_RO_x_FC_SEWAGE_PUBLIC",-0.0761,0.05
"97","IN_CH_STATE_BA_x_FC_WATER_PUBLIC",-0.085,0.05
"98","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",-0.0901,0.06
"99","IN_CH_STATE_CE_x_CH_RURAL",-0.0974,0.06
"100","IN_CH_STATE_BA_x_FC_TV_EQUIPMENT",-0.1074,0.07
"101","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE",-0.1335,0.08
"102","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",-0.1337,0.08
"103","IN_CH_STATE_MG_x_CH_MUNICIPAL",-0.1411,0.09
"104","IN_CH_STATE_PI_x_FC_LIBRARY",-0.1498,0.09
"105","IN_CH_STATE_PE_x_FC_COMPUTER_LAB",-0.181,0.11
"106","IN_CH_STATE_PB_x_FC_COMPUTER_LAB",-0.1852,0.11
"107","IN_CH_STATE_RN_x_FC_WATER_PUBLIC",-0.1918,0.12
"108","IN_CH_STATE_SE_x_CH_RURAL",-0.2047,0.13
"109","IN_CH_STATE_PB_x_FC_INTERNET",-0.2245,0.14
"110","IN_CH_STATE_BA_x_FC_HAS_SPORTS_QUAD",-0.2249,0.14
"111","IN_CH_STATE_MG_x_FC_NO_SPORTS_QUAD",-0.2392,0.15
"112","IN_CH_STATE_BA_x_CH_STATE",-0.2475,0.15
"113","IN_CH_RURAL_x_FC_TV_EQUIPMENT",-0.265,0.16
"114","IN_CH_STATE_CE_x_FC_NO_SPORTS_QUAD",-0.2726,0.17
"115","IN_CH_STATE_MG_x_CH_RURAL",-0.2867,0.18
"116","IN_CH_STATE_PB_x_FC_COMPUTER",-0.3179,0.2
"117","IN_CH_STATE_PA_x_FC_TV_EQUIPMENT",-0.323,0.2
"118","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",-0.363,0.22
"119","IN_CH_STATE_TO_x_FC_NO_SPORTS_QUAD",-0.3653,0.22
"120","IN_CH_STATE_RR_x_CH_MUNICIPAL",-0.3917,0.24
"121","IN_CH_STATE_PB_x_CH_PRIVATE",-0.4144,0.25
"122","IN_CH_STATE_PA_x_FC_ANTENNA_EQUIPMENT",-0.4187,0.26
"123","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",-0.4215,0.26
"124","IN_CH_STATE_PI_x_FC_ANTENNA_EQUIPMENT",-0.4659,0.29
"125","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SCIENCE_LAB",-0.4671,0.29
"126","IN_CH_STATE_PB_x_FC_LIBRARY",-0.5091,0.31
"127","IN_CH_STATE_AC_x_FC_ANTENNA_EQUIPMENT",-0.6358,0.39
"128","IN_CH_STATE_PI_x_FC_INTERNET",-0.637,0.39
"129","IN_CH_STATE_SE_x_FC_COMPUTER_LAB",-0.6418,0.39
