"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",1.7622,-7.73
"2","STR_TEACHERS_INCOMPLETE_FUNDEDU",1.7069,-7.49
"3","IN_CH_STATE_RN_x_CH_SCHOOL_LARGE_SIZE",0.1063,-0.47
"4","IN_CH_STATE_CE_x_FC_SCIENCE_LAB",0.0277,-0.12
"5","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",0.0232,-0.1
"6","IN_CH_STATE_CE_x_FC_SEWAGE_PUBLIC",0.0047,-0.02
"7","IN_CH_STATE_CE_x_FC_WATER_PUBLIC",0.0034,-0.01
"8","FC_NUMBER_COMPUTERS",-2e-04,0
"9","IN_CH_STATE_PR_x_FC_COMPUTER_LAB",-0.1343,0.59
"10","IN_CH_STATE_SC_x_CH_PRIVATE",-0.1695,0.74
"11","FC_INTERNET",-0.2798,1.23
"12","IN_CH_STATE_SC_x_FC_SCIENCE_LAB",-0.5014,2.2
"13","FC_LIBRARY",-2.9559,12.97
"14","FC_COMPUTER_LAB",-3.6614,16.07
