"","Variable","Coefficient","Coefficient/ATE"
"1","FC_COMPUTER_LAB",8.7804,1.94
"2","FC_LIBRARY",7.0465,1.55
"3","IN_CH_STATE_SC_x_FC_SCIENCE_LAB",1.0246,0.23
"4","FC_INTERNET",0.6571,0.14
"5","IN_CH_STATE_PR_x_FC_COMPUTER_LAB",0.2068,0.05
"6","FC_NUMBER_COMPUTERS",3e-04,0
"7","IN_CH_STATE_CE_x_FC_HAS_SPORTS_QUAD",-0.0038,0
"8","IN_CH_STATE_CE_x_CH_FUNDAMENTAL_EDU_I",-0.0173,0
"9","IN_CH_STATE_RN_x_FC_HAS_SPORTS_QUAD",-0.0257,-0.01
"10","IN_CH_STATE_CE_x_FC_COMPUTER_LAB",-0.0376,-0.01
"11","IN_CH_STATE_CE_x_FC_WATER_PUBLIC",-0.0472,-0.01
"12","STR_TEACHERS_INCOMPLETE_FUNDEDU",-2.8485,-0.63
"13","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",-4.32,-0.95
