"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_MUNICIPAL_x_FC_WATER",30.8244,3.85
"2","IN_CH_STATE_x_FC_ANTENNA_EQUIPMENT",8.6796,1.08
"3","IN_CH_STATE_AM_x_FC_HAS_SPORTS_QUAD",8.5728,1.07
"4","IN_CH_STATE_x_FC_SEWAGE",4.3983,0.55
"5","IN_CH_STATE_x_FC_INTERNET",4.2092,0.53
"6","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",3.531,0.44
"7","IN_CH_STATE_x_FC_COMPUTER",3.4529,0.43
"8","IN_CH_STATE_x_FC_COMPUTER_LAB",3.2605,0.41
"9","IN_CH_STATE_RS_x_CH_RURAL",3.1187,0.39
"10","IN_CH_STATE_x_FC_WATER_PUBLIC",2.5437,0.32
"11","IN_CH_STATE_SC_x_CH_RURAL",1.9696,0.25
"12","IN_CH_STATE_AP_x_FC_WATER_PUBLIC",1.8927,0.24
"13","IN_CH_STATE_PI_x_CH_RURAL",1.5347,0.19
"14","IN_CH_STATE_MA_x_CH_RURAL",1.3336,0.17
"15","IN_CH_STATE_ES_x_CH_RURAL",1.2264,0.15
"16","IN_CH_RURAL_x_FC_SEWAGE",1.2241,0.15
"17","IN_CH_STATE_AM_x_CH_FUNDAMENTAL_EDU_T",1.1367,0.14
"18","IN_CH_STATE_x_FC_LIBRARY",0.4877,0.06
"19","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",0.3185,0.04
"20","IN_CH_RURAL_x_FC_ELECTR",0.2053,0.03
"21","IN_CH_STATE_MA_x_CH_MUNICIPAL",0.195,0.02
"22","IN_CH_STATE_AM_x_FC_ELECTR",0.0202,0
"23","IN_CH_STATE_TO_x_FC_NO_SPORTS_QUAD",0.0192,0
"24","IN_CH_RURAL_x_FC_WATER",0.0065,0
"25","CH_MATRI_FUNDAMENTAL_EDU",-4e-04,0
"26","ST_TOTAL_STAFF",-0.0043,0
"27","CH_MATRI_FUNDAMENTAL_EDU_T",-0.005,0
"28","IN_CH_MUNICIPAL_x_FC_LIBRARY",-0.0237,0
"29","IN_CH_STATE_RO_x_FC_COMPUTER_LAB",-0.0246,0
"30","FC_ROOMS_USED",-0.0598,-0.01
"31","ST_FUND_EDU_TEACHERS",-0.0668,-0.01
"32","FC_ROOMS_AVAILABLE",-0.1219,-0.02
"33","IN_CH_FUNDAMENTAL_EDU_T_x_FC_HAS_SPORTS_QUAD",-0.1467,-0.02
"34","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",-0.1705,-0.02
"35","IN_CH_STATE_BA_x_FC_LIBRARY",-0.2468,-0.03
"36","IN_CH_STATE_AL_x_FC_HAS_SPORTS_QUAD",-0.607,-0.08
