"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_MUNICIPAL_x_FC_WATER",29.4345,4.35
"2","IN_CH_STATE_x_FC_SEWAGE",8.6752,1.28
"3","IN_CH_STATE_AM_x_FC_HAS_SPORTS_QUAD",7.8491,1.16
"4","IN_CH_STATE_x_FC_ANTENNA_EQUIPMENT",7.549,1.12
"5","IN_CH_STATE_x_FC_COMPUTER_LAB",3.4637,0.51
"6","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",3.1561,0.47
"7","IN_CH_STATE_x_FC_COMPUTER",2.2058,0.33
"8","IN_CH_STATE_x_FC_INTERNET",1.8785,0.28
"9","IN_CH_STATE_x_FC_WATER_PUBLIC",1.627,0.24
"10","IN_CH_STATE_RS_x_CH_RURAL",1.5109,0.22
"11","IN_CH_STATE_SC_x_CH_RURAL",0.7757,0.11
"12","IN_CH_STATE_PI_x_CH_RURAL",0.7436,0.11
"13","IN_CH_STATE_MA_x_CH_RURAL",0.6592,0.1
"14","IN_CH_STATE_ES_x_CH_RURAL",0.4646,0.07
"15","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",0.3237,0.05
"16","IN_CH_STATE_AM_x_FC_ELECTR",0.231,0.03
"17","IN_CH_STATE_AM_x_CH_FUNDAMENTAL_EDU_T",0.2215,0.03
"18","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",0.1986,0.03
"19","IN_CH_RURAL_x_FC_ELECTR",0.1743,0.03
"20","IN_CH_STATE_MA_x_CH_MUNICIPAL",0.1214,0.02
"21","IN_CH_STATE_x_FC_WATER",0.1189,0.02
"22","IN_CH_STATE_AP_x_FC_WATER_PUBLIC",0.1057,0.02
"23","CH_MATRI_FUNDAMENTAL_EDU",-0.0015,0
"24","CH_MATRI_FUNDAMENTAL_EDU_T",-0.0031,0
"25","ST_TOTAL_STAFF",-0.0051,0
"26","ST_FUND_EDU_TEACHERS",-0.0413,-0.01
"27","FC_ROOMS_USED",-0.0696,-0.01
"28","FC_ROOMS_AVAILABLE",-0.0857,-0.01
"29","IN_CH_STATE_PA_x_CH_FEDERAL",-0.0879,-0.01
"30","IN_CH_FUNDAMENTAL_EDU_T_x_FC_WATER_PUBLIC",-0.1725,-0.03
"31","IN_CH_STATE_BA_x_FC_LIBRARY",-0.1797,-0.03
"32","IN_CH_RURAL_x_FC_LIBRARY",-0.2131,-0.03
"33","IN_CH_MUNICIPAL_x_FC_LIBRARY",-0.2683,-0.04
"34","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",-0.3096,-0.05
"35","IN_CH_STATE_PE_x_FC_WATER_PUBLIC",-0.3604,-0.05
"36","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",-0.4023,-0.06
"37","IN_CH_STATE_RN_x_CH_RURAL",-0.5283,-0.08
"38","IN_CH_MUNICIPAL_x_FC_WATER_PUBLIC",-0.6858,-0.1
"39","IN_CH_STATE_SC_x_FC_SEWAGE_PUBLIC",-0.7919,-0.12
"40","IN_CH_RURAL_x_FC_SCIENCE_LAB",-0.8411,-0.12
"41","IN_CH_STATE_RN_x_FC_TV_EQUIPMENT",-0.9467,-0.14
"42","IN_CH_STATE_RN_x_FC_COMPUTER_LAB",-1.003,-0.15
"43","IN_CH_RURAL_x_FC_INTERNET",-1.3002,-0.19
"44","IN_CH_FUNDAMENTAL_EDU_T_x_FC_TV_EQUIPMENT",-1.4144,-0.21
"45","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",-1.4393,-0.21
"46","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",-1.467,-0.22
"47","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",-1.5137,-0.22
"48","IN_CH_STATE_BA_x_CH_URBAN",-1.6357,-0.24
"49","IN_CH_STATE_SE_x_CH_RURAL",-1.7166,-0.25
"50","IN_CH_STATE_MG_x_FC_SCIENCE_LAB",-1.7456,-0.26
"51","IN_CH_STATE_AL_x_FC_ANTENNA_EQUIPMENT",-1.785,-0.26
"52","IN_CH_STATE_PB_x_FC_WATER_PUBLIC",-2.0901,-0.31
"53","IN_CH_STATE_PE_x_FC_COMPUTER_LAB",-2.1221,-0.31
"54","IN_CH_STATE_RN_x_FC_SEWAGE_PUBLIC",-2.145,-0.32
"55","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",-2.4269,-0.36
"56","IN_CH_STATE_PE_x_FC_COMPUTER",-2.777,-0.41
"57","IN_CH_STATE_SE_x_CH_MUNICIPAL",-2.9007,-0.43
"58","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",-3.2733,-0.48
"59","IN_CH_STATE_PB_x_CH_SCHOOL_LARGE_SIZE",-4.711,-0.7
"60","IN_CH_STATE_CE_x_FC_SEWAGE_PUBLIC",-4.8586,-0.72
"61","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",-5.1615,-0.76
"62","IN_CH_STATE_BA_x_CH_STATE",-6.6678,-0.99
"63","IN_CH_STATE_PI_x_CH_FEDERAL",-8.0273,-1.19
"64","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",-10.4548,-1.55
"65","IN_CH_STATE_RJ_x_CH_STATE",-12.792,-1.89
"66","CH_FEDERAL",-15.3943,-2.28
"67","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",-35.4303,-5.24
"68","IN_CH_STATE_CE_x_CH_FEDERAL",-42.3639,-6.26
"69","IN_CH_STATE_SE_x_CH_FEDERAL",-107.7115,-15.92
