"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_MUNICIPAL_x_FC_WATER",31.0714,4.18
"2","IN_CH_STATE_AM_x_FC_HAS_SPORTS_QUAD",7.9536,1.07
"3","IN_CH_STATE_x_FC_ANTENNA_EQUIPMENT",7.3178,0.98
"4","IN_CH_STATE_x_FC_SEWAGE",7.2848,0.98
"5","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",3.3723,0.45
"6","IN_CH_STATE_x_FC_COMPUTER_LAB",3.1502,0.42
"7","IN_CH_STATE_x_FC_COMPUTER",2.7721,0.37
"8","IN_CH_STATE_x_FC_WATER_PUBLIC",2.7707,0.37
"9","IN_CH_STATE_x_FC_INTERNET",2.5616,0.34
"10","IN_CH_STATE_RS_x_CH_RURAL",2.1488,0.29
"11","IN_CH_STATE_x_FC_WATER",1.6427,0.22
"12","IN_CH_STATE_SC_x_CH_RURAL",1.2811,0.17
"13","IN_CH_STATE_PI_x_CH_RURAL",1.0345,0.14
"14","IN_CH_STATE_MA_x_CH_RURAL",1.0298,0.14
"15","IN_CH_STATE_ES_x_CH_RURAL",0.7919,0.11
"16","IN_CH_STATE_AP_x_FC_WATER_PUBLIC",0.7146,0.1
"17","IN_CH_STATE_AM_x_CH_FUNDAMENTAL_EDU_T",0.566,0.08
"18","CH_STATE",0.5259,0.07
"19","IN_CH_STATE_x_FC_LIBRARY",0.5024,0.07
"20","IN_CH_RURAL_x_FC_SEWAGE",0.3717,0.05
"21","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",0.2414,0.03
"22","IN_CH_RURAL_x_FC_ELECTR",0.1903,0.03
"23","IN_CH_STATE_AM_x_FC_ELECTR",0.1481,0.02
"24","CH_MUNICIPAL",0.1371,0.02
"25","IN_CH_STATE_MA_x_CH_MUNICIPAL",0.0715,0.01
"26","CH_MATRI_FUNDAMENTAL_EDU",-0.0011,0
"27","CH_MATRI_FUNDAMENTAL_EDU_T",-0.0029,0
"28","ST_TOTAL_STAFF",-0.0053,0
"29","IN_CH_MUNICIPAL_x_FC_LIBRARY",-0.0202,0
"30","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",-0.0215,0
"31","ST_FUND_EDU_TEACHERS",-0.0505,-0.01
"32","FC_ROOMS_USED",-0.0546,-0.01
"33","FC_ROOMS_AVAILABLE",-0.1042,-0.01
"34","IN_CH_STATE_RN_x_CH_RURAL",-0.4097,-0.06
"35","IN_CH_STATE_BA_x_FC_LIBRARY",-0.4336,-0.06
"36","IN_CH_STATE_PE_x_FC_WATER_PUBLIC",-0.5374,-0.07
"37","IN_CH_RURAL_x_FC_LIBRARY",-0.69,-0.09
"38","IN_CH_STATE_RN_x_FC_TV_EQUIPMENT",-0.8422,-0.11
"39","FC_WATER_PUBLIC",-0.9365,-0.13
"40","IN_CH_STATE_BA_x_CH_URBAN",-1.1387,-0.15
"41","IN_CH_STATE_SC_x_FC_SEWAGE_PUBLIC",-1.207,-0.16
"42","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",-1.2523,-0.17
"43","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",-1.3181,-0.18
"44","IN_CH_STATE_RN_x_FC_COMPUTER_LAB",-1.3217,-0.18
"45","IN_CH_RURAL_x_FC_SCIENCE_LAB",-1.3697,-0.18
"46","IN_CH_FUNDAMENTAL_EDU_T_x_FC_TV_EQUIPMENT",-1.5162,-0.2
"47","IN_CH_RURAL_x_FC_INTERNET",-1.535,-0.21
"48","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",-1.5401,-0.21
"49","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",-1.7534,-0.24
"50","IN_CH_STATE_RN_x_FC_SEWAGE_PUBLIC",-1.881,-0.25
"51","IN_CH_STATE_AL_x_FC_ANTENNA_EQUIPMENT",-2.0153,-0.27
"52","IN_CH_STATE_MG_x_FC_SCIENCE_LAB",-2.1105,-0.28
"53","IN_CH_STATE_SE_x_CH_MUNICIPAL",-2.202,-0.3
"54","IN_CH_STATE_PE_x_FC_COMPUTER_LAB",-2.289,-0.31
"55","IN_CH_STATE_PB_x_FC_WATER_PUBLIC",-2.3575,-0.32
"56","IN_CH_STATE_SE_x_CH_RURAL",-2.4137,-0.32
"57","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",-2.578,-0.35
"58","IN_CH_STATE_PE_x_FC_COMPUTER",-2.603,-0.35
"59","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",-3.3722,-0.45
"60","IN_CH_STATE_PB_x_CH_SCHOOL_LARGE_SIZE",-4.9304,-0.66
"61","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",-5.1436,-0.69
"62","IN_CH_STATE_CE_x_FC_SEWAGE_PUBLIC",-5.4492,-0.73
"63","IN_CH_STATE_BA_x_CH_STATE",-7.6217,-1.02
"64","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",-10.4017,-1.4
"65","IN_CH_STATE_RJ_x_CH_STATE",-12.9297,-1.74
"66","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",-16.9487,-2.28
"67","CH_FEDERAL",-25.8858,-3.48
"68","IN_CH_STATE_PI_x_CH_FEDERAL",-28.2076,-3.79
"69","IN_CH_STATE_CE_x_CH_FEDERAL",-48.9145,-6.58
"70","IN_CH_STATE_PA_x_CH_FEDERAL",-62.5241,-8.41
"71","IN_CH_STATE_SE_x_CH_FEDERAL",-137.6324,-18.51
