"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_MUNICIPAL_x_FC_WATER",26.9292,4.06
"2","IN_CH_STATE_x_FC_ANTENNA_EQUIPMENT",6.9666,1.05
"3","IN_CH_STATE_x_FC_SEWAGE",6.416,0.97
"4","IN_CH_STATE_AM_x_FC_HAS_SPORTS_QUAD",5.3763,0.81
"5","IN_CH_STATE_x_FC_COMPUTER_LAB",2.8371,0.43
"6","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",2.8115,0.42
"7","IN_CH_STATE_x_FC_COMPUTER",2.2659,0.34
"8","IN_CH_STATE_x_FC_WATER",2.2203,0.34
"9","IN_CH_STATE_RS_x_CH_RURAL",1.3336,0.2
"10","IN_CH_STATE_x_FC_WATER_PUBLIC",1.0003,0.15
"11","IN_CH_STATE_x_FC_INTERNET",0.9695,0.15
"12","IN_CH_STATE_SC_x_CH_RURAL",0.7011,0.11
"13","IN_CH_STATE_PI_x_CH_RURAL",0.7008,0.11
"14","IN_CH_STATE_MA_x_CH_RURAL",0.6475,0.1
"15","IN_CH_STATE_AM_x_CH_FUNDAMENTAL_EDU_T",0.3449,0.05
"16","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",0.252,0.04
"17","IN_CH_STATE_AM_x_FC_ELECTR",0.1993,0.03
"18","IN_CH_STATE_ES_x_CH_RURAL",0.1991,0.03
"19","IN_CH_STATE_MA_x_CH_MUNICIPAL",0.1235,0.02
"20","CH_MATRI_FUNDAMENTAL_EDU",-0.0013,0
"21","CH_MATRI_FUNDAMENTAL_EDU_T",-0.0025,0
"22","ST_TOTAL_STAFF",-0.0049,0
"23","ST_FUND_EDU_TEACHERS",-0.0352,-0.01
"24","FC_ROOMS_USED",-0.0703,-0.01
"25","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",-0.0738,-0.01
"26","FC_ROOMS_AVAILABLE",-0.0826,-0.01
"27","IN_CH_RURAL_x_FC_LIBRARY",-0.1819,-0.03
"28","IN_CH_FUNDAMENTAL_EDU_T_x_FC_WATER_PUBLIC",-0.1873,-0.03
"29","IN_CH_STATE_PE_x_CH_URBAN",-0.2408,-0.04
"30","IN_CH_RURAL_x_FC_SCIENCE_LAB",-0.3118,-0.05
"31","IN_CH_MUNICIPAL_x_FC_WATER_PUBLIC",-0.4019,-0.06
"32","IN_CH_STATE_BA_x_FC_LIBRARY",-0.5072,-0.08
"33","IN_CH_STATE_PE_x_FC_WATER_PUBLIC",-0.5615,-0.08
"34","IN_CH_STATE_RN_x_FC_TV_EQUIPMENT",-0.61,-0.09
"35","IN_CH_STATE_RN_x_CH_RURAL",-0.6205,-0.09
"36","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",-0.7503,-0.11
"37","IN_CH_STATE_SC_x_FC_SEWAGE_PUBLIC",-0.7923,-0.12
"38","IN_CH_STATE_RN_x_FC_COMPUTER_LAB",-0.9839,-0.15
"39","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",-1.098,-0.17
"40","IN_CH_RURAL_x_FC_INTERNET",-1.1081,-0.17
"41","IN_CH_STATE_AL_x_FC_ANTENNA_EQUIPMENT",-1.1358,-0.17
"42","IN_CH_FUNDAMENTAL_EDU_T_x_FC_TV_EQUIPMENT",-1.3431,-0.2
"43","IN_CH_STATE_BA_x_CH_URBAN",-1.4158,-0.21
"44","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",-1.449,-0.22
"45","IN_CH_STATE_SE_x_CH_RURAL",-1.4976,-0.23
"46","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",-1.5109,-0.23
"47","IN_CH_STATE_PB_x_FC_WATER_PUBLIC",-1.6068,-0.24
"48","IN_CH_STATE_SE_x_FC_SEWAGE_PUBLIC",-1.6105,-0.24
"49","IN_CH_STATE_RN_x_FC_SEWAGE_PUBLIC",-1.6329,-0.25
"50","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",-1.7781,-0.27
"51","IN_CH_STATE_PE_x_FC_COMPUTER",-1.8787,-0.28
"52","IN_CH_STATE_MG_x_FC_SCIENCE_LAB",-2.0652,-0.31
"53","IN_CH_STATE_SE_x_CH_MUNICIPAL",-2.1638,-0.33
"54","IN_CH_STATE_PE_x_FC_COMPUTER_LAB",-2.5588,-0.39
"55","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",-2.7308,-0.41
"56","IN_CH_STATE_PB_x_CH_SCHOOL_LARGE_SIZE",-4.5551,-0.69
"57","IN_CH_STATE_CE_x_FC_SEWAGE_PUBLIC",-4.5883,-0.69
"58","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",-4.7322,-0.71
"59","IN_CH_STATE_BA_x_CH_STATE",-7.1106,-1.07
"60","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",-8.2394,-1.24
"61","IN_CH_STATE_RJ_x_CH_STATE",-14.296,-2.16
"62","CH_FEDERAL",-17.8493,-2.69
"63","IN_CH_STATE_CE_x_CH_FEDERAL",-18.6731,-2.82
"64","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",-38.7158,-5.84
"65","IN_CH_STATE_SE_x_CH_FEDERAL",-147.9766,-22.33
