"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PA_x_CH_FEDERAL",14.3016,-59.01
"2","IN_CH_STATE_CE_x_CH_FEDERAL",8.8009,-36.31
"3","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",2.352,-9.7
"4","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",1.3498,-5.57
"5","IN_CH_STATE_PI_x_CH_FEDERAL",1.2238,-5.05
"6","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",0.8486,-3.5
"7","IN_CH_STATE_SE_x_CH_RURAL",0.7641,-3.15
"8","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.6474,-2.67
"9","IN_CH_STATE_CE_x_FC_SEWAGE_PUBLIC",0.6257,-2.58
"10","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",0.6252,-2.58
"11","IN_CH_STATE_PB_x_CH_SCHOOL_LARGE_SIZE",0.5553,-2.29
"12","IN_CH_STATE_CE_x_CH_STATE",0.5243,-2.16
"13","IN_CH_STATE_AL_x_FC_ANTENNA_EQUIPMENT",0.4644,-1.92
"14","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",0.386,-1.59
"15","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",0.3781,-1.56
"16","IN_CH_STATE_BA_x_CH_STATE",0.3687,-1.52
"17","IN_CH_STATE_PE_x_FC_COMPUTER",0.3664,-1.51
"18","IN_CH_STATE_PE_x_FC_COMPUTER_LAB",0.3347,-1.38
"19","IN_CH_RURAL_x_FC_LIBRARY",0.3201,-1.32
"20","IN_CH_STATE_PB_x_FC_WATER_PUBLIC",0.317,-1.31
"21","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",0.3159,-1.3
"22","IN_CH_STATE_PI_x_FC_SCIENCE_LAB",0.3034,-1.25
"23","IN_CH_STATE_RJ_x_CH_STATE",0.2523,-1.04
"24","IN_CH_MUNICIPAL_x_FC_WATER_PUBLIC",0.2253,-0.93
