"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_MUNICIPAL_x_FC_WATER",0.8926,3.4
"2","IN_CH_STATE_x_FC_WATER",0.4182,1.59
"3","IN_CH_STATE_x_FC_ANTENNA_EQUIPMENT",0.153,0.58
"4","CH_MUNICIPAL",0.1362,0.52
"5","CH_STATE",0.1013,0.39
"6","IN_CH_STATE_x_FC_COMPUTER_LAB",0.0965,0.37
"7","IN_CH_STATE_x_FC_WATER_PUBLIC",0.0679,0.26
"8","IN_CH_STATE_x_FC_SEWAGE",0.0654,0.25
"9","IN_CH_STATE_AM_x_FC_HAS_SPORTS_QUAD",0.056,0.21
"10","IN_CH_RURAL_x_FC_ELECTR",0.0194,0.07
"11","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",0.0137,0.05
"12","IN_CH_STATE_x_FC_SCIENCE_LAB",0.012,0.05
"13","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",0.0082,0.03
"14","IN_CH_STATE_SP_x_CH_MUNICIPAL",0.0064,0.02
"15","IN_CH_STATE_x_FC_LIBRARY",0.0051,0.02
"16","IN_CH_STATE_TO_x_CH_MUNICIPAL",0.0034,0.01
"17","CH_MATRI_FUNDAMENTAL_EDU",0,0
"18","CH_MATRI_FUNDAMENTAL_EDU_I",0,0
"19","IN_CH_SCHOOL_LARGE_SIZE_x_FC_TV_EQUIPMENT",0,0
"20","ST_TOTAL_STAFF",-1e-04,0
"21","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",-1e-04,0
"22","IN_CH_STATE_RJ_x_FC_ANTENNA_EQUIPMENT",-1e-04,0
"23","FC_ROOMS_AVAILABLE",-9e-04,0
"24","FC_ROOMS_USED",-0.0011,0
"25","FC_WATER_PUBLIC",-0.002,-0.01
"26","IN_CH_STATE_BA_x_FC_INTERNET",-0.0039,-0.01
"27","IN_CH_STATE_SE_x_FC_WATER_PUBLIC",-0.0073,-0.03
"28","IN_CH_STATE_RN_x_FC_TV_EQUIPMENT",-0.0074,-0.03
"29","IN_CH_STATE_RN_x_FC_LIBRARY",-0.0089,-0.03
"30","IN_CH_FUNDAMENTAL_EDU_T_x_FC_WATER_PUBLIC",-0.0094,-0.04
"31","IN_CH_FUNDAMENTAL_EDU_T_x_FC_LIBRARY",-0.0112,-0.04
"32","IN_CH_STATE_PB_x_CH_URBAN",-0.014,-0.05
"33","IN_CH_FUNDAMENTAL_EDU_T_x_FC_TV_EQUIPMENT",-0.0141,-0.05
"34","IN_CH_FUNDAMENTAL_EDU_T_x_FC_COMPUTER",-0.0175,-0.07
"35","IN_CH_STATE_BA_x_CH_URBAN",-0.0192,-0.07
"36","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",-0.0247,-0.09
"37","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",-0.0255,-0.1
"38","IN_CH_STATE_PA_x_FC_LIBRARY",-0.0318,-0.12
"39","IN_CH_STATE_PE_x_CH_URBAN",-0.0361,-0.14
"40","IN_CH_STATE_SE_x_CH_URBAN",-0.0409,-0.16
"41","IN_CH_STATE_CE_x_FC_SEWAGE_PUBLIC",-0.0418,-0.16
"42","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",-0.0488,-0.19
"43","IN_CH_STATE_SE_x_CH_MUNICIPAL",-0.0501,-0.19
"44","IN_CH_STATE_PE_x_FC_ANTENNA_EQUIPMENT",-0.0553,-0.21
"45","IN_CH_STATE_SE_x_FC_COMPUTER_LAB",-0.0574,-0.22
"46","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",-0.0733,-0.28
"47","IN_CH_STATE_RJ_x_CH_STATE",-0.0814,-0.31
"48","IN_CH_STATE_RN_x_FC_SEWAGE_PUBLIC",-0.1024,-0.39
"49","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",-0.1089,-0.41
"50","IN_CH_STATE_BA_x_CH_STATE",-0.2424,-0.92
"51","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",-0.3235,-1.23
"52","IN_CH_STATE_CE_x_CH_FEDERAL",-0.5993,-2.28
