"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PA_x_CH_FEDERAL",30.1699,483.31
"2","IN_CH_STATE_SE_x_CH_FEDERAL",11.8804,190.32
"3","IN_CH_STATE_CE_x_CH_FEDERAL",4.6483,74.46
"4","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",3.9075,62.6
"5","IN_CH_STATE_PR_x_CH_FEDERAL",3.7932,60.77
"6","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",0.8087,12.95
"7","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",0.7504,12.02
"8","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",0.7353,11.78
"9","IN_CH_STATE_PB_x_CH_SCHOOL_LARGE_SIZE",0.6664,10.68
"10","IN_CH_STATE_RJ_x_CH_STATE",0.6621,10.61
"11","IN_CH_STATE_PI_x_FC_SCIENCE_LAB",0.6164,9.87
"12","IN_CH_STATE_SE_x_CH_RURAL",0.5801,9.29
"13","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.5364,8.59
"14","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",0.5231,8.38
"15","IN_CH_STATE_PE_x_FC_COMPUTER_LAB",0.5099,8.17
"16","IN_CH_STATE_BA_x_CH_STATE",0.4928,7.89
"17","IN_CH_STATE_CE_x_FC_SEWAGE_PUBLIC",0.4904,7.86
"18","IN_CH_STATE_RO_x_CH_STATE",0.4035,6.46
"19","IN_CH_STATE_AL_x_FC_ANTENNA_EQUIPMENT",0.3333,5.34
"20","IN_CH_STATE_MA_x_FC_SCIENCE_LAB",0.3123,5
"21","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",0.2904,4.65
"22","IN_CH_STATE_ES_x_CH_STATE",0.264,4.23
"23","IN_CH_RURAL_x_FC_INTERNET",0.2534,4.06
"24","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",0.2401,3.85
"25","IN_CH_STATE_SC_x_FC_SEWAGE_PUBLIC",0.2398,3.84
"26","IN_CH_STATE_PB_x_FC_WATER_PUBLIC",0.2392,3.83
"27","IN_CH_STATE_RJ_x_CH_RURAL",0.2233,3.58
"28","IN_CH_RURAL_x_FC_LIBRARY",0.2082,3.34
"29","IN_CH_STATE_MG_x_CH_RURAL",0.2005,3.21
"30","IN_CH_MUNICIPAL_x_FC_WATER_PUBLIC",0.1924,3.08
"31","IN_CH_STATE_CE_x_CH_STATE",0.1772,2.84
"32","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",0.1592,2.55
"33","IN_CH_STATE_RN_x_FC_COMPUTER_LAB",0.155,2.48
"34","STR_TEACHERS_INCOMPLETE_FUNDEDU",0.1474,2.36
"35","IN_CH_STATE_PE_x_FC_COMPUTER",0.1473,2.36
"36","IN_CH_STATE_SP_x_CH_RURAL",0.1441,2.31
"37","IN_CH_FUNDAMENTAL_EDU_T_x_FC_HAS_SPORTS_QUAD",0.1429,2.29
"38","IN_CH_STATE_PI_x_CH_URBAN",0.1297,2.08
"39","IN_CH_STATE_MG_x_FC_SCIENCE_LAB",0.1295,2.07
"40","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",0.1264,2.02
"41","IN_CH_MUNICIPAL_x_FC_TV_EQUIPMENT",0.119,1.91
"42","IN_CH_STATE_PB_x_FC_SEWAGE_PUBLIC",0.1056,1.69
"43","IN_CH_STATE_BA_x_CH_URBAN",0.1038,1.66
"44","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",0.0996,1.6
"45","IN_CH_STATE_PB_x_CH_RURAL",0.0987,1.58
"46","IN_CH_STATE_RN_x_FC_TV_EQUIPMENT",0.0866,1.39
"47","IN_CH_STATE_PE_x_FC_WATER_PUBLIC",0.0849,1.36
"48","IN_CH_STATE_RN_x_CH_RURAL",0.0827,1.32
"49","IN_CH_STATE_BA_x_FC_COMPUTER_LAB",0.08,1.28
"50","IN_CH_STATE_RS_x_CH_URBAN",0.0626,1
"51","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",0.0533,0.85
"52","IN_CH_STATE_MA_x_CH_SCHOOL_LARGE_SIZE",0.0523,0.84
"53","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",0.0248,0.4
"54","IN_CH_STATE_AC_x_CH_RURAL",0.0155,0.25
"55","IN_CH_STATE_RR_x_CH_RURAL",0.0151,0.24
"56","FC_ROOMS_AVAILABLE",0.0114,0.18
"57","IN_CH_STATE_PE_x_FC_SEWAGE_PUBLIC",0.0104,0.17
"58","FC_SEWAGE_PUBLIC",0.008,0.13
"59","IN_CH_STATE_TO_x_FC_HAS_SPORTS_QUAD",0.0078,0.12
"60","ST_FUND_EDU_TEACHERS",0.0041,0.07
"61","CH_CLASSES_FUNDAMENTAL_EDU_T",0.0013,0.02
"62","CH_MATRI_FUNDAMENTAL_EDU_T",4e-04,0.01
"63","IN_CH_STATE_PR_x_CH_STATE",-0.0246,-0.39
"64","IN_CH_STATE_x_FC_COMPUTER_LAB",-0.0355,-0.57
"65","IN_CH_STATE_SP_x_FC_SEWAGE_PUBLIC",-0.0376,-0.6
"66","IN_CH_MUNICIPAL_x_FC_SEWAGE",-0.0673,-1.08
"67","IN_CH_STATE_PA_x_CH_RURAL",-0.075,-1.2
"68","IN_CH_STATE_AM_x_FC_SEWAGE_PUBLIC",-0.1198,-1.92
