"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_MUNICIPAL_x_FC_WATER",8.4076,4.34
"2","IN_CH_STATE_AM_x_FC_HAS_SPORTS_QUAD",3.2499,1.68
"3","IN_CH_STATE_x_FC_ANTENNA_EQUIPMENT",2.3035,1.19
"4","IN_CH_STATE_x_FC_SEWAGE",1.9878,1.03
"5","IN_CH_STATE_x_FC_INTERNET",1.2133,0.63
"6","IN_CH_STATE_x_FC_COMPUTER_LAB",1.0884,0.56
"7","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",0.7489,0.39
"8","IN_CH_STATE_x_FC_WATER_PUBLIC",0.672,0.35
"9","IN_CH_STATE_RS_x_CH_RURAL",0.4157,0.21
"10","IN_CH_RURAL_x_FC_ELECTR",0.2887,0.15
"11","IN_CH_STATE_AP_x_FC_WATER_PUBLIC",0.2812,0.15
"12","IN_CH_STATE_AM_x_CH_STATE",0.2338,0.12
"13","IN_CH_STATE_x_FC_COMPUTER",0.2106,0.11
"14","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",0.1772,0.09
"15","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",0.1752,0.09
"16","IN_CH_STATE_ES_x_CH_RURAL",0.1703,0.09
"17","IN_CH_STATE_PR_x_CH_STATE",0.1559,0.08
"18","IN_CH_STATE_PI_x_CH_RURAL",0.1227,0.06
"19","IN_CH_STATE_MA_x_CH_MUNICIPAL",0.1214,0.06
"20","IN_CH_STATE_SC_x_CH_RURAL",0.1159,0.06
"21","IN_CH_RURAL_x_FC_SEWAGE",0.1036,0.05
"22","IN_CH_RURAL_x_FC_WATER",0.0022,0
"23","IN_CH_STATE_x_FC_LIBRARY",0.0016,0
"24","CH_MATRI_FUNDAMENTAL_EDU",-4e-04,0
"25","CH_MATRI_FUNDAMENTAL_EDU_T",-0.0013,0
"26","ST_TOTAL_STAFF",-0.0014,0
"27","ST_FUND_EDU_TEACHERS",-0.0119,-0.01
"28","FC_ROOMS_USED",-0.014,-0.01
"29","FC_ROOMS_AVAILABLE",-0.0219,-0.01
"30","IN_CH_STATE_RJ_x_FC_LIBRARY",-0.0272,-0.01
"31","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",-0.0309,-0.02
"32","IN_CH_RURAL_x_FC_LIBRARY",-0.1381,-0.07
"33","IN_CH_STATE_RN_x_CH_RURAL",-0.1519,-0.08
"34","IN_CH_STATE_SC_x_FC_SEWAGE_PUBLIC",-0.1614,-0.08
"35","IN_CH_MUNICIPAL_x_FC_LIBRARY",-0.1658,-0.09
"36","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",-0.2018,-0.1
"37","IN_CH_STATE_RN_x_FC_COMPUTER_LAB",-0.2187,-0.11
"38","IN_CH_STATE_MG_x_FC_SCIENCE_LAB",-0.2482,-0.13
"39","IN_CH_MUNICIPAL_x_FC_WATER_PUBLIC",-0.3438,-0.18
"40","IN_CH_FUNDAMENTAL_EDU_T_x_FC_TV_EQUIPMENT",-0.3774,-0.19
"41","IN_CH_STATE_RN_x_FC_TV_EQUIPMENT",-0.3796,-0.2
"42","IN_CH_RURAL_x_FC_INTERNET",-0.4238,-0.22
"43","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",-0.4449,-0.23
"44","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",-0.4547,-0.23
"45","IN_CH_STATE_BA_x_CH_URBAN",-0.4859,-0.25
"46","IN_CH_RURAL_x_FC_SCIENCE_LAB",-0.5515,-0.28
"47","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",-0.5884,-0.3
"48","IN_CH_STATE_SE_x_CH_MUNICIPAL",-0.6546,-0.34
"49","IN_CH_STATE_RN_x_FC_SEWAGE_PUBLIC",-0.6902,-0.36
"50","IN_CH_STATE_PB_x_FC_WATER_PUBLIC",-0.7191,-0.37
"51","IN_CH_STATE_AL_x_FC_ANTENNA_EQUIPMENT",-0.8044,-0.42
"52","IN_CH_STATE_PE_x_FC_COMPUTER_LAB",-0.805,-0.42
"53","IN_CH_STATE_PE_x_FC_COMPUTER",-0.8306,-0.43
"54","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",-0.906,-0.47
"55","IN_CH_STATE_SE_x_CH_RURAL",-1.0004,-0.52
"56","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",-1.1412,-0.59
"57","IN_CH_STATE_PB_x_CH_SCHOOL_LARGE_SIZE",-1.3095,-0.68
"58","IN_CH_STATE_CE_x_FC_SEWAGE_PUBLIC",-1.4419,-0.74
"59","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",-1.464,-0.76
"60","IN_CH_STATE_BA_x_CH_STATE",-1.5198,-0.79
"61","IN_CH_STATE_RJ_x_CH_STATE",-3.0509,-1.58
"62","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",-3.6517,-1.89
"63","IN_CH_STATE_PI_x_CH_FEDERAL",-4.1783,-2.16
"64","CH_FEDERAL",-4.3938,-2.27
"65","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",-8.8289,-4.56
"66","IN_CH_STATE_SE_x_CH_FEDERAL",-8.8998,-4.6
"67","IN_CH_STATE_CE_x_CH_FEDERAL",-21.5263,-11.12
