"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_FEDERAL_x_FC_COMPUTER_LAB",4.9901,-2.69
"2","IN_CH_STATE_SE_x_CH_FEDERAL",1.8177,-0.98
"3","IN_CH_STATE_RJ_x_CH_STATE",1.6903,-0.91
"4","IN_CH_FEDERAL_x_FC_ELECTR_PUBLIC",1.6715,-0.9
"5","IN_CH_STATE_BA_x_CH_STATE",1.4037,-0.76
"6","IN_CH_STATE_SE_x_CH_URBAN",0.3601,-0.19
"7","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",0.352,-0.19
"8","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",0.3416,-0.18
"9","IN_CH_STATE_PE_x_CH_URBAN",0.3346,-0.18
"10","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",0.2803,-0.15
"11","IN_CH_STATE_RN_x_FC_SEWAGE_PUBLIC",0.2147,-0.12
"12","IN_CH_STATE_MG_x_FC_SCIENCE_LAB",0.1501,-0.08
"13","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",0.0728,-0.04
"14","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",0.0532,-0.03
"15","IN_CH_FUNDAMENTAL_EDU_T_x_FC_COMPUTER",0.0435,-0.02
"16","IN_CH_FUNDAMENTAL_EDU_T_x_FC_TV_EQUIPMENT",0.0301,-0.02
"17","IN_CH_STATE_SE_x_FC_WATER_PUBLIC",0.027,-0.01
"18","IN_CH_STATE_PE_x_FC_SCIENCE_LAB",0.0194,-0.01
"19","IN_CH_STATE_RN_x_FC_HAS_SPORTS_QUAD",0.0099,-0.01
"20","IN_CH_FUNDAMENTAL_EDU_T_x_FC_WATER_PUBLIC",0.0049,0
"21","FC_ROOMS_USED",0.0047,0
"22","FC_ROOMS_AVAILABLE",0.0037,0
"23","ST_TOTAL_STAFF",0.0011,0
"24","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",0.001,0
"25","CH_MATRI_FUNDAMENTAL_EDU",1e-04,0
"26","IN_CH_MUNICIPAL_x_FC_ELECTR",-0.015,0.01
"27","IN_CH_STATE_PR_x_CH_STATE",-0.016,0.01
"28","IN_CH_STATE_SP_x_CH_MUNICIPAL",-0.0263,0.01
"29","IN_CH_RURAL_x_FC_ELECTR",-0.0424,0.02
"30","IN_CH_STATE_x_FC_COMPUTER_LAB",-0.242,0.13
"31","IN_CH_STATE_x_FC_ANTENNA_EQUIPMENT",-0.5024,0.27
"32","IN_CH_STATE_x_FC_WATER",-1.5896,0.86
"33","CH_MUNICIPAL",-2.0089,1.08
"34","CH_STATE",-2.1545,1.16
"35","IN_CH_MUNICIPAL_x_FC_WATER",-3.1647,1.7
