"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_MUNICIPAL_x_FC_WATER",3.3709,119.85
"2","IN_CH_STATE_AM_x_FC_HAS_SPORTS_QUAD",2.1044,74.82
"3","FC_WATER",1.8429,65.52
"4","IN_CH_STATE_x_FC_ANTENNA_EQUIPMENT",1.4172,50.39
"5","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",0.6813,24.22
"6","IN_CH_STATE_x_FC_INTERNET",0.6681,23.75
"7","IN_CH_STATE_RS_x_CH_RURAL",0.6255,22.24
"8","IN_CH_STATE_x_FC_COMPUTER_LAB",0.4741,16.86
"9","IN_CH_RURAL_x_FC_SEWAGE",0.3733,13.27
"10","IN_CH_STATE_SC_x_CH_RURAL",0.3427,12.18
"11","IN_CH_STATE_PR_x_CH_STATE",0.3138,11.16
"12","IN_CH_STATE_PI_x_CH_RURAL",0.2798,9.95
"13","IN_CH_STATE_MA_x_CH_RURAL",0.2694,9.58
"14","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",0.2176,7.74
"15","IN_CH_STATE_ES_x_CH_RURAL",0.1807,6.42
"16","IN_CH_STATE_AM_x_CH_FUNDAMENTAL_EDU_T",0.1731,6.15
"17","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",0.083,2.95
"18","IN_CH_STATE_SP_x_CH_STATE",0.0516,1.83
"19","IN_CH_STATE_AP_x_FC_WATER_PUBLIC",0.0215,0.76
"20","IN_CH_STATE_PR_x_FC_SCIENCE_LAB",0.0125,0.44
"21","CH_MATRI_FUNDAMENTAL_EDU_T",-0.0018,-0.06
"22","IN_CH_FUNDAMENTAL_EDU_T_x_FC_HAS_SPORTS_QUAD",-0.0072,-0.26
"23","FC_ROOMS_USED",-0.0094,-0.33
"24","ST_FUND_EDU_TEACHERS",-0.0099,-0.35
"25","FC_ROOMS_AVAILABLE",-0.0161,-0.57
"26","IN_CH_STATE_RO_x_FC_COMPUTER_LAB",-0.0371,-1.32
"27","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",-0.0473,-1.68
"28","IN_CH_MUNICIPAL_x_FC_INTERNET",-0.0836,-2.97
"29","IN_CH_STATE_SP_x_CH_RURAL",-0.1092,-3.88
"30","IN_CH_STATE_RN_x_FC_TV_EQUIPMENT",-0.1221,-4.34
"31","IN_CH_STATE_SC_x_FC_SEWAGE_PUBLIC",-0.1275,-4.53
"32","STR_TEACHERS_INCOMPLETE_FUNDEDU",-0.1516,-5.39
"33","IN_CH_FUNDAMENTAL_EDU_T_x_FC_TV_EQUIPMENT",-0.1881,-6.69
"34","IN_CH_STATE_MG_x_CH_RURAL",-0.1968,-7
"35","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",-0.2575,-9.16
"36","IN_CH_STATE_RN_x_FC_COMPUTER_LAB",-0.2827,-10.05
"37","IN_CH_RURAL_x_FC_INTERNET",-0.2831,-10.07
"38","IN_CH_STATE_RN_x_CH_RURAL",-0.2911,-10.35
"39","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",-0.2945,-10.47
"40","IN_CH_MUNICIPAL_x_FC_WATER_PUBLIC",-0.3292,-11.7
"41","IN_CH_STATE_RO_x_CH_STATE",-0.3434,-12.21
"42","IN_CH_STATE_CE_x_CH_STATE",-0.3487,-12.4
"43","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",-0.3491,-12.41
"44","IN_CH_STATE_PE_x_FC_COMPUTER",-0.3642,-12.95
"45","IN_CH_STATE_MG_x_FC_SCIENCE_LAB",-0.3763,-13.38
"46","IN_CH_STATE_BA_x_CH_URBAN",-0.4345,-15.45
"47","IN_CH_RURAL_x_FC_LIBRARY",-0.4533,-16.12
"48","IN_CH_STATE_PB_x_FC_WATER_PUBLIC",-0.5451,-19.38
"49","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",-0.5618,-19.97
"50","IN_CH_STATE_AL_x_FC_ANTENNA_EQUIPMENT",-0.6597,-23.46
"51","IN_CH_RURAL_x_FC_SCIENCE_LAB",-0.6924,-24.62
"52","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",-0.7904,-28.1
"53","IN_CH_STATE_BA_x_CH_STATE",-0.8136,-28.93
"54","IN_CH_STATE_CE_x_FC_SEWAGE_PUBLIC",-0.9207,-32.73
"55","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",-0.9349,-33.24
"56","IN_CH_STATE_PE_x_FC_COMPUTER_LAB",-1.222,-43.45
"57","IN_CH_STATE_SE_x_CH_RURAL",-1.406,-49.99
"58","IN_CH_STATE_PB_x_CH_SCHOOL_LARGE_SIZE",-1.4435,-51.32
"59","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",-1.6509,-58.7
"60","IN_CH_STATE_PR_x_CH_FEDERAL",-1.9483,-69.27
"61","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",-2.1907,-77.89
"62","IN_CH_STATE_RJ_x_CH_STATE",-2.5184,-89.54
"63","IN_CH_STATE_CE_x_CH_FEDERAL",-10.2953,-366.04
"64","IN_CH_STATE_SE_x_CH_FEDERAL",-10.897,-387.44
"65","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",-13.4052,-476.61
