"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_SE_x_CH_FEDERAL",16.4521,-13.12
"2","IN_CH_STATE_PA_x_CH_FEDERAL",15.307,-12.21
"3","IN_CH_STATE_CE_x_CH_FEDERAL",7.9032,-6.3
"4","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",7.5393,-6.01
"5","IN_CH_STATE_PI_x_CH_FEDERAL",2.3072,-1.84
"6","IN_CH_STATE_RJ_x_CH_STATE",2.0143,-1.61
"7","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",1.8598,-1.48
"8","IN_CH_STATE_BA_x_CH_STATE",1.0303,-0.82
"9","IN_CH_STATE_CE_x_FC_SEWAGE_PUBLIC",1.0236,-0.82
"10","IN_CH_STATE_PB_x_CH_SCHOOL_LARGE_SIZE",0.9537,-0.76
"11","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",0.8676,-0.69
"12","IN_CH_STATE_SE_x_CH_RURAL",0.7869,-0.63
"13","CH_FEDERAL",0.7025,-0.56
"14","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",0.6308,-0.5
"15","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",0.6228,-0.5
"16","IN_CH_STATE_PE_x_FC_COMPUTER_LAB",0.5176,-0.41
"17","IN_CH_RURAL_x_FC_INTERNET",0.4055,-0.32
"18","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",0.3899,-0.31
"19","IN_CH_STATE_AL_x_FC_ANTENNA_EQUIPMENT",0.3894,-0.31
"20","IN_CH_STATE_PB_x_FC_WATER_PUBLIC",0.387,-0.31
"21","IN_CH_STATE_PE_x_FC_COMPUTER",0.3831,-0.31
"22","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.3809,-0.3
"23","IN_CH_STATE_MG_x_FC_SCIENCE_LAB",0.3718,-0.3
"24","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",0.3081,-0.25
"25","IN_CH_STATE_BA_x_CH_URBAN",0.271,-0.22
"26","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",0.2579,-0.21
"27","IN_CH_STATE_SC_x_FC_SEWAGE_PUBLIC",0.245,-0.2
"28","IN_CH_FUNDAMENTAL_EDU_T_x_FC_TV_EQUIPMENT",0.2371,-0.19
"29","IN_CH_STATE_RN_x_FC_COMPUTER_LAB",0.2174,-0.17
"30","IN_CH_STATE_RN_x_FC_SEWAGE_PUBLIC",0.209,-0.17
"31","IN_CH_MUNICIPAL_x_FC_WATER_PUBLIC",0.2056,-0.16
"32","IN_CH_RURAL_x_FC_LIBRARY",0.1841,-0.15
"33","IN_CH_STATE_PE_x_FC_WATER_PUBLIC",0.1436,-0.11
"34","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",0.1404,-0.11
"35","IN_CH_STATE_RN_x_FC_TV_EQUIPMENT",0.1361,-0.11
"36","IN_CH_STATE_RN_x_CH_RURAL",0.1063,-0.08
"37","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",0.106,-0.08
"38","IN_CH_STATE_SE_x_FC_SEWAGE_PUBLIC",0.1034,-0.08
"39","IN_CH_STATE_SE_x_CH_MUNICIPAL",0.0771,-0.06
"40","IN_CH_STATE_RO_x_FC_COMPUTER_LAB",0.0473,-0.04
"41","IN_CH_FUNDAMENTAL_EDU_T_x_FC_HAS_SPORTS_QUAD",0.027,-0.02
"42","FC_ROOMS_AVAILABLE",0.0166,-0.01
"43","IN_CH_STATE_PI_x_FC_SCIENCE_LAB",0.0151,-0.01
"44","ST_FUND_EDU_TEACHERS",0.0095,-0.01
"45","FC_ROOMS_USED",0.0081,-0.01
"46","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",0.0036,0
"47","CH_MATRI_FUNDAMENTAL_EDU_T",7e-04,0
"48","ST_TOTAL_STAFF",7e-04,0
"49","IN_CH_STATE_MG_x_CH_RURAL",5e-04,0
"50","CH_MATRI_FUNDAMENTAL_EDU",1e-04,0
"51","IN_CH_RURAL_x_FC_ELECTR",-0.0123,0.01
"52","IN_CH_STATE_x_FC_LIBRARY",-0.0202,0.02
"53","IN_CH_RURAL_x_FC_WATER",-0.0219,0.02
"54","IN_CH_STATE_PR_x_CH_STATE",-0.0279,0.02
"55","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",-0.0356,0.03
"56","IN_CH_STATE_AM_x_CH_FUNDAMENTAL_EDU_T",-0.1934,0.15
"57","IN_CH_STATE_ES_x_CH_RURAL",-0.2073,0.17
"58","IN_CH_RURAL_x_FC_SEWAGE",-0.2462,0.2
"59","IN_CH_STATE_PI_x_CH_RURAL",-0.2507,0.2
"60","IN_CH_STATE_MA_x_CH_RURAL",-0.2547,0.2
"61","IN_CH_STATE_x_FC_SEWAGE",-0.2753,0.22
"62","IN_CH_STATE_SC_x_CH_RURAL",-0.3116,0.25
"63","IN_CH_STATE_AP_x_FC_WATER_PUBLIC",-0.3412,0.27
"64","IN_CH_STATE_x_FC_WATER_PUBLIC",-0.3587,0.29
"65","IN_CH_STATE_x_FC_COMPUTER_LAB",-0.4575,0.36
"66","IN_CH_STATE_RS_x_CH_RURAL",-0.4891,0.39
"67","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",-0.4986,0.4
"68","IN_CH_STATE_x_FC_COMPUTER",-0.6096,0.49
"69","IN_CH_STATE_x_FC_INTERNET",-0.7843,0.63
"70","IN_CH_STATE_AM_x_FC_HAS_SPORTS_QUAD",-1.2116,0.97
"71","IN_CH_STATE_x_FC_ANTENNA_EQUIPMENT",-1.2284,0.98
"72","IN_CH_MUNICIPAL_x_FC_WATER",-4.2954,3.43
