"","Variable","Coefficient","Coefficient/ATE"
"1","CH_MUNICIPAL",1.6799,1.26
"2","CH_STATE",1.603,1.2
"3","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",0.1568,0.12
"4","IN_CH_STATE_x_FC_WATER",0.1282,0.1
"5","IN_CH_STATE_PB_x_FC_SEWAGE_PUBLIC",0.1272,0.1
"6","IN_CH_MUNICIPAL_x_FC_WATER",0.1253,0.09
"7","IN_CH_STATE_MG_x_CH_RURAL",0.1003,0.07
"8","IN_CH_MUNICIPAL_x_FC_WATER_PUBLIC",0.0741,0.06
"9","IN_CH_MUNICIPAL_x_FC_TV_EQUIPMENT",0.0691,0.05
"10","IN_CH_STATE_RR_x_CH_RURAL",0.0522,0.04
"11","IN_CH_MUNICIPAL_x_FC_ELECTR_PUBLIC",0.0441,0.03
"12","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",0.0392,0.03
"13","IN_CH_MUNICIPAL_x_FC_LIBRARY",0.029,0.02
"14","IN_CH_STATE_PB_x_CH_STATE",0.014,0.01
"15","IN_CH_RURAL_x_FC_COMPUTER_LAB",0.013,0.01
"16","IN_CH_RURAL_x_FC_LIBRARY",0.0081,0.01
"17","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",-3e-04,0
"18","IN_CH_STATE_SC_x_CH_MUNICIPAL",-0.0044,0
"19","IN_CH_STATE_ES_x_CH_FEDERAL",-0.0198,-0.01
"20","IN_CH_STATE_PE_x_FC_SCIENCE_LAB",-0.0212,-0.02
"21","IN_CH_STATE_MA_x_CH_RURAL",-0.0269,-0.02
"22","IN_CH_STATE_PI_x_CH_RURAL",-0.0313,-0.02
"23","IN_CH_URBAN_x_FC_SEWAGE_PUBLIC",-0.0427,-0.03
"24","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",-0.0604,-0.05
"25","IN_CH_STATE_RJ_x_FC_SCIENCE_LAB",-0.0981,-0.07
"26","IN_CH_STATE_PA_x_CH_STATE",-0.1251,-0.09
"27","IN_CH_STATE_RJ_x_CH_SCHOOL_LARGE_SIZE",-0.1491,-0.11
"28","IN_CH_STATE_PI_x_CH_FEDERAL",-0.3527,-0.26
"29","IN_CH_STATE_RJ_x_CH_STATE",-0.4551,-0.34
"30","IN_CH_FEDERAL_x_FC_HAS_SPORTS_QUAD",-1.1199,-0.84
"31","IN_CH_FEDERAL_x_FC_WATER_PUBLIC",-1.5386,-1.15
"32","IN_CH_FEDERAL_x_FC_COMPUTER_LAB",-2.649,-1.98
"33","IN_CH_STATE_RO_x_CH_FEDERAL",-3.8076,-2.85
"34","IN_CH_STATE_SE_x_CH_FEDERAL",-6.9951,-5.23
