"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PA_x_CH_FEDERAL",49.4108,805.26
"2","IN_CH_STATE_CE_x_CH_FEDERAL",8.8018,143.45
"3","IN_CH_FEDERAL_x_FC_NO_SPORTS_QUAD",2.0237,32.98
"4","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",1.5869,25.86
"5","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",1.1037,17.99
"6","IN_CH_STATE_SE_x_CH_RURAL",1.0854,17.69
"7","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",1.0728,17.48
"8","IN_CH_RURAL_x_FC_SCIENCE_LAB",1.0554,17.2
"9","IN_CH_STATE_PB_x_CH_SCHOOL_LARGE_SIZE",0.953,15.53
"10","IN_CH_STATE_BA_x_CH_SCHOOL_LARGE_SIZE",0.9138,14.89
"11","IN_CH_STATE_CE_x_FC_SEWAGE_PUBLIC",0.8794,14.33
"12","STR_TEACHERS_INCOMPLETE_FUNDEDU",0.8357,13.62
"13","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",0.8132,13.25
"14","IN_CH_STATE_PI_x_FC_SCIENCE_LAB",0.7242,11.8
"15","IN_CH_STATE_PI_x_CH_SCHOOL_LARGE_SIZE",0.6423,10.47
"16","IN_CH_STATE_RO_x_CH_STATE",0.5437,8.86
"17","IN_CH_STATE_AL_x_FC_ANTENNA_EQUIPMENT",0.5412,8.82
"18","IN_CH_STATE_PE_x_FC_COMPUTER",0.4866,7.93
"19","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",0.4558,7.43
"20","IN_CH_STATE_RJ_x_FC_SEWAGE_PUBLIC",0.4482,7.3
"21","IN_CH_RURAL_x_FC_LIBRARY",0.4445,7.24
"22","IN_CH_STATE_PE_x_FC_COMPUTER_LAB",0.4419,7.2
"23","IN_CH_RURAL_x_FC_INTERNET",0.4401,7.17
"24","IN_CH_STATE_PB_x_FC_WATER_PUBLIC",0.394,6.42
"25","IN_CH_STATE_BA_x_CH_STATE",0.3818,6.22
"26","IN_CH_STATE_SC_x_FC_SEWAGE_PUBLIC",0.3527,5.75
"27","IN_CH_STATE_MG_x_CH_RURAL",0.352,5.74
"28","IN_CH_MUNICIPAL_x_FC_WATER_PUBLIC",0.338,5.51
"29","IN_CH_FUNDAMENTAL_EDU_T_x_FC_HAS_SPORTS_QUAD",0.3246,5.29
"30","IN_CH_STATE_SP_x_CH_RURAL",0.3242,5.28
"31","IN_CH_STATE_RJ_x_CH_RURAL",0.3195,5.21
"32","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",0.3136,5.11
"33","IN_CH_STATE_MA_x_CH_SCHOOL_LARGE_SIZE",0.3093,5.04
"34","IN_CH_STATE_BA_x_CH_URBAN",0.3068,5
"35","IN_CH_STATE_PB_x_FC_SEWAGE_PUBLIC",0.3006,4.9
"36","IN_CH_STATE_PI_x_CH_URBAN",0.2985,4.86
"37","IN_CH_STATE_MA_x_CH_STATE",0.2963,4.83
"38","IN_CH_STATE_ES_x_CH_STATE",0.2758,4.49
"39","IN_CH_STATE_MA_x_FC_SCIENCE_LAB",0.2107,3.43
"40","IN_CH_STATE_RN_x_CH_RURAL",0.2078,3.39
"41","IN_CH_MUNICIPAL_x_FC_TV_EQUIPMENT",0.1954,3.18
"42","IN_CH_STATE_RN_x_FC_TV_EQUIPMENT",0.1798,2.93
"43","IN_CH_STATE_RJ_x_CH_STATE",0.1758,2.87
"44","IN_CH_STATE_CE_x_CH_STATE",0.1648,2.69
"45","IN_CH_STATE_RN_x_FC_COMPUTER_LAB",0.1644,2.68
"46","IN_CH_STATE_CE_x_FC_ANTENNA_EQUIPMENT",0.1544,2.52
"47","IN_CH_STATE_PE_x_FC_WATER_PUBLIC",0.1386,2.26
"48","IN_CH_STATE_PB_x_CH_RURAL",0.1378,2.25
"49","IN_CH_STATE_RS_x_CH_URBAN",0.1234,2.01
"50","IN_CH_STATE_PR_x_FC_SEWAGE_PUBLIC",0.1181,1.92
"51","IN_CH_STATE_BA_x_FC_COMPUTER_LAB",0.0832,1.36
"52","IN_CH_STATE_MG_x_FC_SCIENCE_LAB",0.0578,0.94
"53","IN_CH_STATE_AC_x_CH_RURAL",0.0551,0.9
"54","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",0.0257,0.42
"55","FC_SEWAGE_PUBLIC",0.0232,0.38
"56","IN_CH_SCHOOL_LARGE_SIZE_x_FC_SEWAGE_PUBLIC",0.0179,0.29
"57","FC_ROOMS_AVAILABLE",0.0169,0.28
"58","IN_CH_STATE_CE_x_FC_NO_SPORTS_QUAD",0.0082,0.13
"59","ST_FUND_EDU_TEACHERS",0.0081,0.13
"60","CH_CLASSES_FUNDAMENTAL_EDU_T",0.0034,0.06
"61","CH_MATRI_FUNDAMENTAL_EDU_T",6e-04,0.01
"62","IN_CH_RURAL_x_FC_ELECTR",0,0
"63","IN_CH_MUNICIPAL_x_FC_ELECTR",-0.0222,-0.36
"64","IN_CH_FUNDAMENTAL_EDU_I_x_FC_WATER",-0.0486,-0.79
"65","IN_CH_STATE_SP_x_FC_ANTENNA_EQUIPMENT",-0.0512,-0.83
"66","IN_CH_STATE_SP_x_CH_STATE",-0.0829,-1.35
"67","IN_CH_STATE_SC_x_CH_MUNICIPAL",-0.0878,-1.43
"68","IN_CH_STATE_TO_x_CH_RURAL",-0.0975,-1.59
"69","IN_CH_STATE_x_FC_COMPUTER_LAB",-0.0987,-1.61
"70","IN_CH_STATE_SP_x_FC_SEWAGE_PUBLIC",-0.102,-1.66
"71","IN_CH_STATE_PA_x_CH_RURAL",-0.1091,-1.78
"72","IN_CH_STATE_PR_x_CH_STATE",-0.1297,-2.11
"73","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",-0.1731,-2.82
"74","IN_CH_STATE_AM_x_FC_SEWAGE_PUBLIC",-0.2795,-4.56
"75","IN_CH_STATE_AM_x_CH_RURAL",-0.3294,-5.37
"76","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",-0.3947,-6.43
"77","IN_CH_STATE_ES_x_CH_RURAL",-0.4078,-6.65
"78","IN_CH_STATE_SC_x_CH_RURAL",-0.4881,-7.95
"79","IN_CH_STATE_MA_x_CH_RURAL",-0.5215,-8.5
"80","IN_CH_RURAL_x_FC_SEWAGE",-0.5745,-9.36
"81","IN_CH_STATE_AP_x_FC_WATER_PUBLIC",-0.6129,-9.99
"82","IN_CH_STATE_PI_x_CH_RURAL",-0.6184,-10.08
"83","IN_CH_STATE_RS_x_CH_RURAL",-0.7364,-12
"84","IN_CH_STATE_x_FC_ANTENNA_EQUIPMENT",-0.749,-12.21
"85","IN_CH_STATE_x_FC_INTERNET",-0.8135,-13.26
"86","IN_CH_STATE_AM_x_FC_HAS_SPORTS_QUAD",-0.8568,-13.96
"87","IN_CH_MUNICIPAL_x_FC_WATER",-1.8663,-30.42
"88","FC_WATER",-1.9269,-31.4
