"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_RO_x_CH_FEDERAL",99.1859,8.66
"2","IN_CH_STATE_MA_x_CH_FEDERAL",54.9599,4.8
"3","IN_CH_STATE_RN_x_CH_PRIVATE",11.6137,1.01
"4","IN_CH_STATE_SE_x_CH_STATE",9.7225,0.85
"5","IN_CH_STATE_PI_x_CH_STATE",8.0352,0.7
"6","IN_CH_STATE_MA_x_CH_URBAN",6.9742,0.61
"7","IN_CH_STATE_AM_x_CH_URBAN",6.7551,0.59
"8","IN_CH_STATE_AM_x_CH_PRIVATE",6.6193,0.58
"9","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",6.1162,0.53
"10","IN_CH_STATE_ES_x_CH_RURAL",5.8148,0.51
"11","IN_CH_STATE_PR_x_CH_PRIVATE",4.492,0.39
"12","FC_WATER",4.415,0.39
"13","IN_CH_STATE_SC_x_FC_SCIENCE_LAB",3.8825,0.34
"14","IN_CH_STATE_PI_x_FC_LIBRARY",3.4538,0.3
"15","IN_CH_STATE_MG_x_CH_PRIVATE",3.4287,0.3
"16","IN_CH_STATE_SC_x_CH_PRIVATE",3.2943,0.29
"17","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",3.206,0.28
"18","IN_CH_STATE_CE_x_FC_NO_SPORTS_QUAD",2.9495,0.26
"19","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE",2.7128,0.24
"20","IN_CH_RURAL_x_FC_COMPUTER",2.5046,0.22
"21","IN_CH_STATE_PE_x_CH_RURAL",2.4765,0.22
"22","IN_CH_STATE_TO_x_CH_PRIVATE",2.3688,0.21
"23","IN_CH_STATE_AC_x_FC_SEWAGE",2.216,0.19
"24","IN_CH_RURAL_x_FC_TV_EQUIPMENT",2.1378,0.19
"25","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",1.8727,0.16
"26","CH_FUNDAMENTAL_EDU_T",1.6233,0.14
"27","IN_CH_STATE_PA_x_FC_TV_EQUIPMENT",1.6093,0.14
"28","IN_CH_STATE_AP_x_FC_SEWAGE_PUBLIC",1.5471,0.14
"29","IN_CH_STATE_CE_x_FC_COMPUTER_LAB",1.5294,0.13
"30","IN_CH_RURAL_x_FC_WATER_PUBLIC",1.2954,0.11
"31","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",1.2709,0.11
"32","IN_CH_STATE_PR_x_FC_LIBRARY",1.1428,0.1
"33","IN_CH_STATE_PB_x_CH_URBAN",1.1237,0.1
"34","IN_CH_STATE_SE_x_CH_RURAL",1.0261,0.09
"35","IN_CH_STATE_BA_x_FC_WATER_PUBLIC",0.6436,0.06
"36","IN_CH_STATE_RN_x_CH_RURAL",0.4466,0.04
"37","IN_CH_FUNDAMENTAL_EDU_T_x_FC_WATER",0.4132,0.04
"38","IN_CH_STATE_CE_x_CH_MUNICIPAL",0.1734,0.02
"39","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",0.0276,0
"40","IN_CH_STATE_RN_x_FC_TV_EQUIPMENT",0.0204,0
"41","IN_CH_STATE_PE_x_CH_MUNICIPAL",0.0153,0
"42","IN_CH_STATE_RJ_x_CH_MUNICIPAL",-0.0049,0
