"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_RO_x_CH_FEDERAL",67.5722,7.35
"2","IN_CH_STATE_MA_x_CH_FEDERAL",19.3091,2.1
"3","IN_CH_STATE_AM_x_CH_PRIVATE",14.765,1.61
"4","IN_CH_STATE_PE_x_CH_FEDERAL",13.2766,1.45
"5","IN_CH_STATE_RN_x_CH_PRIVATE",8.3014,0.9
"6","IN_CH_STATE_PI_x_CH_STATE",6.4468,0.7
"7","IN_CH_STATE_SE_x_CH_STATE",5.6543,0.62
"8","IN_CH_STATE_MA_x_CH_URBAN",5.4838,0.6
"9","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",5.3367,0.58
"10","FC_WATER",5.1009,0.56
"11","IN_CH_STATE_ES_x_CH_RURAL",4.257,0.46
"12","IN_CH_STATE_AM_x_CH_URBAN",4.0917,0.45
"13","IN_CH_STATE_PR_x_CH_PRIVATE",2.9762,0.32
"14","IN_CH_STATE_SC_x_FC_SCIENCE_LAB",2.9243,0.32
"15","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",2.8463,0.31
"16","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE",2.7251,0.3
"17","IN_CH_STATE_CE_x_FC_NO_SPORTS_QUAD",2.3049,0.25
"18","IN_CH_STATE_MG_x_CH_PRIVATE",2.2196,0.24
"19","IN_CH_STATE_PI_x_FC_LIBRARY",2.1723,0.24
"20","IN_CH_STATE_PE_x_CH_RURAL",2.0798,0.23
"21","IN_CH_STATE_AC_x_FC_SEWAGE",2.0358,0.22
"22","IN_CH_RURAL_x_FC_TV_EQUIPMENT",1.7965,0.2
"23","IN_CH_RURAL_x_FC_COMPUTER",1.5944,0.17
"24","IN_CH_STATE_TO_x_CH_PRIVATE",1.439,0.16
"25","IN_CH_STATE_SC_x_CH_PRIVATE",1.2984,0.14
"26","IN_CH_RURAL_x_FC_WATER_PUBLIC",1.2747,0.14
"27","IN_CH_FUNDAMENTAL_EDU_T_x_FC_WATER",1.2434,0.14
"28","IN_CH_STATE_SE_x_CH_RURAL",1.2297,0.13
"29","IN_CH_STATE_CE_x_FC_COMPUTER_LAB",1.1949,0.13
"30","IN_CH_STATE_PA_x_FC_TV_EQUIPMENT",1.0829,0.12
"31","IN_CH_STATE_PR_x_FC_LIBRARY",0.9012,0.1
"32","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",0.652,0.07
"33","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",0.4594,0.05
"34","IN_CH_MUNICIPAL_x_FC_ELECTR",0.3655,0.04
"35","IN_CH_STATE_BA_x_FC_WATER_PUBLIC",0.2816,0.03
"36","IN_CH_STATE_MA_x_CH_MUNICIPAL",0.2674,0.03
"37","IN_CH_STATE_PA_x_FC_ELECTR_PUBLIC",0.097,0.01
"38","IN_CH_STATE_PB_x_CH_URBAN",0.007,0
"39","CH_FUNDAMENTAL_EDU_T",0.0029,0
"40","CH_MATRI_FUNDAMENTAL_EDU_T",0,0
"41","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",-0.0022,0
"42","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",-0.0415,0
"43","IN_CH_RURAL_x_FC_LIBRARY",-0.0595,-0.01
"44","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",-0.0659,-0.01
"45","IN_CH_FUNDAMENTAL_EDU_T_x_FC_ANTENNA_EQUIPMENT",-0.0831,-0.01
"46","CH_CLASSES_FUNDAMENTAL_EDU_T",-0.1144,-0.01
"47","IN_CH_STATE_RJ_x_FC_ANTENNA_EQUIPMENT",-0.1238,-0.01
"48","IN_CH_STATE_MG_x_CH_MUNICIPAL",-0.1487,-0.02
"49","FC_ROOMS_AVAILABLE",-0.165,-0.02
"50","IN_CH_PRIVATE_x_FC_INTERNET",-0.1727,-0.02
"51","IN_CH_STATE_x_FC_ELECTR_PUBLIC",-0.3002,-0.03
"52","IN_CH_MUNICIPAL_x_FC_SEWAGE_PUBLIC",-0.3491,-0.04
"53","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",-0.3792,-0.04
"54","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",-0.571,-0.06
"55","IN_CH_STATE_AL_x_CH_FUNDAMENTAL_EDU_T",-0.5732,-0.06
"56","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",-0.5925,-0.06
"57","IN_CH_STATE_RJ_x_CH_RURAL",-0.6024,-0.07
"58","FC_ROOMS_USED",-0.6646,-0.07
"59","IN_CH_FUNDAMENTAL_EDU_I_x_FC_INTERNET",-0.8117,-0.09
"60","IN_CH_STATE_PE_x_FC_SCIENCE_LAB",-0.8157,-0.09
"61","IN_CH_URBAN_x_FC_WATER_PUBLIC",-0.8293,-0.09
"62","IN_CH_STATE_ES_x_CH_URBAN",-0.8325,-0.09
"63","IN_CH_STATE_AL_x_CH_RURAL",-0.8348,-0.09
"64","IN_CH_STATE_RJ_x_CH_MUNICIPAL",-0.944,-0.1
"65","IN_CH_PRIVATE_x_FC_SEWAGE_PUBLIC",-0.9795,-0.11
"66","IN_CH_STATE_TO_x_CH_MUNICIPAL",-0.9878,-0.11
"67","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",-1.0505,-0.11
"68","IN_CH_STATE_MA_x_CH_PRIVATE",-1.1006,-0.12
"69","IN_CH_STATE_CE_x_FC_SEWAGE_PUBLIC",-1.1919,-0.13
"70","IN_CH_STATE_AL_x_FC_WATER_PUBLIC",-1.4415,-0.16
"71","IN_CH_STATE_PI_x_FC_SEWAGE_PUBLIC",-1.5359,-0.17
"72","IN_CH_FUNDAMENTAL_EDU_T_x_FC_INTERNET",-1.8588,-0.2
"73","IN_CH_STATE_MG_x_FC_TV_EQUIPMENT",-1.8632,-0.2
"74","IN_CH_STATE_RR_x_CH_MUNICIPAL",-1.8903,-0.21
"75","IN_CH_STATE_ES_x_CH_STATE",-2.0205,-0.22
"76","IN_CH_STATE_PE_x_CH_PRIVATE",-2.0704,-0.23
"77","IN_CH_STATE_SC_x_CH_RURAL",-2.0777,-0.23
"78","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",-2.1974,-0.24
"79","IN_CH_STATE_AL_x_FC_ANTENNA_EQUIPMENT",-2.3171,-0.25
"80","IN_CH_FUNDAMENTAL_EDU_T_x_FC_LIBRARY",-2.3317,-0.25
"81","IN_CH_STATE_TO_x_FC_NO_SPORTS_QUAD",-2.4016,-0.26
"82","IN_CH_STATE_MG_x_FC_NO_SPORTS_QUAD",-2.4406,-0.27
