"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_RO_x_CH_FEDERAL",70.9405,7.88
"2","IN_CH_STATE_AM_x_CH_PRIVATE",10.3461,1.15
"3","IN_CH_STATE_MA_x_CH_FEDERAL",8.3917,0.93
"4","IN_CH_STATE_RN_x_CH_PRIVATE",7.471,0.83
"5","IN_CH_STATE_PI_x_CH_STATE",6.053,0.67
"6","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",5.2949,0.59
"7","IN_CH_STATE_SE_x_CH_STATE",5.1173,0.57
"8","IN_CH_STATE_MA_x_CH_URBAN",5.0523,0.56
"9","FC_WATER",5.0263,0.56
"10","IN_CH_STATE_ES_x_CH_RURAL",4.1181,0.46
"11","IN_CH_STATE_AM_x_CH_URBAN",3.8673,0.43
"12","IN_CH_STATE_PR_x_CH_PRIVATE",3.3959,0.38
"13","IN_CH_STATE_SC_x_FC_SCIENCE_LAB",3.2126,0.36
"14","IN_CH_STATE_SC_x_CH_PRIVATE",2.9733,0.33
"15","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE",2.875,0.32
"16","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",2.7357,0.3
"17","IN_CH_STATE_MG_x_CH_PRIVATE",2.1846,0.24
"18","IN_CH_STATE_CE_x_FC_NO_SPORTS_QUAD",2.1033,0.23
"19","IN_CH_RURAL_x_FC_TV_EQUIPMENT",2.0889,0.23
"20","IN_CH_STATE_AC_x_FC_SEWAGE",1.9592,0.22
"21","IN_CH_STATE_PE_x_CH_RURAL",1.9476,0.22
"22","IN_CH_STATE_PI_x_FC_LIBRARY",1.691,0.19
"23","IN_CH_FUNDAMENTAL_EDU_T_x_FC_WATER",1.3358,0.15
"24","IN_CH_RURAL_x_FC_COMPUTER",1.2784,0.14
"25","IN_CH_RURAL_x_FC_WATER_PUBLIC",1.1761,0.13
"26","IN_CH_STATE_SE_x_CH_RURAL",1.1666,0.13
