"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_RO_x_CH_FEDERAL",66.9461,8.67
"2","IN_CH_STATE_MA_x_CH_FEDERAL",40.9845,5.31
"3","IN_CH_STATE_RN_x_CH_PRIVATE",7.9209,1.03
"4","IN_CH_STATE_SE_x_CH_STATE",6.0871,0.79
"5","IN_CH_STATE_PI_x_CH_STATE",5.4506,0.71
"6","IN_CH_STATE_MA_x_CH_URBAN",4.8246,0.62
"7","IN_CH_STATE_AM_x_CH_URBAN",4.423,0.57
"8","IN_CH_STATE_AM_x_CH_PRIVATE",4.3401,0.56
"9","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",4.2476,0.55
"10","IN_CH_STATE_ES_x_CH_RURAL",3.9897,0.52
"11","IN_CH_STATE_PR_x_CH_PRIVATE",3.0698,0.4
"12","IN_CH_STATE_SC_x_FC_SCIENCE_LAB",2.7512,0.36
"13","FC_WATER",2.4866,0.32
"14","IN_CH_STATE_MG_x_CH_PRIVATE",2.3287,0.3
"15","IN_CH_STATE_PI_x_FC_LIBRARY",2.2624,0.29
"16","IN_CH_STATE_SC_x_CH_PRIVATE",2.2059,0.29
"17","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",2.1786,0.28
"18","IN_CH_STATE_CE_x_FC_NO_SPORTS_QUAD",1.9905,0.26
"19","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE",1.9136,0.25
"20","IN_CH_STATE_TO_x_CH_PRIVATE",1.6831,0.22
"21","IN_CH_STATE_AC_x_FC_SEWAGE",1.6594,0.21
"22","IN_CH_STATE_PE_x_CH_RURAL",1.6343,0.21
"23","IN_CH_RURAL_x_FC_COMPUTER",1.5933,0.21
"24","IN_CH_RURAL_x_FC_TV_EQUIPMENT",1.5326,0.2
"25","IN_CH_FUNDAMENTAL_EDU_T_x_FC_WATER",1.4203,0.18
"26","IN_CH_STATE_CE_x_FC_COMPUTER_LAB",1.176,0.15
"27","IN_CH_STATE_AP_x_FC_SEWAGE_PUBLIC",1.089,0.14
"28","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",1.0513,0.14
"29","IN_CH_STATE_PA_x_FC_TV_EQUIPMENT",1.0398,0.13
"30","IN_CH_RURAL_x_FC_WATER_PUBLIC",0.9696,0.13
"31","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",0.8886,0.12
"32","IN_CH_STATE_PR_x_FC_LIBRARY",0.7044,0.09
"33","IN_CH_STATE_SE_x_CH_RURAL",0.692,0.09
"34","IN_CH_STATE_PB_x_CH_URBAN",0.6512,0.08
"35","IN_CH_STATE_BA_x_FC_WATER_PUBLIC",0.3472,0.04
"36","IN_CH_STATE_RN_x_CH_RURAL",0.2427,0.03
"37","IN_CH_STATE_PR_x_FC_SCIENCE_LAB",0.1125,0.01
"38","IN_CH_MUNICIPAL_x_FC_ELECTR",0.0979,0.01
"39","CH_FUNDAMENTAL_EDU_T",0.0234,0
"40","IN_CH_STATE_RN_x_FC_TV_EQUIPMENT",0.0176,0
"41","IN_CH_STATE_CE_x_CH_MUNICIPAL",0.0143,0
"42","IN_CH_STATE_BA_x_FC_COMPUTER_LAB",0.0079,0
"43","IN_CH_STATE_ES_x_FC_SEWAGE_PUBLIC",-1e-04,0
"44","IN_CH_FUNDAMENTAL_EDU_T_x_FC_ANTENNA_EQUIPMENT",-1e-04,0
"45","IN_CH_STATE_MG_x_FC_WATER_PUBLIC",-0.0095,0
"46","IN_CH_URBAN_x_FC_INTERNET",-0.0489,-0.01
"47","IN_CH_STATE_MG_x_FC_COMPUTER_LAB",-0.0771,-0.01
"48","IN_CH_RURAL_x_FC_SEWAGE_PUBLIC",-0.0782,-0.01
"49","IN_CH_STATE_AL_x_CH_RURAL",-0.0786,-0.01
"50","CH_CLASSES_FUNDAMENTAL_EDU_T",-0.0972,-0.01
"51","FC_ROOMS_AVAILABLE",-0.137,-0.02
"52","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",-0.1718,-0.02
"53","IN_CH_STATE_RR_x_FC_ANTENNA_EQUIPMENT",-0.2778,-0.04
"54","IN_CH_STATE_RJ_x_FC_ANTENNA_EQUIPMENT",-0.2829,-0.04
"55","IN_CH_STATE_ES_x_CH_URBAN",-0.2837,-0.04
"56","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",-0.3384,-0.04
"57","IN_CH_STATE_RJ_x_CH_MUNICIPAL",-0.3454,-0.04
"58","IN_CH_STATE_x_FC_TV_EQUIPMENT",-0.3685,-0.05
"59","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",-0.4069,-0.05
"60","IN_CH_STATE_x_FC_ELECTR_PUBLIC",-0.4664,-0.06
"61","IN_CH_MUNICIPAL_x_FC_SEWAGE_PUBLIC",-0.4695,-0.06
"62","IN_CH_PRIVATE_x_FC_SEWAGE_PUBLIC",-0.4995,-0.06
"63","IN_CH_PRIVATE_x_FC_INTERNET",-0.5117,-0.07
"64","IN_CH_STATE_AL_x_CH_FUNDAMENTAL_EDU_T",-0.5262,-0.07
"65","IN_CH_URBAN_x_FC_WATER_PUBLIC",-0.544,-0.07
"66","FC_ROOMS_USED",-0.5589,-0.07
"67","IN_CH_FUNDAMENTAL_EDU_I_x_FC_INTERNET",-0.6585,-0.09
"68","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",-0.7781,-0.1
"69","IN_CH_STATE_AL_x_FC_WATER_PUBLIC",-0.8892,-0.12
"70","IN_CH_STATE_TO_x_CH_MUNICIPAL",-0.9798,-0.13
"71","IN_CH_FUNDAMENTAL_EDU_T_x_FC_INTERNET",-1.5451,-0.2
