"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_AM_x_CH_FEDERAL",15.7282,-14.13
"2","IN_CH_STATE_ES_x_CH_FEDERAL",5.4018,-4.85
"3","IN_CH_STATE_RN_x_CH_FEDERAL",3.9509,-3.55
"4","IN_CH_STATE_AC_x_CH_PRIVATE",3.4881,-3.13
"5","IN_CH_STATE_AL_x_FC_SCIENCE_LAB",3.4148,-3.07
"6","IN_CH_STATE_MA_x_FC_SCIENCE_LAB",3.3899,-3.05
"7","IN_CH_FEDERAL_x_FC_WATER_PUBLIC",2.2676,-2.04
"8","IN_CH_RURAL_x_FC_SCIENCE_LAB",1.7736,-1.59
"9","IN_CH_STATE_RR_x_FC_ANTENNA_EQUIPMENT",1.7396,-1.56
"10","IN_CH_STATE_PI_x_FC_SCIENCE_LAB",1.624,-1.46
"11","IN_CH_STATE_RN_x_FC_SEWAGE_PUBLIC",1.4275,-1.28
"12","IN_CH_STATE_ES_x_CH_PRIVATE",1.0167,-0.91
"13","IN_CH_STATE_RN_x_FC_SCIENCE_LAB",1.005,-0.9
"14","IN_CH_STATE_RO_x_FC_NO_SPORTS_QUAD",0.95,-0.85
"15","IN_CH_STATE_SE_x_CH_FEDERAL",0.8866,-0.8
"16","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",0.7206,-0.65
"17","IN_CH_STATE_AP_x_FC_INTERNET",0.7019,-0.63
"18","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",0.6577,-0.59
"19","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",0.6474,-0.58
"20","STR_TEACHERS_ONLY_FUNDEDU",0.6406,-0.58
"21","IN_CH_STATE_CE_x_FC_SCIENCE_LAB",0.6012,-0.54
"22","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",0.6004,-0.54
"23","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",0.5983,-0.54
"24","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",0.5565,-0.5
"25","IN_CH_STATE_RO_x_CH_RURAL",0.5441,-0.49
"26","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",0.5441,-0.49
"27","IN_CH_URBAN_x_FC_TV_EQUIPMENT",0.5423,-0.49
"28","IN_CH_STATE_TO_x_FC_NO_SPORTS_QUAD",0.5337,-0.48
"29","IN_CH_STATE_SP_x_CH_RURAL",0.5005,-0.45
"30","STR_TEACHERS_INCOMPLETE_FUNDEDU",0.4759,-0.43
"31","IN_CH_STATE_TO_x_CH_RURAL",0.4196,-0.38
"32","IN_CH_STATE_AL_x_FC_ANTENNA_EQUIPMENT",0.4103,-0.37
"33","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",0.4099,-0.37
"34","IN_CH_STATE_PE_x_FC_SCIENCE_LAB",0.4038,-0.36
"35","IN_CH_STATE_MG_x_FC_NO_SPORTS_QUAD",0.3994,-0.36
"36","IN_CH_FUNDAMENTAL_EDU_T_x_FC_INTERNET",0.3691,-0.33
"37","IN_CH_STATE_AL_x_CH_RURAL",0.356,-0.32
"38","IN_CH_STATE_MG_x_CH_RURAL",0.3398,-0.31
"39","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",0.315,-0.28
"40","IN_CH_STATE_RJ_x_FC_COMPUTER_LAB",0.3089,-0.28
"41","IN_CH_STATE_AC_x_FC_SEWAGE_PUBLIC",0.2856,-0.26
"42","IN_CH_STATE_PE_x_CH_PRIVATE",0.2794,-0.25
"43","IN_CH_STATE_ES_x_CH_URBAN",0.269,-0.24
"44","IN_CH_FUNDAMENTAL_EDU_T_x_FC_LIBRARY",0.2502,-0.22
"45","IN_CH_STATE_PR_x_CH_RURAL",0.2349,-0.21
"46","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",0.2029,-0.18
"47","IN_CH_PRIVATE_x_FC_SEWAGE_PUBLIC",0.2028,-0.18
"48","IN_CH_STATE_MG_x_CH_MUNICIPAL",0.19,-0.17
"49","IN_CH_STATE_RJ_x_FC_NO_SPORTS_QUAD",0.1872,-0.17
"50","IN_CH_URBAN_x_FC_COMPUTER",0.1834,-0.16
"51","IN_CH_STATE_SC_x_CH_RURAL",0.1713,-0.15
