"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_RURAL_x_FC_SCIENCE_LAB",0.7725,-2.68
"2","IN_CH_FEDERAL_x_FC_COMPUTER_LAB",0.4204,-1.46
"3","IN_CH_STATE_RO_x_FC_NO_SPORTS_QUAD",0.3591,-1.25
"4","IN_CH_STATE_RJ_x_FC_SCIENCE_LAB",0.2564,-0.89
"5","IN_CH_URBAN_x_FC_INTERNET",0.2454,-0.85
"6","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",0.2386,-0.83
"7","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",0.1437,-0.5
"8","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",0.1316,-0.46
"9","IN_CH_STATE_MG_x_FC_LIBRARY",0.0858,-0.3
"10","IN_CH_STATE_RJ_x_FC_COMPUTER_LAB",0.0845,-0.29
"11","IN_CH_STATE_AL_x_FC_SCIENCE_LAB",0.077,-0.27
"12","IN_CH_STATE_MG_x_FC_SCIENCE_LAB",0.0753,-0.26
"13","IN_CH_URBAN_x_FC_LIBRARY",0.0738,-0.26
"14","IN_CH_STATE_PR_x_CH_RURAL",0.0711,-0.25
"15","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",0.0487,-0.17
"16","IN_CH_STATE_SP_x_FC_SEWAGE_PUBLIC",0.0478,-0.17
"17","IN_CH_STATE_x_FC_COMPUTER",0.0349,-0.12
"18","FC_ANTENNA_EQUIPMENT",0.0331,-0.12
"19","IN_CH_STATE_RO_x_CH_MUNICIPAL",0.0319,-0.11
"20","FC_ROOMS_USED",0.0291,-0.1
"21","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",0.0172,-0.06
"22","IN_CH_STATE_MG_x_FC_COMPUTER",0.0168,-0.06
"23","IN_CH_URBAN_x_FC_COMPUTER",0.0127,-0.04
"24","FC_ROOMS_AVAILABLE",0.0106,-0.04
"25","IN_CH_STATE_SC_x_FC_TV_EQUIPMENT",0.0089,-0.03
"26","IN_CH_MUNICIPAL_x_FC_SCIENCE_LAB",0.0031,-0.01
"27","IN_CH_STATE_SP_x_FC_TV_EQUIPMENT",1e-04,0
"28","IN_CH_STATE_ES_x_CH_MUNICIPAL",0,0
"29","IN_CH_RURAL_x_FC_COMPUTER",0,0
"30","IN_CH_STATE_PI_x_FC_INTERNET",-0.0022,0.01
"31","IN_CH_STATE_SE_x_FC_INTERNET",-0.0033,0.01
"32","IN_CH_STATE_PE_x_FC_ANTENNA_EQUIPMENT",-0.0108,0.04
"33","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE",-0.0111,0.04
"34","IN_CH_RURAL_x_FC_WATER_PUBLIC",-0.0128,0.04
"35","IN_CH_STATE_RN_x_FC_NO_SPORTS_QUAD",-0.0138,0.05
"36","IN_CH_STATE_RN_x_CH_PRIVATE",-0.0357,0.12
"37","IN_CH_STATE_CE_x_FC_COMPUTER_LAB",-0.0368,0.13
"38","IN_CH_STATE_BA_x_CH_URBAN",-0.0468,0.16
"39","IN_CH_RURAL_x_FC_TV_EQUIPMENT",-0.0568,0.2
"40","IN_CH_STATE_ES_x_CH_RURAL",-0.0785,0.27
"41","IN_CH_STATE_CE_x_CH_MUNICIPAL",-0.0829,0.29
"42","IN_CH_STATE_PI_x_CH_STATE",-0.1011,0.35
"43","IN_CH_STATE_RN_x_CH_RURAL",-0.1025,0.36
"44","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",-0.2024,0.7
"45","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",-0.2137,0.74
