"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_ES_x_CH_FEDERAL",17.5374,-11.24
"2","IN_CH_STATE_PB_x_CH_FEDERAL",11.2834,-7.23
"3","IN_CH_STATE_AL_x_FC_SCIENCE_LAB",5.9054,-3.78
"4","IN_CH_STATE_RN_x_CH_FEDERAL",5.7325,-3.67
"5","IN_CH_STATE_AC_x_CH_PRIVATE",5.4165,-3.47
"6","IN_CH_STATE_AM_x_CH_FEDERAL",4.9475,-3.17
"7","IN_CH_FEDERAL_x_FC_WATER_PUBLIC",3.8109,-2.44
"8","IN_CH_RURAL_x_FC_SCIENCE_LAB",3.3726,-2.16
"9","IN_CH_STATE_MA_x_FC_SCIENCE_LAB",2.6127,-1.67
"10","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",2.1019,-1.35
"11","IN_CH_STATE_RR_x_FC_SCIENCE_LAB",1.9698,-1.26
"12","IN_CH_STATE_RO_x_FC_NO_SPORTS_QUAD",1.8114,-1.16
"13","IN_CH_STATE_RN_x_FC_SEWAGE_PUBLIC",1.0868,-0.7
"14","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",0.9839,-0.63
"15","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",0.899,-0.58
"16","IN_CH_FEDERAL_x_FC_COMPUTER_LAB",0.8941,-0.57
"17","STR_TEACHERS_ONLY_FUNDEDU",0.8607,-0.55
"18","STR_TEACHERS_INCOMPLETE_FUNDEDU",0.8191,-0.52
"19","IN_CH_STATE_PI_x_FC_SCIENCE_LAB",0.7902,-0.51
"20","IN_CH_STATE_AC_x_FC_SEWAGE_PUBLIC",0.786,-0.5
"21","IN_CH_STATE_RJ_x_FC_COMPUTER_LAB",0.7597,-0.49
"22","IN_CH_STATE_ES_x_CH_PRIVATE",0.7341,-0.47
"23","IN_CH_URBAN_x_FC_COMPUTER",0.7113,-0.46
"24","IN_CH_STATE_AP_x_FC_INTERNET",0.7014,-0.45
"25","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",0.532,-0.34
"26","IN_CH_STATE_SP_x_CH_RURAL",0.5153,-0.33
"27","IN_CH_STATE_PR_x_CH_RURAL",0.5027,-0.32
"28","IN_CH_STATE_AL_x_CH_STATE",0.5005,-0.32
"29","IN_CH_URBAN_x_FC_INTERNET",0.4918,-0.32
"30","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",0.4586,-0.29
"31","IN_CH_PRIVATE_x_FC_SEWAGE_PUBLIC",0.4452,-0.29
"32","IN_CH_STATE_TO_x_CH_RURAL",0.4314,-0.28
"33","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",0.4167,-0.27
"34","IN_CH_STATE_RO_x_CH_RURAL",0.3708,-0.24
"35","IN_CH_STATE_PI_x_CH_FEDERAL",0.355,-0.23
"36","IN_CH_PRIVATE_x_FC_INTERNET",0.3408,-0.22
"37","IN_CH_STATE_SC_x_CH_RURAL",0.3284,-0.21
"38","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",0.3024,-0.19
"39","IN_CH_STATE_AL_x_FC_ANTENNA_EQUIPMENT",0.2902,-0.19
"40","IN_CH_FUNDAMENTAL_EDU_T_x_FC_LIBRARY",0.2876,-0.18
"41","IN_CH_STATE_MG_x_FC_TV_EQUIPMENT",0.2515,-0.16
"42","IN_CH_STATE_RJ_x_FC_SCIENCE_LAB",0.2296,-0.15
"43","IN_CH_STATE_PI_x_FC_SEWAGE_PUBLIC",0.2218,-0.14
"44","IN_CH_STATE_RN_x_FC_SCIENCE_LAB",0.2162,-0.14
"45","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",0.216,-0.14
"46","IN_CH_STATE_x_FC_TV_EQUIPMENT",0.2125,-0.14
