"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PE_x_CH_FEDERAL",10.7545,7.21
"2","IN_CH_STATE_AM_x_CH_PRIVATE",5.5696,3.74
"3","FC_WATER",1.8907,1.27
"4","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",1.1362,0.76
"5","IN_CH_STATE_SE_x_CH_RURAL",0.7281,0.49
"6","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE",0.6992,0.47
"7","IN_CH_STATE_PE_x_CH_RURAL",0.6849,0.46
"8","IN_CH_STATE_ES_x_CH_RURAL",0.569,0.38
"9","IN_CH_STATE_CE_x_FC_NO_SPORTS_QUAD",0.4582,0.31
"10","IN_CH_STATE_MA_x_CH_MUNICIPAL",0.3843,0.26
"11","IN_CH_STATE_MA_x_CH_URBAN",0.3754,0.25
"12","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",0.318,0.21
"13","IN_CH_STATE_BA_x_CH_RURAL",0.269,0.18
"14","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",0.2182,0.15
"15","IN_CH_STATE_AM_x_CH_URBAN",0.2098,0.14
"16","IN_CH_STATE_PI_x_CH_RURAL",0.2078,0.14
"17","IN_CH_RURAL_x_FC_WATER_PUBLIC",0.1987,0.13
"18","IN_CH_STATE_PB_x_FC_NO_SPORTS_QUAD",0.1974,0.13
"19","IN_CH_RURAL_x_FC_ELECTR",0.1342,0.09
"20","IN_CH_STATE_MA_x_FC_SEWAGE",0.1315,0.09
"21","IN_CH_STATE_PA_x_FC_NO_SPORTS_QUAD",0.127,0.09
"22","IN_CH_STATE_PA_x_FC_TV_EQUIPMENT",0.123,0.08
"23","IN_CH_STATE_AM_x_FC_SEWAGE_PUBLIC",0.1056,0.07
"24","IN_CH_STATE_RN_x_CH_PRIVATE",0.0973,0.07
"25","IN_CH_STATE_MA_x_FC_HAS_SPORTS_QUAD",0.0964,0.06
"26","IN_CH_STATE_PR_x_CH_PRIVATE",0.0942,0.06
"27","IN_CH_STATE_PA_x_FC_ELECTR_PUBLIC",0.0902,0.06
"28","IN_CH_STATE_PI_x_FC_NO_SPORTS_QUAD",0.0875,0.06
"29","IN_CH_STATE_PA_x_FC_SEWAGE_PUBLIC",0.0827,0.06
"30","IN_CH_STATE_PB_x_FC_COMPUTER",0.0555,0.04
"31","IN_CH_STATE_AM_x_CH_MUNICIPAL",0.0547,0.04
"32","IN_CH_RURAL_x_FC_TV_EQUIPMENT",0.0547,0.04
"33","IN_CH_STATE_SC_x_FC_SCIENCE_LAB",0.0447,0.03
"34","IN_CH_STATE_PR_x_FC_LIBRARY",0.008,0.01
"35","IN_CH_STATE_AC_x_FC_SEWAGE",0.0046,0
"36","IN_CH_URBAN_x_FC_WATER_PUBLIC",0,0
"37","FC_NUMBER_COMPUTERS",-3e-04,0
"38","CH_MATRI_FUNDAMENTAL_EDU_T",-5e-04,0
"39","IN_CH_STATE_RN_x_CH_RURAL",-0.0112,-0.01
"40","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",-0.0183,-0.01
"41","IN_CH_STATE_ES_x_CH_PRIVATE",-0.0317,-0.02
"42","FC_ROOMS_AVAILABLE",-0.0383,-0.03
"43","IN_CH_MUNICIPAL_x_FC_LIBRARY",-0.0423,-0.03
"44","IN_CH_STATE_PI_x_FC_HAS_SPORTS_QUAD",-0.0479,-0.03
"45","IN_CH_URBAN_x_FC_COMPUTER",-0.0527,-0.04
"46","IN_CH_STATE_RJ_x_FC_COMPUTER_LAB",-0.0583,-0.04
"47","IN_CH_STATE_PE_x_CH_PRIVATE",-0.0847,-0.06
"48","IN_CH_STATE_MG_x_CH_MUNICIPAL",-0.0943,-0.06
"49","FC_ROOMS_USED",-0.0997,-0.07
"50","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",-0.113,-0.08
"51","IN_CH_STATE_RJ_x_FC_ANTENNA_EQUIPMENT",-0.1395,-0.09
"52","IN_CH_STATE_RJ_x_CH_MUNICIPAL",-0.1456,-0.1
"53","IN_CH_STATE_AL_x_FC_WATER_PUBLIC",-0.1532,-0.1
"54","STR_TEACHERS_INCOMPLETE_FUNDEDU",-0.2303,-0.15
"55","IN_CH_STATE_PR_x_CH_RURAL",-0.2305,-0.15
"56","IN_CH_PRIVATE_x_FC_INTERNET",-0.2371,-0.16
"57","IN_CH_STATE_AP_x_FC_HAS_SPORTS_QUAD",-0.2385,-0.16
"58","IN_CH_STATE_AP_x_FC_INTERNET",-0.2785,-0.19
"59","IN_CH_FUNDAMENTAL_EDU_T_x_FC_LIBRARY",-0.2906,-0.19
"60","IN_CH_PRIVATE_x_FC_SEWAGE_PUBLIC",-0.3117,-0.21
"61","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",-0.3127,-0.21
"62","IN_CH_URBAN_x_FC_NO_SPORTS_QUAD",-0.3145,-0.21
"63","IN_CH_STATE_RJ_x_FC_NO_SPORTS_QUAD",-0.3524,-0.24
"64","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",-0.3539,-0.24
"65","IN_CH_STATE_RJ_x_CH_RURAL",-0.3553,-0.24
"66","IN_CH_STATE_ES_x_FC_SCIENCE_LAB",-0.3862,-0.26
"67","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",-0.4424,-0.3
"68","IN_CH_STATE_ES_x_CH_URBAN",-0.4731,-0.32
"69","IN_CH_URBAN_x_FC_TV_EQUIPMENT",-0.4893,-0.33
"70","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",-0.5043,-0.34
"71","IN_CH_STATE_MG_x_CH_RURAL",-0.5573,-0.37
"72","IN_CH_STATE_AL_x_CH_RURAL",-0.5652,-0.38
"73","IN_CH_FUNDAMENTAL_EDU_T_x_FC_INTERNET",-0.5742,-0.39
"74","IN_CH_STATE_SP_x_CH_RURAL",-0.5766,-0.39
"75","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",-0.5842,-0.39
"76","IN_CH_STATE_TO_x_CH_RURAL",-0.5959,-0.4
"77","IN_CH_STATE_MG_x_FC_NO_SPORTS_QUAD",-0.5976,-0.4
"78","STR_TEACHERS_ONLY_FUNDEDU",-0.6691,-0.45
"79","IN_CH_STATE_RO_x_CH_RURAL",-0.6727,-0.45
"80","IN_CH_STATE_TO_x_FC_NO_SPORTS_QUAD",-0.6936,-0.47
"81","IN_CH_STATE_AL_x_FC_ANTENNA_EQUIPMENT",-0.7225,-0.48
"82","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",-0.7233,-0.49
"83","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",-0.7655,-0.51
"84","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",-0.8387,-0.56
"85","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",-0.8925,-0.6
"86","IN_CH_STATE_CE_x_FC_SCIENCE_LAB",-0.9602,-0.64
"87","IN_CH_STATE_RO_x_FC_NO_SPORTS_QUAD",-1.0388,-0.7
