"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",0.3607,0.45
"2","IN_CH_STATE_PB_x_FC_HAS_SPORTS_QUAD",0.3462,0.43
"3","IN_CH_STATE_RN_x_CH_RURAL",0.1856,0.23
"4","IN_CH_STATE_CE_x_CH_MUNICIPAL",0.1604,0.2
"5","IN_CH_STATE_RN_x_CH_PRIVATE",0.1549,0.19
"6","IN_CH_STATE_PE_x_FC_ANTENNA_EQUIPMENT",0.153,0.19
"7","IN_CH_STATE_BA_x_CH_URBAN",0.1511,0.19
"8","IN_CH_STATE_PI_x_CH_STATE",0.1373,0.17
"9","IN_CH_STATE_ES_x_CH_RURAL",0.1125,0.14
"10","IN_CH_STATE_CE_x_FC_COMPUTER_LAB",0.1093,0.14
"11","IN_CH_RURAL_x_FC_TV_EQUIPMENT",0.087,0.11
"12","IN_CH_STATE_ES_x_CH_MUNICIPAL",0.058,0.07
"13","IN_CH_RURAL_x_FC_WATER_PUBLIC",0.0454,0.06
"14","IN_CH_STATE_SE_x_CH_URBAN",0.0197,0.02
"15","IN_CH_STATE_SE_x_FC_INTERNET",0.0126,0.02
"16","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",0.0078,0.01
"17","IN_CH_STATE_PI_x_FC_LIBRARY",0.0077,0.01
"18","IN_CH_STATE_PB_x_CH_PRIVATE",0.0038,0
"19","IN_CH_RURAL_x_FC_COMPUTER",1e-04,0
"20","IN_CH_FUNDAMENTAL_EDU_I_x_FC_ANTENNA_EQUIPMENT",-1e-04,0
"21","IN_CH_STATE_SP_x_FC_ELECTR_PUBLIC",-3e-04,0
"22","ST_TOTAL_STAFF",-4e-04,0
"23","IN_CH_STATE_SC_x_CH_STATE",-4e-04,0
"24","IN_CH_STATE_SP_x_FC_COMPUTER_LAB",-0.0039,0
"25","FC_ANTENNA_EQUIPMENT",-0.004,-0.01
"26","CH_CLASSES_FUNDAMENTAL_EDU_T",-0.0041,-0.01
"27","IN_CH_STATE_x_FC_INTERNET",-0.0104,-0.01
"28","IN_CH_STATE_MG_x_FC_SCIENCE_LAB",-0.0181,-0.02
"29","STR_TEACHERS_ONLY_FUNDEDU",-0.0217,-0.03
"30","FC_ROOMS_AVAILABLE",-0.0262,-0.03
"31","FC_SEWAGE_PUBLIC",-0.0287,-0.04
"32","IN_CH_STATE_MG_x_FC_HAS_SPORTS_QUAD",-0.0356,-0.04
"33","IN_CH_STATE_MG_x_FC_COMPUTER",-0.0357,-0.04
"34","IN_CH_STATE_x_FC_COMPUTER",-0.0376,-0.05
"35","IN_CH_STATE_PR_x_CH_RURAL",-0.0412,-0.05
"36","IN_CH_STATE_SC_x_CH_RURAL",-0.0415,-0.05
"37","IN_CH_STATE_SP_x_FC_TV_EQUIPMENT",-0.0481,-0.06
"38","IN_CH_MUNICIPAL_x_FC_SCIENCE_LAB",-0.0535,-0.07
"39","FC_ROOMS_USED",-0.0662,-0.08
"40","IN_CH_STATE_SC_x_FC_TV_EQUIPMENT",-0.0679,-0.09
"41","IN_CH_FUNDAMENTAL_EDU_I_x_FC_SCIENCE_LAB",-0.0792,-0.1
"42","IN_CH_STATE_RJ_x_FC_HAS_SPORTS_QUAD",-0.1157,-0.14
"43","IN_CH_STATE_MG_x_FC_LIBRARY",-0.132,-0.17
"44","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",-0.1332,-0.17
"45","IN_CH_URBAN_x_FC_LIBRARY",-0.1512,-0.19
"46","IN_CH_STATE_RO_x_CH_MUNICIPAL",-0.1846,-0.23
"47","IN_CH_STATE_AL_x_FC_SCIENCE_LAB",-0.1971,-0.25
"48","IN_CH_STATE_SP_x_CH_PRIVATE",-0.2827,-0.35
"49","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",-0.3119,-0.39
"50","IN_CH_URBAN_x_FC_INTERNET",-0.3768,-0.47
"51","IN_CH_STATE_RJ_x_FC_SCIENCE_LAB",-0.4007,-0.5
"52","IN_CH_STATE_RO_x_FC_NO_SPORTS_QUAD",-0.4168,-0.52
"53","IN_CH_FEDERAL_x_FC_WATER_PUBLIC",-0.51,-0.64
"54","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",-0.7388,-0.93
"55","IN_CH_RURAL_x_FC_SCIENCE_LAB",-1.1155,-1.4
"56","IN_CH_FEDERAL_x_FC_COMPUTER_LAB",-1.2083,-1.51
