"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PE_x_CH_FEDERAL",5.8034,2.39
"2","IN_CH_STATE_MA_x_CH_FEDERAL",5.6116,2.31
"3","IN_CH_STATE_AM_x_CH_PRIVATE",1.9197,0.79
"4","IN_CH_STATE_SE_x_CH_STATE",1.4761,0.61
"5","IN_CH_STATE_RN_x_CH_PRIVATE",1.4187,0.58
"6","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",1.311,0.54
"7","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",1.2013,0.49
"8","IN_CH_STATE_AM_x_CH_URBAN",1.0837,0.45
"9","IN_CH_STATE_MA_x_CH_URBAN",1.0288,0.42
"10","IN_CH_STATE_PI_x_CH_STATE",0.9456,0.39
"11","IN_CH_STATE_ES_x_CH_RURAL",0.8303,0.34
"12","IN_CH_STATE_PR_x_CH_PRIVATE",0.759,0.31
"13","FC_WATER",0.6071,0.25
"14","IN_CH_STATE_CE_x_FC_NO_SPORTS_QUAD",0.5511,0.23
"15","IN_CH_STATE_PE_x_CH_RURAL",0.4607,0.19
"16","IN_CH_STATE_PI_x_FC_LIBRARY",0.4607,0.19
"17","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",0.4025,0.17
"18","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",0.3989,0.16
"19","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE",0.3964,0.16
"20","IN_CH_STATE_PA_x_FC_TV_EQUIPMENT",0.3562,0.15
"21","IN_CH_RURAL_x_FC_COMPUTER",0.3144,0.13
"22","IN_CH_STATE_CE_x_FC_COMPUTER_LAB",0.2641,0.11
"23","IN_CH_STATE_SE_x_CH_RURAL",0.2611,0.11
"24","IN_CH_RURAL_x_FC_WATER_PUBLIC",0.2467,0.1
"25","IN_CH_STATE_AC_x_FC_SEWAGE",0.2316,0.1
"26","IN_CH_STATE_MG_x_CH_PRIVATE",0.1772,0.07
"27","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",0.1598,0.07
"28","IN_CH_STATE_BA_x_FC_WATER_PUBLIC",0.1375,0.06
"29","IN_CH_RURAL_x_FC_TV_EQUIPMENT",0.1371,0.06
"30","IN_CH_STATE_PB_x_CH_URBAN",0.1349,0.06
"31","IN_CH_STATE_BA_x_FC_COMPUTER_LAB",0.1039,0.04
"32","IN_CH_STATE_SC_x_FC_SCIENCE_LAB",0.0962,0.04
"33","IN_CH_STATE_PR_x_FC_LIBRARY",0.0778,0.03
"34","IN_CH_STATE_PE_x_CH_MUNICIPAL",0.0379,0.02
"35","IN_CH_STATE_AP_x_FC_SEWAGE_PUBLIC",0.0135,0.01
"36","IN_CH_STATE_CE_x_CH_MUNICIPAL",0.0047,0
"37","IN_CH_FUNDAMENTAL_EDU_T_x_FC_WATER",2e-04,0
"38","CH_MATRI_FUNDAMENTAL_EDU",-1e-04,0
"39","ST_TOTAL_STAFF",-0.0021,0
"40","IN_CH_FUNDAMENTAL_EDU_T_x_FC_INTERNET",-0.0025,0
"41","FC_NUMBER_COMPUTERS",-0.0038,0
"42","IN_CH_STATE_MG_x_FC_COMPUTER_LAB",-0.0055,0
"43","IN_CH_STATE_RO_x_CH_MUNICIPAL",-0.0146,-0.01
"44","IN_CH_FUNDAMENTAL_EDU_I_x_FC_INTERNET",-0.016,-0.01
"45","IN_CH_FUNDAMENTAL_EDU_I_x_FC_SEWAGE_PUBLIC",-0.0296,-0.01
"46","CH_CLASSES_FUNDAMENTAL_EDU_T",-0.0373,-0.02
"47","IN_CH_URBAN_x_FC_TV_EQUIPMENT",-0.0446,-0.02
"48","IN_CH_STATE_x_FC_ELECTR_PUBLIC",-0.0581,-0.02
"49","IN_CH_STATE_SC_x_CH_STATE",-0.0654,-0.03
"50","IN_CH_STATE_PE_x_CH_PRIVATE",-0.0743,-0.03
"51","FC_ROOMS_AVAILABLE",-0.0744,-0.03
"52","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",-0.0799,-0.03
"53","IN_CH_STATE_RJ_x_FC_ANTENNA_EQUIPMENT",-0.0827,-0.03
"54","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",-0.0861,-0.04
"55","IN_CH_STATE_ES_x_CH_STATE",-0.1438,-0.06
"56","IN_CH_STATE_AL_x_CH_FUNDAMENTAL_EDU_T",-0.1623,-0.07
"57","IN_CH_STATE_MG_x_CH_RURAL",-0.1665,-0.07
"58","IN_CH_STATE_RJ_x_FC_SCIENCE_LAB",-0.168,-0.07
"59","IN_CH_MUNICIPAL_x_FC_SEWAGE_PUBLIC",-0.1901,-0.08
"60","FC_ROOMS_USED",-0.2109,-0.09
"61","IN_CH_STATE_x_FC_TV_EQUIPMENT",-0.2128,-0.09
"62","IN_CH_STATE_RR_x_FC_ANTENNA_EQUIPMENT",-0.2129,-0.09
"63","IN_CH_STATE_AL_x_FC_WATER_PUBLIC",-0.2151,-0.09
"64","IN_CH_URBAN_x_FC_WATER_PUBLIC",-0.2156,-0.09
"65","IN_CH_STATE_SP_x_CH_PRIVATE",-0.2301,-0.09
"66","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",-0.2415,-0.1
"67","IN_CH_STATE_PI_x_FC_SEWAGE_PUBLIC",-0.2427,-0.1
"68","IN_CH_STATE_MG_x_FC_NO_SPORTS_QUAD",-0.2722,-0.11
"69","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",-0.2875,-0.12
"70","IN_CH_MUNICIPAL_x_FC_SCIENCE_LAB",-0.3072,-0.13
"71","IN_CH_STATE_MG_x_FC_TV_EQUIPMENT",-0.3285,-0.14
"72","IN_CH_FUNDAMENTAL_EDU_T_x_FC_LIBRARY",-0.3395,-0.14
"73","IN_CH_STATE_MG_x_CH_MUNICIPAL",-0.3423,-0.14
"74","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",-0.4411,-0.18
"75","IN_CH_STATE_PI_x_CH_FEDERAL",-0.4412,-0.18
