"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_AM_x_CH_FEDERAL",23.6423,-12.53
"2","IN_CH_STATE_ES_x_CH_FEDERAL",21.1099,-11.19
"3","IN_CH_STATE_PB_x_CH_FEDERAL",14.2608,-7.56
"4","IN_CH_STATE_RN_x_CH_FEDERAL",8.8001,-4.67
"5","IN_CH_STATE_AC_x_CH_PRIVATE",7.0167,-3.72
"6","IN_CH_STATE_AL_x_FC_SCIENCE_LAB",6.0557,-3.21
"7","IN_CH_STATE_MA_x_FC_SCIENCE_LAB",5.2172,-2.77
"8","IN_CH_RURAL_x_FC_SCIENCE_LAB",3.6221,-1.92
"9","IN_CH_FEDERAL_x_FC_WATER_PUBLIC",3.5151,-1.86
"10","IN_CH_STATE_PI_x_FC_SCIENCE_LAB",2.1988,-1.17
"11","IN_CH_STATE_RO_x_FC_NO_SPORTS_QUAD",2.1934,-1.16
"12","IN_CH_STATE_RN_x_FC_SEWAGE_PUBLIC",1.9657,-1.04
"13","IN_CH_STATE_PI_x_CH_FEDERAL",1.6449,-0.87
"14","IN_CH_STATE_RR_x_FC_ANTENNA_EQUIPMENT",1.6123,-0.85
"15","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",1.5434,-0.82
"16","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",1.2639,-0.67
"17","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",1.1842,-0.63
"18","STR_TEACHERS_ONLY_FUNDEDU",1.1676,-0.62
"19","IN_CH_STATE_RR_x_FC_SCIENCE_LAB",1.1035,-0.59
"20","IN_CH_STATE_ES_x_CH_PRIVATE",1.058,-0.56
"21","IN_CH_STATE_CE_x_FC_SCIENCE_LAB",1.0397,-0.55
"22","IN_CH_STATE_RN_x_FC_SCIENCE_LAB",1.0219,-0.54
"23","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",0.9259,-0.49
"24","IN_CH_STATE_AP_x_FC_INTERNET",0.9032,-0.48
"25","STR_TEACHERS_INCOMPLETE_FUNDEDU",0.8924,-0.47
"26","IN_CH_URBAN_x_FC_COMPUTER",0.869,-0.46
"27","IN_CH_STATE_AC_x_FC_SEWAGE_PUBLIC",0.8608,-0.46
"28","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",0.8038,-0.43
"29","IN_CH_STATE_RJ_x_FC_COMPUTER_LAB",0.7832,-0.42
"30","IN_CH_STATE_TO_x_CH_RURAL",0.7512,-0.4
"31","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",0.7385,-0.39
"32","IN_CH_STATE_SP_x_CH_RURAL",0.7344,-0.39
"33","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",0.6429,-0.34
"34","IN_CH_STATE_AL_x_CH_STATE",0.6259,-0.33
"35","IN_CH_STATE_PR_x_CH_RURAL",0.5604,-0.3
"36","IN_CH_URBAN_x_FC_TV_EQUIPMENT",0.5086,-0.27
"37","IN_CH_STATE_AL_x_FC_ANTENNA_EQUIPMENT",0.4983,-0.26
"38","IN_CH_STATE_MG_x_CH_RURAL",0.4704,-0.25
"39","IN_CH_STATE_MG_x_FC_NO_SPORTS_QUAD",0.4568,-0.24
"40","IN_CH_STATE_RO_x_CH_RURAL",0.4566,-0.24
"41","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",0.4486,-0.24
"42","IN_CH_FUNDAMENTAL_EDU_T_x_FC_LIBRARY",0.427,-0.23
"43","IN_CH_STATE_ES_x_CH_STATE",0.4009,-0.21
"44","IN_CH_FUNDAMENTAL_EDU_T_x_FC_INTERNET",0.357,-0.19
"45","IN_CH_STATE_AL_x_CH_RURAL",0.3214,-0.17
"46","IN_CH_STATE_SC_x_CH_RURAL",0.3172,-0.17
"47","IN_CH_STATE_RJ_x_CH_RURAL",0.3161,-0.17
"48","IN_CH_STATE_TO_x_FC_NO_SPORTS_QUAD",0.311,-0.16
"49","IN_CH_STATE_PE_x_CH_PRIVATE",0.3012,-0.16
"50","IN_CH_STATE_PI_x_FC_SEWAGE_PUBLIC",0.2643,-0.14
"51","IN_CH_STATE_MG_x_FC_TV_EQUIPMENT",0.2621,-0.14
"52","IN_CH_STATE_BA_x_FC_SCIENCE_LAB",0.2563,-0.14
"53","IN_CH_STATE_TO_x_CH_MUNICIPAL",0.2503,-0.13
"54","IN_CH_STATE_AL_x_FC_WATER_PUBLIC",0.2158,-0.11
"55","IN_CH_PRIVATE_x_FC_SEWAGE_PUBLIC",0.2158,-0.11
"56","IN_CH_STATE_CE_x_FC_SEWAGE_PUBLIC",0.1845,-0.1
"57","IN_CH_URBAN_x_FC_WATER_PUBLIC",0.1434,-0.08
"58","IN_CH_STATE_PE_x_FC_SCIENCE_LAB",0.1413,-0.07
"59","IN_CH_FUNDAMENTAL_EDU_I_x_FC_INTERNET",0.1286,-0.07
"60","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",0.128,-0.07
"61","IN_CH_STATE_ES_x_CH_URBAN",0.1273,-0.07
"62","FC_ROOMS_USED",0.1244,-0.07
"63","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",0.1122,-0.06
"64","IN_CH_STATE_RR_x_CH_MUNICIPAL",0.1036,-0.05
"65","IN_CH_PRIVATE_x_FC_INTERNET",0.0905,-0.05
"66","IN_CH_STATE_MG_x_CH_MUNICIPAL",0.0795,-0.04
"67","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",0.0658,-0.03
"68","IN_CH_STATE_RJ_x_CH_MUNICIPAL",0.0613,-0.03
"69","IN_CH_STATE_RJ_x_FC_ANTENNA_EQUIPMENT",0.0586,-0.03
"70","IN_CH_MUNICIPAL_x_FC_SEWAGE_PUBLIC",0.0534,-0.03
"71","IN_CH_STATE_x_FC_ELECTR_PUBLIC",0.0483,-0.03
"72","IN_CH_FUNDAMENTAL_EDU_I_x_FC_LIBRARY",0.0407,-0.02
"73","FC_ROOMS_AVAILABLE",0.0326,-0.02
"74","IN_CH_STATE_AL_x_CH_FUNDAMENTAL_EDU_T",0.0283,-0.02
"75","CH_CLASSES_FUNDAMENTAL_EDU_T",0.0144,-0.01
"76","IN_CH_STATE_MG_x_FC_ANTENNA_EQUIPMENT",0.0044,0
"77","IN_CH_RURAL_x_FC_LIBRARY",5e-04,0
"78","CH_MATRI_FUNDAMENTAL_EDU_T",3e-04,0
"79","IN_CH_STATE_PB_x_CH_URBAN",-0.0043,0
"80","IN_CH_STATE_PA_x_FC_ELECTR_PUBLIC",-0.0087,0
"81","IN_CH_STATE_BA_x_FC_WATER_PUBLIC",-0.0677,0.04
"82","IN_CH_STATE_MA_x_CH_MUNICIPAL",-0.0677,0.04
"83","IN_CH_STATE_AC_x_FC_ELECTR_PUBLIC",-0.0712,0.04
"84","IN_CH_MUNICIPAL_x_FC_ELECTR",-0.0772,0.04
"85","IN_CH_STATE_TO_x_CH_PRIVATE",-0.1125,0.06
"86","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",-0.1134,0.06
"87","IN_CH_STATE_SC_x_CH_PRIVATE",-0.1237,0.07
"88","IN_CH_STATE_CE_x_FC_COMPUTER_LAB",-0.1711,0.09
"89","IN_CH_STATE_PR_x_FC_LIBRARY",-0.1834,0.1
"90","IN_CH_FUNDAMENTAL_EDU_T_x_FC_WATER",-0.2096,0.11
"91","IN_CH_STATE_PA_x_FC_TV_EQUIPMENT",-0.2158,0.11
"92","IN_CH_RURAL_x_FC_WATER_PUBLIC",-0.2174,0.12
"93","IN_CH_STATE_SE_x_CH_RURAL",-0.264,0.14
"94","IN_CH_RURAL_x_FC_TV_EQUIPMENT",-0.2943,0.16
"95","IN_CH_RURAL_x_FC_COMPUTER",-0.3223,0.17
"96","IN_CH_STATE_MG_x_CH_PRIVATE",-0.341,0.18
"97","IN_CH_STATE_AC_x_FC_SEWAGE",-0.3726,0.2
"98","IN_CH_STATE_PE_x_CH_RURAL",-0.4026,0.21
"99","IN_CH_STATE_PI_x_FC_LIBRARY",-0.4312,0.23
"100","IN_CH_STATE_CE_x_FC_NO_SPORTS_QUAD",-0.4589,0.24
"101","IN_CH_STATE_PR_x_CH_PRIVATE",-0.4771,0.25
"102","IN_CH_STATE_PB_x_FC_ANTENNA_EQUIPMENT",-0.5228,0.28
"103","IN_CH_STATE_SC_x_FC_SCIENCE_LAB",-0.5311,0.28
"104","IN_CH_FUNDAMENTAL_EDU_T_x_FC_SEWAGE",-0.5322,0.28
"105","IN_CH_STATE_AM_x_CH_URBAN",-0.7013,0.37
"106","IN_CH_STATE_ES_x_CH_RURAL",-0.7548,0.4
"107","FC_WATER",-0.968,0.51
"108","IN_CH_STATE_MA_x_CH_URBAN",-0.9937,0.53
"109","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",-1.0105,0.54
"110","IN_CH_STATE_SE_x_CH_STATE",-1.0425,0.55
"111","IN_CH_STATE_PI_x_CH_STATE",-1.0907,0.58
"112","IN_CH_STATE_RN_x_CH_PRIVATE",-1.4718,0.78
"113","IN_CH_STATE_MA_x_CH_FEDERAL",-2.1291,1.13
"114","IN_CH_STATE_AM_x_CH_PRIVATE",-3.4378,1.82
"115","IN_CH_STATE_PE_x_CH_FEDERAL",-6.3641,3.37
"116","IN_CH_STATE_RO_x_CH_FEDERAL",-15.3594,8.14
