"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_PRIVATE_x_FC_HAS_SPORTS_QUAD",0.6282,-1.59
"2","IN_CH_PRIVATE_x_FC_SCIENCE_LAB",0.4903,-1.24
"3","IN_CH_STATE_SC_x_CH_PRIVATE",0.2523,-0.64
"4","FC_SCIENCE_LAB",0.2251,-0.57
"5","IN_CH_STATE_SP_x_CH_PRIVATE",0.2018,-0.51
"6","FC_ROOMS_USED",0.0599,-0.15
"7","IN_CH_URBAN_x_FC_HAS_SPORTS_QUAD",0.0566,-0.14
"8","IN_CH_STATE_SC_x_CH_FUNDAMENTAL_EDU_T",0.0553,-0.14
"9","IN_CH_URBAN_x_FC_LIBRARY",0.0427,-0.11
"10","IN_CH_STATE_SC_x_CH_STATE",0.0424,-0.11
"11","CH_STATE_RO",0.0382,-0.1
"12","IN_CH_STATE_MG_x_FC_WATER_PUBLIC",0.0311,-0.08
"13","FC_ROOMS_AVAILABLE",0.0294,-0.07
"14","IN_CH_STATE_x_FC_SEWAGE_PUBLIC",0.0152,-0.04
"15","IN_CH_STATE_RO_x_CH_MUNICIPAL",0.0138,-0.04
"16","FC_SEWAGE_PUBLIC",0.0094,-0.02
"17","IN_CH_STATE_SC_x_CH_FUNDAMENTAL_EDU_I",0.0078,-0.02
"18","IN_CH_STATE_RO_x_FC_WATER",0.0055,-0.01
"19","FC_NUMBER_COMPUTERS",0.0023,-0.01
"20","IN_CH_STATE_RO_x_FC_COMPUTER_LAB",6e-04,0
"21","ST_TOTAL_STAFF",5e-04,0
"22","IN_CH_STATE_MG_x_FC_INTERNET",1e-04,0
"23","CH_MATRI_FUNDAMENTAL_EDU",0,0
"24","IN_CH_STATE_CE_x_FC_ELECTR",0,0
"25","IN_CH_STATE_CE_x_CH_STATE",-9e-04,0
"26","IN_CH_STATE_CE_x_FC_TV_EQUIPMENT",-0.0087,0.02
"27","IN_CH_STATE_CE_x_FC_COMPUTER_LAB",-0.0097,0.02
"28","IN_CH_STATE_PE_x_FC_ANTENNA_EQUIPMENT",-0.0148,0.04
"29","IN_CH_STATE_PE_x_CH_MUNICIPAL",-0.0152,0.04
"30","IN_CH_RURAL_x_FC_TV_EQUIPMENT",-0.0163,0.04
"31","IN_CH_RURAL_x_FC_WATER_PUBLIC",-0.0447,0.11
"32","IN_CH_RURAL_x_FC_COMPUTER",-0.0589,0.15
"33","IN_CH_FUNDAMENTAL_EDU_T_x_FC_NO_SPORTS_QUAD",-0.0833,0.21
"34","IN_CH_STATE_CE_x_FC_ELECTR_PUBLIC",-0.0997,0.25
"35","IN_CH_STATE_BA_x_CH_PRIVATE",-0.1386,0.35
"36","IN_CH_PRIVATE_x_FC_NO_SPORTS_QUAD",-0.2797,0.71
