"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_ES_x_CH_FEDERAL",18.8151,-8.29
"2","IN_CH_STATE_AM_x_CH_FEDERAL",15.8215,-6.97
"3","IN_CH_STATE_RN_x_CH_FEDERAL",8.386,-3.7
"4","IN_CH_STATE_AC_x_CH_PRIVATE",7.241,-3.19
"5","IN_CH_STATE_AL_x_FC_SCIENCE_LAB",6.855,-3.02
"6","IN_CH_STATE_PB_x_CH_FEDERAL",5.8619,-2.58
"7","IN_CH_STATE_MA_x_FC_SCIENCE_LAB",4.9874,-2.2
"8","IN_CH_FEDERAL_x_FC_WATER_PUBLIC",4.4149,-1.95
"9","IN_CH_RURAL_x_FC_SCIENCE_LAB",3.8198,-1.68
"10","IN_CH_STATE_RR_x_FC_SCIENCE_LAB",2.5142,-1.11
"11","IN_CH_STATE_PI_x_FC_SCIENCE_LAB",2.1757,-0.96
"12","IN_CH_STATE_TO_x_FC_SCIENCE_LAB",2.1414,-0.94
"13","IN_CH_STATE_RN_x_FC_SEWAGE_PUBLIC",1.9296,-0.85
"14","IN_CH_STATE_RR_x_FC_ANTENNA_EQUIPMENT",1.928,-0.85
"15","IN_CH_STATE_RO_x_FC_NO_SPORTS_QUAD",1.9119,-0.84
"16","IN_CH_STATE_ES_x_CH_PRIVATE",1.5841,-0.7
"17","IN_CH_STATE_PR_x_FC_NO_SPORTS_QUAD",1.3825,-0.61
"18","STR_TEACHERS_ONLY_FUNDEDU",1.2995,-0.57
"19","IN_CH_STATE_SC_x_FC_NO_SPORTS_QUAD",1.2609,-0.56
"20","IN_CH_STATE_AP_x_FC_INTERNET",1.2292,-0.54
"21","IN_CH_STATE_AC_x_FC_SEWAGE_PUBLIC",1.0682,-0.47
"22","IN_CH_STATE_RN_x_FC_SCIENCE_LAB",1.0322,-0.45
"23","STR_TEACHERS_INCOMPLETE_FUNDEDU",1.0123,-0.45
"24","IN_CH_STATE_RO_x_CH_RURAL",0.9938,-0.44
"25","IN_CH_STATE_RS_x_FC_NO_SPORTS_QUAD",0.9051,-0.4
"26","IN_CH_PRIVATE_x_FC_INTERNET",0.8751,-0.39
"27","IN_CH_URBAN_x_FC_COMPUTER",0.8028,-0.35
"28","IN_CH_STATE_SP_x_CH_RURAL",0.7415,-0.33
"29","IN_CH_STATE_TO_x_CH_RURAL",0.7358,-0.32
"30","IN_CH_STATE_SP_x_FC_NO_SPORTS_QUAD",0.7068,-0.31
"31","IN_CH_RURAL_x_FC_HAS_SPORTS_QUAD",0.7001,-0.31
"32","IN_CH_STATE_RJ_x_FC_COMPUTER_LAB",0.6968,-0.31
"33","IN_CH_STATE_TO_x_FC_NO_SPORTS_QUAD",0.6367,-0.28
"34","IN_CH_STATE_AL_x_FC_SEWAGE_PUBLIC",0.5944,-0.26
"35","IN_CH_STATE_PR_x_CH_RURAL",0.5603,-0.25
"36","IN_CH_STATE_AL_x_FC_ANTENNA_EQUIPMENT",0.5375,-0.24
"37","IN_CH_PRIVATE_x_FC_SEWAGE_PUBLIC",0.5313,-0.23
"38","IN_CH_FUNDAMENTAL_EDU_T_x_FC_LIBRARY",0.4844,-0.21
"39","IN_CH_STATE_PE_x_FC_SCIENCE_LAB",0.4621,-0.2
"40","IN_CH_STATE_MG_x_FC_NO_SPORTS_QUAD",0.4171,-0.18
"41","IN_CH_STATE_ES_x_CH_STATE",0.3973,-0.18
"42","IN_CH_STATE_SC_x_CH_RURAL",0.3823,-0.17
"43","IN_CH_STATE_MG_x_FC_SEWAGE_PUBLIC",0.3543,-0.16
"44","IN_CH_PRIVATE_x_FC_LIBRARY",0.3396,-0.15
"45","IN_CH_STATE_MG_x_CH_RURAL",0.3199,-0.14
"46","IN_CH_URBAN_x_FC_INTERNET",0.3069,-0.14
"47","IN_CH_STATE_MG_x_CH_MUNICIPAL",0.293,-0.13
"48","IN_CH_STATE_MG_x_FC_TV_EQUIPMENT",0.2714,-0.12
"49","IN_CH_URBAN_x_FC_TV_EQUIPMENT",0.2712,-0.12
"50","IN_CH_STATE_PI_x_FC_SEWAGE_PUBLIC",0.2524,-0.11
"51","IN_CH_MUNICIPAL_x_FC_SCIENCE_LAB",0.2464,-0.11
"52","IN_CH_URBAN_x_FC_WATER_PUBLIC",0.2295,-0.1
"53","IN_CH_STATE_AL_x_FC_WATER_PUBLIC",0.2115,-0.09
"54","IN_CH_STATE_RJ_x_FC_ANTENNA_EQUIPMENT",0.2078,-0.09
"55","IN_CH_STATE_AL_x_CH_FUNDAMENTAL_EDU_T",0.2002,-0.09
"56","FC_ROOMS_USED",0.1921,-0.08
"57","IN_CH_STATE_x_FC_ELECTR_PUBLIC",0.1704,-0.08
"58","IN_CH_STATE_AL_x_CH_RURAL",0.1644,-0.07
"59","IN_CH_MUNICIPAL_x_FC_SEWAGE_PUBLIC",0.15,-0.07
"60","IN_CH_FUNDAMENTAL_EDU_I_x_FC_INTERNET",0.1453,-0.06
"61","IN_CH_FUNDAMENTAL_EDU_T_x_FC_INTERNET",0.1372,-0.06
"62","IN_CH_RURAL_x_FC_ANTENNA_EQUIPMENT",0.0996,-0.04
"63","IN_CH_STATE_CE_x_FC_SCIENCE_LAB",0.0855,-0.04
"64","IN_CH_STATE_SC_x_CH_STATE",0.075,-0.03
"65","FC_ROOMS_AVAILABLE",0.0655,-0.03
"66","IN_CH_STATE_RJ_x_CH_MUNICIPAL",0.0647,-0.03
"67","IN_CH_STATE_RJ_x_CH_RURAL",0.0535,-0.02
"68","IN_CH_STATE_RO_x_CH_FUNDAMENTAL_EDU_T",0.0517,-0.02
"69","IN_CH_STATE_CE_x_CH_PRIVATE",0.0453,-0.02
"70","IN_CH_STATE_x_FC_TV_EQUIPMENT",0.0453,-0.02
"71","IN_CH_STATE_PE_x_CH_PRIVATE",0.0377,-0.02
"72","CH_CLASSES_FUNDAMENTAL_EDU_T",0.0342,-0.02
"73","IN_CH_MUNICIPAL_x_FC_ANTENNA_EQUIPMENT",0.0158,-0.01
"74","IN_CH_STATE_MG_x_FC_WATER_PUBLIC",0.0061,0
"75","FC_NUMBER_COMPUTERS",0.0022,0
"76","ST_TOTAL_STAFF",0.0014,0
"77","IN_CH_STATE_x_FC_NO_SPORTS_QUAD",4e-04,0
"78","CH_MATRI_FUNDAMENTAL_EDU",1e-04,0
"79","CH_MATRI_FUNDAMENTAL_EDU_T",0,0
"80","CH_FUNDAMENTAL_EDU_T",-6e-04,0
"81","IN_CH_FUNDAMENTAL_EDU_T_x_FC_WATER",-0.0069,0
"82","IN_CH_STATE_PB_x_CH_URBAN",-0.0685,0.03
"83","IN_CH_STATE_MA_x_CH_MUNICIPAL",-0.0711,0.03
"84","IN_CH_STATE_PR_x_FC_LIBRARY",-0.1173,0.05
"85","IN_CH_STATE_BA_x_FC_SEWAGE_PUBLIC",-0.1324,0.06
"86","IN_CH_STATE_TO_x_CH_PRIVATE",-0.1488,0.07
"87","IN_CH_STATE_BA_x_FC_WATER_PUBLIC",-0.1541,0.07
"88","IN_CH_STATE_CE_x_FC_COMPUTER_LAB",-0.171,0.08
"89","IN_CH_RURAL_x_FC_TV_EQUIPMENT",-0.1981,0.09
"90","IN_CH_STATE_SC_x_FC_SCIENCE_LAB",-0.2257,0.1
