"","Variable","Coefficient","Coefficient/ATE"
"1","IN_CH_STATE_PE_x_CH_RURAL",2.6589,0.55
"2","IN_CH_STATE_TO_x_CH_MUNICIPAL",2.4069,0.5
"3","IN_CH_STATE_PA_x_CH_RURAL",2.1998,0.45
"4","IN_CH_STATE_AL_x_CH_RURAL",1.7639,0.36
"5","IN_CH_STATE_PI_x_CH_RURAL",1.7609,0.36
"6","IN_CH_STATE_RR_x_CH_MUNICIPAL",1.7247,0.36
"7","IN_CH_STATE_RS_x_CH_SCHOOL_LARGE_SIZE",1.6816,0.35
"8","IN_CH_RURAL_x_FC_NO_SPORTS_QUAD",1.639,0.34
"9","IN_CH_STATE_MG_x_CH_PRIVATE",1.5945,0.33
"10","IN_CH_STATE_CE_x_CH_MUNICIPAL",1.4157,0.29
"11","IN_CH_STATE_SE_x_CH_MUNICIPAL",1.3474,0.28
"12","IN_CH_STATE_AL_x_CH_MUNICIPAL",1.3065,0.27
"13","IN_CH_STATE_RO_x_CH_MUNICIPAL",1.276,0.26
"14","IN_CH_STATE_SC_x_CH_PRIVATE",1.2362,0.25
"15","IN_CH_STATE_SE_x_FC_NO_SPORTS_QUAD",1.1635,0.24
"16","IN_CH_STATE_PE_x_CH_MUNICIPAL",1.1487,0.24
"17","IN_CH_STATE_DF_x_CH_PRIVATE",1.1418,0.24
"18","IN_CH_STATE_PR_x_CH_SCHOOL_LARGE_SIZE",1.1117,0.23
"19","IN_CH_STATE_AC_x_CH_MUNICIPAL",1.0876,0.22
"20","IN_CH_STATE_RO_x_FC_NO_SPORTS_QUAD",0.9439,0.19
"21","IN_CH_STATE_GO_x_FC_NO_SPORTS_QUAD",0.9391,0.19
"22","IN_CH_STATE_RO_x_CH_RURAL",0.9147,0.19
"23","IN_CH_STATE_RN_x_CH_URBAN",0.8781,0.18
"24","IN_CH_STATE_AP_x_CH_MUNICIPAL",0.8503,0.18
"25","IN_CH_MUNICIPAL_x_FC_NO_SPORTS_QUAD",0.8407,0.17
"26","IN_CH_STATE_PA_x_FC_HAS_SPORTS_QUAD",0.7883,0.16
"27","IN_CH_SCHOOL_LARGE_SIZE_x_FC_LIBRARY",0.7355,0.15
"28","IN_CH_STATE_RN_x_FC_ANTENNA_EQUIPMENT",0.7195,0.15
"29","IN_CH_STATE_RR_x_CH_PRIVATE",0.694,0.14
"30","IN_CH_STATE_GO_x_CH_STATE",0.6714,0.14
"31","IN_CH_STATE_MG_x_CH_RURAL",0.6605,0.14
"32","STR_TEACHERS_SECONDARY_FUNDEDU",0.5959,0.12
"33","IN_CH_STATE_RN_x_FC_NO_SPORTS_QUAD",0.5237,0.11
"34","IN_CH_STATE_MA_x_FC_INTERNET",0.5054,0.1
"35","IN_CH_STATE_PI_x_CH_MUNICIPAL",0.4984,0.1
"36","IN_CH_STATE_TO_x_CH_SCHOOL_LARGE_SIZE",0.4744,0.1
"37","IN_CH_STATE_CE_x_CH_URBAN",0.4622,0.1
